TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,ADANIENT,2024-01-25,1750.00,PE,0.00,0.00,0.00,107.55,0.05,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,2600.00,CE,323.00,411.95,323.00,383.20,383.20,16500,-2100,40,2917.15
2024-01-01,ADANIENT,2024-02-29,2600.00,PE,85.00,86.00,79.70,85.90,85.90,8100,5700,19,2917.15
2024-01-01,ADANIENT,2024-02-29,3500.00,CE,100.00,122.75,100.00,108.55,108.55,36900,27000,127,2917.15
2024-01-01,ADANIENT,2024-02-29,2450.00,CE,0.00,0.00,0.00,314.25,575.95,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,2100.00,CE,0.00,0.00,0.00,388.80,828.60,0,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,2300.00,PE,0.00,0.00,0.00,279.55,49.45,0,0,0,2917.15
2024-01-01,ADANIENT,2024-03-28,2500.00,CE,0.00,0.00,0.00,581.20,594.15,0,0,0,2917.15
2024-01-01,ADANIENT,2024-03-28,2850.00,CE,0.00,0.00,0.00,408.35,394.35,0,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,2850.00,CE,0.00,0.00,0.00,185.80,328.75,0,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,2850.00,PE,0.00,0.00,0.00,626.15,230.65,0,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,3550.00,PE,0.00,0.00,0.00,1056.70,693.30,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,2200.00,CE,0.00,0.00,0.00,780.00,731.80,0,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,2200.00,PE,0.00,0.00,0.00,68.05,33.60,300,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,2950.00,CE,0.00,0.00,0.00,162.35,281.30,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,2600.00,PE,45.55,45.60,34.20,36.80,36.80,250200,-80700,2334,2917.15
2024-01-01,ADANIENT,2024-03-28,2600.00,PE,0.00,0.00,0.00,270.05,172.35,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,3550.00,PE,0.00,0.00,0.00,1025.40,642.75,0,0,0,2917.15
2024-01-01,ADANIENT,2024-03-28,3000.00,PE,0.00,0.00,0.00,484.90,361.50,0,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,3000.00,PE,0.00,0.00,0.00,739.40,309.95,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,3000.00,CE,111.50,164.55,101.00,140.05,140.05,1077300,214500,16310,2917.15
2024-01-01,ADANIENT,2024-03-28,2500.00,PE,0.00,0.00,0.00,226.30,137.10,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,2300.00,PE,13.80,13.90,11.90,12.35,12.35,122100,900,262,2917.15
2024-01-01,ADANIENT,2024-01-25,2300.00,CE,675.00,675.00,673.00,673.00,637.40,4200,0,2,2917.15
2024-01-01,ADANIENT,2024-03-28,2400.00,PE,0.00,0.00,0.00,186.95,106.70,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,2900.00,PE,165.00,167.00,127.35,136.50,136.50,291000,72600,4085,2917.15
2024-01-01,ADANIENT,2024-02-29,2900.00,CE,260.00,314.00,251.65,284.95,284.95,4800,1800,20,2917.15
2024-01-01,ADANIENT,2024-01-25,3200.00,PE,384.10,384.10,321.90,336.25,336.25,54300,5100,75,2917.15
2024-01-01,ADANIENT,2024-01-25,2900.00,CE,145.85,208.60,134.45,179.55,179.55,491100,-12000,10455,2917.15
2024-01-01,ADANIENT,2024-03-28,2850.00,PE,0.00,0.00,0.00,397.20,281.70,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,2150.00,CE,0.00,0.00,0.00,900.00,779.95,300,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,1850.00,CE,0.00,0.00,0.00,527.20,1075.50,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,1850.00,PE,0.00,0.00,0.00,141.05,0.15,0,0,0,2917.15
2024-01-01,ADANIENT,2024-03-28,3100.00,CE,0.00,0.00,0.00,313.35,286.80,0,0,0,2917.15
2024-01-01,ADANIENT,2024-03-28,3300.00,CE,0.00,0.00,0.00,252.00,219.35,0,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,2700.00,CE,0.00,0.00,0.00,227.05,410.60,0,0,0,2917.15
2024-01-01,ADANIENT,2024-03-28,2950.00,CE,0.00,0.00,0.00,367.75,348.00,0,0,0,2917.15
2024-01-01,ADANIENT,2024-02-29,3300.00,PE,0.00,0.00,0.00,982.50,503.25,0,0,0,2917.15
2024-01-01,ADANIENT,2024-01-25,3450.00,CE,33.65,59.00,30.00,44.45,44.45,17400,14100,190,2917.15
2024-01-01,ADANIENT,2024-02-29,3450.00,PE,0.00,0.00,0.00,972.70,614.60,0,0,0,2917.15
