TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-11-29,ADANIGREEN,2025-02-27,1000.00,PE,0.00,0.00,0.00,94.55,48.30,0,0,0,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1000.00,PE,30.00,30.00,11.50,13.50,13.50,130875,130875,1818,1323.95
2024-11-29,ADANIGREEN,2025-01-30,960.00,CE,0.00,0.00,0.00,198.15,399.00,0,0,0,1323.95
2024-11-29,ADANIGREEN,2025-01-30,1060.00,CE,0.00,0.00,0.00,142.55,321.80,0,0,0,1323.95
2024-11-29,ADANIGREEN,2025-01-30,1180.00,CE,0.00,0.00,0.00,92.65,242.30,0,0,0,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1180.00,PE,132.00,132.00,35.75,42.15,42.15,44250,44250,1310,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1180.00,CE,90.00,226.80,80.15,195.75,195.75,42375,42375,2606,1323.95
2024-11-29,ADANIGREEN,2025-01-30,1180.00,PE,0.00,0.00,0.00,170.70,83.80,0,0,0,1323.95
2024-11-29,ADANIGREEN,2025-01-30,1140.00,CE,0.00,0.00,0.00,107.40,267.15,0,0,0,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1140.00,PE,79.00,79.95,27.90,33.15,33.15,34875,34875,728,1323.95
2024-11-29,ADANIGREEN,2025-01-30,1040.00,CE,0.00,0.00,0.00,152.60,336.45,0,0,0,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1100.00,PE,53.25,56.15,21.40,25.75,25.75,278625,278625,4873,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1160.00,PE,122.00,122.00,32.35,37.85,37.85,60375,60375,1480,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1400.00,CE,44.95,90.00,36.00,67.05,67.05,450375,450375,5866,1323.95
2024-11-29,ADANIGREEN,2025-02-27,1400.00,PE,0.00,0.00,0.00,348.85,222.35,0,0,0,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1260.00,PE,100.55,100.55,57.65,64.80,64.80,60750,60750,463,1323.95
2024-11-29,ADANIGREEN,2025-02-27,1120.00,CE,0.00,0.00,0.00,142.90,309.60,0,0,0,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1020.00,PE,20.00,21.00,14.15,15.80,15.80,7125,7125,34,1323.95
2024-11-29,ADANIGREEN,2025-01-30,1200.00,CE,193.85,193.85,193.85,193.85,230.55,375,375,1,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1200.00,CE,56.00,213.75,56.00,175.35,175.35,280125,280125,10792,1323.95
2024-11-29,ADANIGREEN,2024-12-26,1260.00,CE,58.60,167.75,52.70,136.00,136.00,28875,28875,1210,1323.95
