TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,ADANIPORTS,2024-02-29,1120.00,CE,0.00,0.00,0.00,11.45,45.35,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-01-25,1020.00,PE,35.00,35.55,25.15,27.05,27.05,320000,-207200,2373,1047.85
2024-01-01,ADANIPORTS,2024-01-25,1200.00,CE,8.00,14.50,6.35,10.60,10.60,1387200,167200,4631,1047.85
2024-01-01,ADANIPORTS,2024-02-29,1200.00,PE,0.00,0.00,0.00,311.20,163.40,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-02-29,950.00,CE,0.00,0.00,0.00,38.40,133.50,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-03-28,1060.00,PE,0.00,0.00,0.00,113.95,81.70,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-02-29,1060.00,PE,0.00,0.00,0.00,233.40,69.75,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-03-28,1060.00,CE,0.00,0.00,0.00,89.95,86.45,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-03-28,1130.00,PE,0.00,0.00,0.00,157.65,122.60,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-02-29,1130.00,PE,0.00,0.00,0.00,294.90,112.00,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-03-28,1130.00,CE,0.00,0.00,0.00,64.95,58.50,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-03-28,1150.00,CE,0.00,0.00,0.00,58.95,52.00,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-01-25,1020.00,CE,49.90,72.50,45.85,65.55,65.55,345600,-163200,1575,1047.85
2024-01-01,ADANIPORTS,2024-01-25,700.00,PE,0.00,0.00,0.00,0.35,0.05,32800,0,0,1047.85
2024-01-01,ADANIPORTS,2024-02-29,1170.00,CE,0.00,0.00,0.00,7.80,30.95,0,0,0,1047.85
2024-01-01,ADANIPORTS,2024-01-25,1040.00,CE,41.15,61.60,37.05,51.25,51.25,358400,-247200,3531,1047.85
