TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2026-04-01,ADANIPOWER,2026-04-28,145.00,PE,5.00,8.92,4.00,4.32,4.32,39050,39050,14,157.10
2026-04-01,ADANIPOWER,2026-06-30,170.00,CE,0.00,0.00,0.00,9.57,9.48,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,155.00,CE,10.00,11.75,8.26,11.02,11.02,188150,188150,272,157.10
2026-04-01,ADANIPOWER,2026-04-28,152.50,CE,0.00,0.00,0.00,8.16,10.29,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,137.50,CE,0.00,0.00,0.00,16.91,21.26,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,170.00,PE,0.00,0.00,0.00,26.09,20.09,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,175.00,PE,0.00,0.00,0.00,27.52,21.35,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,152.50,PE,0.00,0.00,0.00,12.53,7.84,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,157.50,PE,3.80,10.69,3.80,9.27,9.27,7100,7100,4,157.10
2026-04-01,ADANIPOWER,2026-05-26,125.00,PE,0.00,0.00,0.00,2.54,0.91,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,150.00,CE,0.00,0.00,0.00,9.33,11.82,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,177.50,CE,0.00,0.00,0.00,1.63,1.71,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,130.00,CE,0.00,0.00,0.00,25.53,29.67,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,162.50,CE,0.00,0.00,0.00,8.25,8.94,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,167.50,CE,0.00,0.00,0.00,6.72,7.09,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,140.00,CE,0.00,0.00,0.00,22.35,24.51,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,160.00,CE,0.00,0.00,0.00,12.90,13.36,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,180.00,CE,0.00,0.00,0.00,7.01,6.56,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,142.50,PE,0.00,0.00,0.00,7.77,4.17,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,145.00,PE,0.00,0.00,0.00,8.84,4.95,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,145.00,PE,0.00,0.00,0.00,11.59,7.23,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,162.50,CE,0.00,0.00,0.00,4.53,5.49,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,180.00,CE,0.00,0.00,0.00,3.91,3.77,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,135.00,PE,1.51,3.00,1.51,1.78,0.80,71000,71000,33,157.10
2026-04-01,ADANIPOWER,2026-04-28,140.00,CE,0.00,0.00,0.00,15.16,19.16,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,135.00,CE,0.00,0.00,0.00,21.99,25.55,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,130.00,CE,0.00,0.00,0.00,22.72,28.01,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,172.50,CE,0.00,0.00,0.00,5.44,5.56,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,167.50,PE,0.00,0.00,0.00,19.42,13.55,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,155.00,PE,0.00,0.00,0.00,13.92,9.00,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,160.00,PE,0.00,0.00,0.00,16.92,11.58,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,162.50,PE,0.00,0.00,0.00,18.52,13.00,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,165.00,PE,0.00,0.00,0.00,20.20,14.52,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,147.50,PE,0.00,0.00,0.00,9.99,5.82,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,160.00,PE,10.39,11.36,9.50,10.43,10.43,63900,63900,30,157.10
2026-04-01,ADANIPOWER,2026-05-26,145.00,CE,0.00,0.00,0.00,15.87,18.25,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,130.00,CE,0.00,0.00,0.00,28.61,31.81,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,160.00,CE,7.00,9.09,6.50,8.60,8.60,649650,649650,1301,157.10
2026-04-01,ADANIPOWER,2026-04-28,180.00,CE,2.45,3.19,2.44,2.64,2.64,63900,63900,18,157.10
2026-04-01,ADANIPOWER,2026-06-30,165.00,CE,0.00,0.00,0.00,11.13,11.29,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,125.00,PE,0.70,0.70,0.70,0.70,0.70,3550,3550,2,157.10
2026-04-01,ADANIPOWER,2026-04-28,140.00,PE,4.00,5.00,2.73,2.93,2.93,131350,131350,119,157.10
2026-04-01,ADANIPOWER,2026-04-28,142.50,PE,0.00,0.00,0.00,4.81,1.98,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,135.00,PE,0.00,0.00,0.00,7.50,4.11,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,175.00,PE,0.00,0.00,0.00,29.63,23.45,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,140.00,CE,0.00,0.00,0.00,18.76,21.73,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,147.50,CE,0.00,0.00,0.00,14.55,16.64,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,167.50,CE,0.00,0.00,0.00,3.29,3.83,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-05-26,177.50,CE,0.00,0.00,0.00,4.38,4.31,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,145.00,CE,0.00,0.00,0.00,19.61,21.28,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,130.00,PE,0.00,0.00,0.00,1.56,0.39,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,150.00,PE,0.00,0.00,0.00,14.02,9.23,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-04-28,152.50,PE,9.99,10.00,6.67,6.96,6.96,46150,46150,21,157.10
2026-04-01,ADANIPOWER,2026-05-26,167.50,PE,0.00,0.00,0.00,21.94,16.11,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,130.00,PE,0.00,0.00,0.00,5.86,2.96,0,0,0,157.10
2026-04-01,ADANIPOWER,2026-06-30,155.00,PE,0.00,0.00,0.00,16.69,11.52,0,0,0,157.10
