TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,AMBUJACEM,2024-01-25,355.00,PE,0.00,0.00,0.00,10.10,0.05,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,395.00,PE,0.00,0.00,0.00,15.25,0.45,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,415.00,PE,0.00,0.00,0.00,22.30,1.05,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,415.00,CE,0.00,0.00,0.00,40.75,121.25,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,600.00,PE,0.00,0.00,0.00,154.20,70.95,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,350.00,PE,0.70,0.70,0.15,0.15,0.05,1800,0,4,534.35
2024-01-01,AMBUJACEM,2024-03-28,475.00,PE,0.00,0.00,0.00,23.35,11.95,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,560.00,CE,10.10,14.90,8.90,12.60,12.60,691200,288000,1280,534.35
2024-01-01,AMBUJACEM,2024-01-25,535.00,PE,23.35,24.95,16.30,19.50,19.50,147600,46800,283,534.35
2024-01-01,AMBUJACEM,2024-02-29,475.00,CE,0.00,0.00,0.00,26.40,72.45,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,475.00,PE,3.65,3.65,2.00,2.45,2.45,61200,54000,81,534.35
2024-01-01,AMBUJACEM,2024-01-25,510.00,PE,14.55,14.55,7.40,8.65,8.65,453600,118800,443,534.35
2024-01-01,AMBUJACEM,2024-03-28,600.00,CE,0.00,0.00,0.00,19.95,18.40,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,600.00,CE,3.25,6.20,2.80,5.55,5.55,828000,828000,1600,534.35
2024-01-01,AMBUJACEM,2024-03-28,600.00,PE,0.00,0.00,0.00,94.90,74.45,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,370.00,CE,0.00,0.00,0.00,84.60,168.50,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,370.00,PE,0.00,0.00,0.00,14.15,0.05,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,570.00,CE,7.25,11.95,6.75,10.30,10.30,363600,68400,576,534.35
2024-01-01,AMBUJACEM,2024-02-29,570.00,CE,23.00,23.00,23.00,23.00,19.85,1800,1800,1,534.35
2024-01-01,AMBUJACEM,2024-02-29,570.00,PE,0.00,0.00,0.00,127.30,49.35,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-03-28,570.00,PE,0.00,0.00,0.00,73.40,54.05,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,455.00,CE,0.00,0.00,0.00,33.95,88.75,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,425.00,PE,0.00,0.00,0.00,37.25,0.10,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-03-28,500.00,CE,0.00,0.00,0.00,56.80,61.80,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-03-28,540.00,PE,0.00,0.00,0.00,54.40,36.80,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,540.00,CE,0.00,0.00,0.00,10.65,31.75,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,420.00,CE,0.00,0.00,0.00,51.15,120.20,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,520.00,PE,0.00,0.00,0.00,85.70,22.05,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,430.00,CE,0.00,0.00,0.00,89.00,106.40,7200,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,430.00,CE,0.00,0.00,0.00,45.70,110.90,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,355.00,CE,0.00,0.00,0.00,77.70,180.90,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,445.00,CE,0.00,0.00,0.00,28.05,91.75,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,490.00,CE,0.00,0.00,0.00,21.65,61.25,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,490.00,CE,44.30,57.65,44.10,57.65,50.85,25200,16200,18,534.35
2024-01-01,AMBUJACEM,2024-02-29,485.00,CE,0.00,0.00,0.00,23.15,64.90,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-03-28,485.00,PE,0.00,0.00,0.00,27.20,14.70,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,545.00,PE,26.35,27.40,21.70,25.15,25.15,46800,36000,74,534.35
2024-01-01,AMBUJACEM,2024-03-28,545.00,PE,0.00,0.00,0.00,57.40,39.45,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-03-28,465.00,PE,0.00,0.00,0.00,19.90,9.60,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,405.00,PE,0.00,0.00,0.00,18.60,0.70,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-03-28,455.00,CE,0.00,0.00,0.00,84.25,94.20,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,550.00,PE,33.60,34.35,24.10,29.25,29.25,325800,70200,271,534.35
2024-01-01,AMBUJACEM,2024-02-29,550.00,CE,27.35,32.30,27.35,30.15,30.15,12600,3600,16,534.35
2024-01-01,AMBUJACEM,2024-01-25,545.00,CE,14.00,20.80,13.40,17.75,17.75,138600,102600,335,534.35
2024-01-01,AMBUJACEM,2024-03-28,545.00,CE,0.00,0.00,0.00,36.45,37.50,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,380.00,PE,0.00,0.00,0.00,11.05,0.20,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-03-28,465.00,CE,0.00,0.00,0.00,77.50,86.40,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,395.00,PE,0.00,0.00,0.00,23.00,0.05,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,395.00,CE,0.00,0.00,0.00,51.35,141.10,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-02-29,370.00,PE,0.00,0.00,0.00,8.75,0.10,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-03-28,460.00,CE,0.00,0.00,0.00,80.85,90.25,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,460.00,PE,2.40,2.40,1.15,1.25,1.25,198000,-10800,184,534.35
2024-01-01,AMBUJACEM,2024-03-28,535.00,CE,0.00,0.00,0.00,40.40,42.20,0,0,0,534.35
2024-01-01,AMBUJACEM,2024-01-25,535.00,CE,17.20,25.75,17.05,21.95,21.95,340200,183600,838,534.35
2024-01-01,AMBUJACEM,2024-01-25,445.00,PE,1.25,1.30,0.70,0.80,0.80,126000,54000,99,534.35
