TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,APOLLOHOSP,2024-03-28,5000.00,CE,0.00,0.00,0.00,915.80,865.35,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,5000.00,PE,0.00,0.00,0.00,65.40,35.55,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,5400.00,CE,0.00,0.00,0.00,618.85,550.05,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,4700.00,CE,0.00,0.00,0.00,963.15,1105.15,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,5650.00,CE,270.00,279.95,248.05,266.65,266.65,8125,125,41,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,5650.00,PE,152.00,152.00,123.70,128.30,128.30,12750,-375,54,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,6150.00,PE,0.00,0.00,0.00,674.35,447.95,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,6150.00,CE,0.00,0.00,0.00,163.45,114.70,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,5350.00,CE,0.00,0.00,0.00,493.65,527.85,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,5350.00,PE,0.00,0.00,0.00,146.05,100.30,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,4950.00,PE,0.00,0.00,0.00,354.40,1.25,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,5950.00,PE,0.00,0.00,0.00,1120.90,257.10,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,5400.00,PE,0.00,0.00,0.00,161.25,113.85,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,3950.00,PE,0.00,0.00,0.00,30.55,0.05,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,6400.00,CE,0.00,0.00,0.00,109.10,60.80,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,5650.00,PE,0.00,0.00,0.00,254.40,200.75,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,4600.00,PE,0.00,0.00,0.00,37.40,2.30,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,4600.00,CE,0.00,0.00,0.00,427.20,1170.40,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,6450.00,CE,0.00,0.00,0.00,100.25,53.05,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,6450.00,PE,0.00,0.00,0.00,1586.50,679.60,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,4800.00,CE,0.00,0.00,0.00,880.60,1009.25,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,5200.00,CE,0.00,0.00,0.00,759.85,699.50,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,5200.00,PE,0.00,0.00,0.00,164.45,41.50,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,6350.00,CE,0.00,0.00,0.00,181.10,116.80,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,4450.00,CE,0.00,0.00,0.00,521.50,1319.70,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,5150.00,PE,0.00,0.00,0.00,478.65,6.25,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,5050.00,CE,0.00,0.00,0.00,214.45,725.25,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,5750.00,PE,195.00,197.15,166.00,174.80,174.80,8375,250,134,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,5150.00,PE,0.00,0.00,0.00,94.40,57.35,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,5150.00,PE,0.00,0.00,0.00,148.55,34.35,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,5350.00,CE,0.00,0.00,0.00,652.80,585.70,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,5350.00,PE,0.00,0.00,0.00,620.55,22.90,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,6100.00,CE,0.00,0.00,0.00,176.70,129.05,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,6200.00,PE,0.00,0.00,0.00,1350.40,451.70,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,6100.00,CE,0.00,0.00,0.00,260.50,187.60,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,5700.00,CE,0.00,0.00,0.00,316.10,297.20,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,5700.00,PE,166.65,172.00,143.00,152.70,152.70,38000,1875,259,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,4000.00,CE,0.00,0.00,0.00,1670.00,1767.70,125,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,6000.00,CE,105.05,118.00,98.80,108.55,108.55,168875,250,1520,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,4800.00,PE,0.00,0.00,0.00,65.65,7.15,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,6000.00,PE,330.00,347.00,308.30,327.15,327.15,10250,1625,143,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,6150.00,PE,0.00,0.00,0.00,521.70,473.10,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,6150.00,PE,0.00,0.00,0.00,1303.90,409.40,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-02-29,6200.00,PE,0.00,0.00,0.00,711.30,484.35,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-01-25,6450.00,CE,0.00,0.00,0.00,11.70,8.20,0,0,0,5750.00
2024-01-01,APOLLOHOSP,2024-03-28,6450.00,CE,0.00,0.00,0.00,155.70,95.40,0,0,0,5750.00
