TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,ASIANPAINT,2024-01-25,3280.00,CE,0.00,0.00,0.00,55.70,151.80,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3480.00,CE,0.00,0.00,0.00,51.70,86.80,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3480.00,PE,0.00,0.00,0.00,349.45,133.00,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3480.00,CE,66.30,71.85,63.80,64.10,64.10,5800,5800,39,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3320.00,PE,0.00,0.00,0.00,347.80,31.80,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3500.00,PE,0.00,0.00,0.00,365.15,144.80,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3500.00,CE,0.00,0.00,0.00,142.40,108.95,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3500.00,CE,63.00,65.80,57.00,59.35,59.35,197600,10200,1102,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3660.00,PE,0.00,0.00,0.00,282.00,261.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3080.00,PE,0.00,0.00,0.00,32.95,18.10,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3460.00,PE,110.45,112.05,100.00,103.50,103.50,3600,-2000,44,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3440.00,PE,100.55,101.30,89.30,95.45,95.45,9200,-800,82,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3440.00,CE,0.00,0.00,0.00,169.85,136.00,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2900.00,CE,0.00,0.00,0.00,319.05,529.00,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2900.00,PE,2.15,2.60,2.00,2.05,2.05,13200,-1200,8,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3660.00,CE,0.00,0.00,0.00,85.05,56.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3660.00,CE,0.00,0.00,0.00,24.30,33.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3440.00,CE,0.00,0.00,0.00,60.50,104.45,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3580.00,CE,42.35,42.35,36.00,36.45,36.45,8200,3200,43,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3580.00,PE,0.00,0.00,0.00,430.35,197.35,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2580.00,CE,0.00,0.00,0.00,442.95,827.50,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3540.00,PE,0.00,0.00,0.00,397.30,170.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3540.00,CE,0.00,0.00,0.00,125.95,93.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3340.00,PE,0.00,0.00,0.00,247.70,66.30,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2820.00,CE,0.00,0.00,0.00,255.95,588.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3700.00,PE,0.00,0.00,0.00,310.25,291.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3700.00,PE,0.00,0.00,0.00,534.15,289.85,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3660.00,PE,0.00,0.00,0.00,498.85,257.40,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3440.00,PE,0.00,0.00,0.00,150.75,125.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3280.00,PE,31.70,34.70,30.00,33.20,33.20,3400,3400,21,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3400.00,CE,0.00,0.00,0.00,190.10,156.40,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3000.00,CE,0.00,0.00,0.00,249.40,433.25,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3000.00,CE,0.00,0.00,0.00,472.20,453.90,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3000.00,PE,4.00,4.15,3.00,4.00,4.00,82600,3000,153,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2660.00,PE,0.00,0.00,0.00,27.80,0.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2920.00,CE,0.00,0.00,0.00,193.95,489.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2920.00,PE,0.00,0.00,0.00,101.65,0.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2760.00,PE,0.00,0.00,0.00,21.45,0.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2760.00,CE,0.00,0.00,0.00,430.80,666.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2800.00,CE,0.00,0.00,0.00,397.40,626.85,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3100.00,PE,0.00,0.00,0.00,114.20,12.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2940.00,PE,2.00,2.00,2.00,2.00,0.10,4000,600,3,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2880.00,CE,0.00,0.00,0.00,217.50,528.80,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2740.00,PE,0.00,0.00,0.00,18.90,0.15,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2780.00,PE,0.00,0.00,0.00,53.95,0.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2980.00,CE,0.00,0.00,0.00,161.85,429.45,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2980.00,CE,0.00,0.00,0.00,262.55,452.15,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2980.00,PE,0.00,0.00,0.00,69.25,3.75,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3760.00,CE,0.00,0.00,0.00,15.40,17.75,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2940.00,CE,0.00,0.00,0.00,182.80,469.15,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3160.00,CE,0.00,0.00,0.00,343.40,317.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3740.00,PE,0.00,0.00,0.00,719.65,329.85,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3480.00,PE,0.00,0.00,0.00,171.35,145.90,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3320.00,CE,0.00,0.00,0.00,150.90,122.55,1800,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3140.00,CE,0.00,0.00,0.00,358.50,333.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3500.00,PE,133.70,139.00,125.00,132.00,132.00,12400,1000,36,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3260.00,CE,0.00,0.00,0.00,115.25,212.10,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3640.00,CE,0.00,0.00,0.00,26.55,37.30,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2600.00,CE,0.00,0.00,0.00,425.70,807.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3280.00,CE,0.00,0.00,0.00,107.75,197.95,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2920.00,PE,0.00,0.00,0.00,52.30,1.90,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3280.00,CE,0.00,0.00,0.00,260.05,228.90,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2740.00,CE,0.00,0.00,0.00,312.90,668.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2740.00,PE,0.00,0.00,0.00,43.75,0.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3400.00,CE,0.00,0.00,0.00,70.25,124.35,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3000.00,PE,13.45,13.45,13.45,13.45,4.65,4800,0,1,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3140.00,PE,0.00,0.00,0.00,44.75,27.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3140.00,CE,296.05,296.10,296.05,296.10,273.50,400,200,2,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3140.00,CE,0.00,0.00,0.00,168.60,307.00,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3500.00,PE,0.00,0.00,0.00,182.20,157.00,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3500.00,CE,0.00,0.00,0.00,98.00,78.85,600,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3660.00,PE,0.00,0.00,0.00,644.40,254.45,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3660.00,CE,27.50,27.50,21.90,22.90,22.90,13200,4200,34,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3020.00,PE,0.00,0.00,0.00,82.60,5.70,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3620.00,CE,0.00,0.00,0.00,97.35,66.85,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3240.00,CE,0.00,0.00,0.00,286.40,256.70,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3020.00,PE,0.00,0.00,0.00,6.35,0.45,1200,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3280.00,PE,0.00,0.00,0.00,209.10,46.30,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2600.00,PE,0.00,0.00,0.00,19.05,0.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3040.00,PE,0.00,0.00,0.00,89.90,6.90,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3720.00,PE,0.00,0.00,0.00,552.00,306.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3580.00,CE,0.00,0.00,0.00,110.95,79.15,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3760.00,PE,0.00,0.00,0.00,588.15,340.90,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2540.00,PE,0.00,0.00,0.00,12.60,0.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3400.00,PE,0.00,0.00,0.00,289.45,91.40,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2820.00,CE,0.00,0.00,0.00,381.10,607.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3560.00,CE,0.00,0.00,0.00,118.25,85.95,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3560.00,PE,175.60,179.15,173.70,177.70,167.75,2000,2000,15,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3180.00,PE,0.00,0.00,0.00,54.35,34.70,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2800.00,CE,0.00,0.00,0.00,269.60,608.45,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3600.00,PE,0.00,0.00,0.00,447.20,211.70,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2820.00,PE,0.00,0.00,0.00,65.40,0.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3620.00,PE,0.00,0.00,0.00,464.20,226.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2840.00,PE,0.00,0.00,0.00,34.30,0.70,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3380.00,PE,0.00,0.00,0.00,122.75,97.30,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3380.00,CE,119.60,121.25,109.05,112.20,112.20,38000,1800,215,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3360.00,CE,0.00,0.00,0.00,211.90,178.70,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3360.00,PE,0.00,0.00,0.00,114.20,89.00,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3080.00,CE,0.00,0.00,0.00,200.75,359.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3080.00,CE,0.00,0.00,0.00,116.80,331.00,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3460.00,PE,0.00,0.00,0.00,160.85,135.25,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3460.00,CE,79.00,81.10,71.05,74.15,74.15,43000,10800,410,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2580.00,PE,0.00,0.00,0.00,16.65,0.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2880.00,PE,0.00,0.00,0.00,42.55,1.15,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3780.00,PE,0.00,0.00,0.00,606.45,358.45,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2740.00,CE,0.00,0.00,0.00,447.90,685.95,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3540.00,PE,0.00,0.00,0.00,205.05,180.65,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3540.00,CE,51.75,51.85,45.30,48.45,48.45,17000,5400,94,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3540.00,CE,0.00,0.00,0.00,40.60,64.50,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3120.00,CE,0.00,0.00,0.00,178.90,324.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3300.00,PE,0.00,0.00,0.00,90.85,66.95,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2820.00,PE,0.00,0.00,0.00,30.65,0.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3360.00,PE,59.00,62.30,54.10,59.05,59.05,16400,-200,121,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3360.00,PE,0.00,0.00,0.00,261.30,74.10,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3360.00,CE,0.00,0.00,0.00,81.35,146.60,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3360.00,CE,121.35,129.95,121.15,125.55,125.55,10800,400,26,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2720.00,PE,0.00,0.00,0.00,16.60,0.10,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3180.00,CE,0.00,0.00,0.00,81.75,236.45,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3240.00,PE,24.55,25.50,21.60,24.40,24.40,25800,5400,82,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3020.00,CE,0.00,0.00,0.00,236.60,414.50,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3020.00,PE,0.00,0.00,0.00,23.60,11.65,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3160.00,PE,0.00,0.00,0.00,142.20,19.80,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3780.00,CE,0.00,0.00,0.00,14.05,15.50,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3040.00,PE,0.00,0.00,0.00,7.45,0.65,1000,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3720.00,CE,0.00,0.00,0.00,7.30,3.20,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3580.00,PE,189.45,194.20,189.45,194.20,184.15,400,400,2,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3220.00,PE,20.70,21.55,18.55,20.70,20.70,9400,3800,73,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3760.00,CE,0.00,0.00,0.00,59.85,35.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3180.00,PE,14.15,16.15,13.45,15.25,15.25,11000,5200,51,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3120.00,PE,0.00,0.00,0.00,13.90,2.60,2000,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3100.00,PE,8.65,9.10,7.15,8.75,8.75,327000,99400,924,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3100.00,CE,0.00,0.00,0.00,189.60,341.70,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3100.00,PE,0.00,0.00,0.00,36.60,20.80,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3280.00,PE,0.00,0.00,0.00,83.80,60.50,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3080.00,CE,0.00,0.00,0.00,405.60,383.30,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3080.00,PE,0.00,0.00,0.00,105.70,10.05,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3080.00,PE,0.00,0.00,0.00,9.40,1.35,600,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,3200.00,PE,34.25,40.20,34.25,38.70,26.85,8800,2200,12,3396.05
2024-01-01,ASIANPAINT,2024-01-25,2840.00,CE,0.00,0.00,0.00,242.70,568.65,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-02-29,2840.00,CE,0.00,0.00,0.00,365.10,587.55,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-03-28,3260.00,PE,0.00,0.00,0.00,77.15,54.50,0,0,0,3396.05
2024-01-01,ASIANPAINT,2024-01-25,3260.00,PE,29.20,29.60,25.00,27.75,27.75,28000,1400,109,3396.05
