TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,AXISBANK,2024-01-25,1020.00,CE,0.00,0.00,0.00,95.85,85.10,9375,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1020.00,CE,0.00,0.00,0.00,101.65,98.55,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1200.00,CE,5.55,5.75,4.45,4.80,4.80,1153750,113125,1403,1097.80
2024-01-01,AXISBANK,2024-01-25,1060.00,PE,12.05,12.10,9.40,10.90,10.90,185000,-9375,576,1097.80
2024-01-01,AXISBANK,2024-03-28,1130.00,CE,0.00,0.00,0.00,60.50,43.00,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1150.00,PE,0.00,0.00,0.00,93.40,64.30,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1040.00,CE,73.20,77.80,73.20,75.00,75.00,72500,15625,40,1097.80
2024-01-01,AXISBANK,2024-03-28,1040.00,PE,0.00,0.00,0.00,25.50,19.50,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1030.00,PE,5.95,6.20,4.60,5.30,5.30,214375,52500,393,1097.80
2024-01-01,AXISBANK,2024-01-25,950.00,PE,2.25,2.25,0.60,0.75,0.75,193125,49375,160,1097.80
2024-01-01,AXISBANK,2024-03-28,1210.00,PE,0.00,0.00,0.00,111.65,110.75,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1210.00,PE,0.00,0.00,0.00,136.35,109.20,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1270.00,CE,0.00,0.00,0.00,12.20,3.60,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,900.00,CE,0.00,0.00,0.00,208.50,201.80,7500,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,980.00,PE,1.80,2.20,1.50,1.70,1.70,76875,2500,215,1097.80
2024-01-01,AXISBANK,2024-02-29,1250.00,PE,0.00,0.00,0.00,168.35,143.80,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,960.00,PE,0.00,0.00,0.00,8.65,4.90,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1140.00,CE,32.90,32.90,29.60,29.60,28.05,0,0,2,1097.80
2024-01-01,AXISBANK,2024-01-25,1110.00,CE,26.40,30.10,25.20,26.95,26.95,530000,115000,1821,1097.80
2024-01-01,AXISBANK,2024-02-29,1110.00,PE,0.00,0.00,0.00,69.15,40.80,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,1010.00,CE,0.00,0.00,0.00,133.65,116.20,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,1220.00,CE,0.00,0.00,0.00,28.60,15.80,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1220.00,CE,0.00,0.00,0.00,20.20,8.65,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1040.00,CE,0.00,0.00,0.00,89.10,83.25,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,990.00,CE,0.00,0.00,0.00,122.40,123.65,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,990.00,CE,0.00,0.00,0.00,54.30,113.05,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,990.00,CE,0.00,0.00,0.00,149.10,132.30,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,960.00,PE,0.00,0.00,0.00,40.30,0.20,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,950.00,PE,0.00,0.00,0.00,11.80,1.85,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,950.00,PE,0.00,0.00,0.00,7.35,4.00,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,1060.00,PE,0.00,0.00,0.00,31.90,25.70,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,920.00,PE,0.00,0.00,0.00,7.40,0.75,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,1020.00,CE,0.00,0.00,0.00,126.25,108.50,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,1070.00,CE,0.00,0.00,0.00,92.60,74.15,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1210.00,PE,0.00,0.00,0.00,221.60,108.55,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1210.00,CE,4.25,4.45,3.65,3.90,3.90,113750,21250,358,1097.80
2024-01-01,AXISBANK,2024-01-25,1220.00,PE,0.00,0.00,0.00,230.80,118.05,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1280.00,PE,0.00,0.00,0.00,287.20,176.65,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1280.00,PE,0.00,0.00,0.00,193.80,171.30,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1130.00,CE,0.00,0.00,0.00,45.30,31.90,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,1120.00,CE,0.00,0.00,0.00,65.20,47.40,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,810.00,PE,0.00,0.00,0.00,4.30,0.05,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,1220.00,PE,0.00,0.00,0.00,118.80,118.55,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,820.00,CE,0.00,0.00,0.00,171.90,281.45,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,960.00,CE,0.00,0.00,0.00,173.75,158.05,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1090.00,CE,0.00,0.00,0.00,62.25,50.95,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1050.00,CE,78.00,83.00,78.00,83.00,76.05,1875,1875,3,1097.80
2024-01-01,AXISBANK,2024-01-25,1100.00,CE,31.65,35.20,29.90,31.75,31.75,1475000,231875,3123,1097.80
2024-01-01,AXISBANK,2024-02-29,1100.00,PE,34.50,34.50,33.25,34.50,34.50,4375,3750,6,1097.80
2024-01-01,AXISBANK,2024-03-28,1120.00,PE,0.00,0.00,0.00,57.20,51.75,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1090.00,PE,0.00,0.00,0.00,58.45,31.30,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,1230.00,PE,0.00,0.00,0.00,126.20,126.50,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,950.00,CE,0.00,0.00,0.00,164.95,152.10,1875,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1180.00,CE,0.00,0.00,0.00,29.35,16.10,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1180.00,CE,7.35,8.00,6.65,7.05,7.05,369375,-59375,834,1097.80
2024-01-01,AXISBANK,2024-01-25,1260.00,CE,1.60,1.75,1.45,1.50,1.50,80000,-5625,105,1097.80
2024-01-01,AXISBANK,2024-02-29,1260.00,PE,0.00,0.00,0.00,176.70,152.85,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1230.00,PE,0.00,0.00,0.00,240.05,127.65,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1230.00,PE,0.00,0.00,0.00,152.00,126.15,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1150.00,PE,56.25,58.65,52.05,56.65,56.65,211250,625,65,1097.80
2024-01-01,AXISBANK,2024-01-25,1150.00,CE,15.55,15.55,11.90,12.80,12.80,1096875,22500,2644,1097.80
2024-01-01,AXISBANK,2024-02-29,1150.00,CE,0.00,0.00,0.00,38.25,24.60,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,1250.00,CE,0.00,0.00,0.00,15.00,5.15,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1000.00,CE,108.85,113.15,108.85,112.90,103.50,122500,3750,20,1097.80
2024-01-01,AXISBANK,2024-01-25,1000.00,PE,3.25,3.50,2.35,2.70,2.70,975000,46250,748,1097.80
2024-01-01,AXISBANK,2024-03-28,1110.00,PE,0.00,0.00,0.00,52.35,46.60,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,1190.00,PE,85.20,85.20,85.20,85.20,90.10,8125,0,2,1097.80
2024-01-01,AXISBANK,2024-01-25,1040.00,PE,7.70,7.75,5.85,6.75,6.75,202500,33125,431,1097.80
2024-01-01,AXISBANK,2024-01-25,990.00,PE,2.45,2.50,1.85,2.15,2.15,22500,22500,88,1097.80
2024-01-01,AXISBANK,2024-03-28,990.00,PE,0.00,0.00,0.00,13.45,8.70,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,980.00,PE,0.00,0.00,0.00,11.65,7.25,0,0,0,1097.80
2024-01-01,AXISBANK,2024-02-29,980.00,CE,0.00,0.00,0.00,129.75,132.45,0,0,0,1097.80
2024-01-01,AXISBANK,2024-03-28,980.00,CE,0.00,0.00,0.00,157.15,140.70,0,0,0,1097.80
2024-01-01,AXISBANK,2024-01-25,980.00,CE,0.00,0.00,0.00,133.00,122.70,1250,0,0,1097.80
