TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,BAJAJFINSV,2024-01-25,1750.00,CE,28.00,30.40,24.20,25.30,25.30,101500,9000,510,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1650.00,CE,74.00,76.95,67.50,69.15,69.15,28500,-2500,46,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1650.00,CE,0.00,0.00,0.00,132.50,91.80,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1750.00,CE,0.00,0.00,0.00,85.85,45.45,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1890.00,CE,0.00,0.00,0.00,43.00,13.20,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1810.00,PE,0.00,0.00,0.00,250.20,133.25,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1810.00,PE,0.00,0.00,0.00,168.65,141.75,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1940.00,PE,0.00,0.00,0.00,360.35,255.70,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-03-28,1720.00,CE,0.00,0.00,0.00,99.50,75.45,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1480.00,PE,1.90,2.45,1.90,2.10,0.90,45500,8000,21,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1450.00,PE,0.00,0.00,0.00,5.00,0.40,500,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1600.00,CE,115.00,115.00,103.00,104.00,96.60,44500,7000,29,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1830.00,CE,0.00,0.00,0.00,58.45,23.25,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1880.00,CE,0.00,0.00,0.00,45.30,14.60,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1880.00,PE,0.00,0.00,0.00,308.05,197.50,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1640.00,PE,0.00,0.00,0.00,75.10,43.55,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1520.00,PE,0.00,0.00,0.00,34.45,11.90,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1520.00,PE,4.15,4.15,3.55,3.95,3.95,5500,5500,17,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1470.00,CE,0.00,0.00,0.00,166.35,213.55,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1820.00,PE,0.00,0.00,0.00,258.25,142.05,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-03-28,1900.00,CE,0.00,0.00,0.00,40.55,22.85,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1800.00,CE,0.00,0.00,0.00,50.00,30.25,500,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1620.00,PE,0.00,0.00,0.00,66.85,36.20,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1620.00,CE,0.00,0.00,0.00,97.05,81.80,4000,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1830.00,CE,10.95,11.20,9.75,11.20,5.45,4500,3500,17,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1610.00,PE,0.00,0.00,0.00,62.95,32.90,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1610.00,PE,14.85,17.20,13.90,15.70,15.70,6500,6000,20,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1540.00,PE,0.00,0.00,0.00,39.80,15.30,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1910.00,CE,0.00,0.00,0.00,38.70,10.80,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-03-28,1460.00,PE,0.00,0.00,0.00,18.70,9.85,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1710.00,CE,0.00,0.00,0.00,102.80,61.30,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1640.00,PE,23.00,26.55,21.45,25.60,25.60,20500,6500,92,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1640.00,CE,0.00,0.00,0.00,138.00,97.70,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-03-28,1640.00,PE,0.00,0.00,0.00,69.55,53.90,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1910.00,PE,0.00,0.00,0.00,240.95,223.75,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1850.00,PE,0.00,0.00,0.00,196.20,172.95,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1850.00,CE,8.00,8.45,7.75,8.10,8.10,5000,3500,14,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1850.00,PE,158.00,165.55,158.00,165.50,169.25,11000,11000,25,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1850.00,CE,0.00,0.00,0.00,52.85,19.40,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1880.00,CE,6.90,6.90,5.40,5.40,5.40,7500,-500,7,1676.35
2024-01-01,BAJAJFINSV,2024-03-28,1880.00,CE,0.00,0.00,0.00,45.15,26.50,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1360.00,CE,0.00,0.00,0.00,245.65,322.40,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1420.00,PE,0.00,0.00,0.00,35.05,0.15,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1790.00,PE,0.00,0.00,0.00,234.50,116.25,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1540.00,CE,0.00,0.00,0.00,200.90,168.35,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1580.00,CE,0.00,0.00,0.00,105.10,112.55,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1700.00,CE,75.50,77.30,70.00,77.30,65.85,1500,1000,3,1676.35
2024-01-01,BAJAJFINSV,2024-03-28,1700.00,CE,0.00,0.00,0.00,108.80,84.60,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1560.00,CE,0.00,0.00,0.00,128.10,129.50,1000,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1770.00,PE,0.00,0.00,0.00,219.10,100.10,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1770.00,CE,0.00,0.00,0.00,78.25,38.80,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1770.00,PE,0.00,0.00,0.00,143.05,113.25,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1770.00,CE,22.70,24.45,19.25,20.10,20.10,25500,11500,149,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1580.00,CE,0.00,0.00,0.00,173.95,137.65,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-01-25,1900.00,PE,0.00,0.00,0.00,205.00,216.70,48000,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1680.00,PE,0.00,0.00,0.00,93.40,60.95,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1900.00,PE,0.00,0.00,0.00,233.25,215.00,0,0,0,1676.35
2024-01-01,BAJAJFINSV,2024-02-29,1900.00,CE,0.00,0.00,0.00,40.80,11.95,0,0,0,1676.35
