TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2025-12-31,BAJAJHLDNG,2026-02-24,10100.00,CE,0.00,0.00,0.00,1247.10,1434.50,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-02-24,9900.00,CE,0.00,0.00,0.00,1390.45,1599.95,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-02-24,9600.00,CE,0.00,0.00,0.00,1620.20,1861.20,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,12200.00,CE,90.95,151.00,90.95,96.30,96.30,450,450,47,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,11500.00,CE,199.80,400.00,199.80,290.05,290.05,11850,11850,1419,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,11400.00,CE,287.95,469.65,287.95,335.55,335.55,3900,3900,561,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,10400.00,CE,0.00,0.00,0.00,845.25,1052.05,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,9400.00,CE,0.00,0.00,0.00,1660.05,1971.70,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-02-24,11700.00,PE,0.00,0.00,0.00,1041.20,735.10,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-02-24,11400.00,PE,0.00,0.00,0.00,852.70,568.55,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,11800.00,PE,0.00,0.00,0.00,967.90,660.35,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,11700.00,PE,0.00,0.00,0.00,894.10,594.85,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,10100.00,PE,0.00,0.00,0.00,135.75,41.85,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,11800.00,CE,214.10,257.25,162.10,181.50,181.50,350,350,37,11327.85
2025-12-31,BAJAJHLDNG,2026-01-27,10900.00,CE,650.00,685.00,650.00,685.00,677.80,50,50,3,11327.85
2025-12-31,BAJAJHLDNG,2026-03-30,10600.00,PE,0.00,0.00,0.00,592.70,357.50,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-02-24,9600.00,PE,0.00,0.00,0.00,149.50,54.10,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-03-30,9600.00,PE,0.00,0.00,0.00,255.10,117.00,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-03-30,12200.00,CE,0.00,0.00,0.00,470.90,457.70,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-03-30,9800.00,CE,0.00,0.00,0.00,1635.65,1809.20,0,0,0,11327.85
2025-12-31,BAJAJHLDNG,2026-02-24,10300.00,CE,0.00,0.00,0.00,1112.30,1277.25,0,0,0,11327.85
