TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,BANKBARODA,2024-01-25,220.00,CE,16.50,20.85,16.50,18.20,18.20,1301625,-254475,447,233.75
2024-01-01,BANKBARODA,2024-02-29,220.00,CE,0.00,0.00,0.00,8.65,21.60,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,262.50,CE,0.00,0.00,0.00,1.85,3.90,0,0,0,233.75
2024-01-01,BANKBARODA,2024-03-28,262.50,PE,0.00,0.00,0.00,34.10,30.90,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,202.50,PE,0.00,0.00,0.00,16.65,1.65,0,0,0,233.75
2024-01-01,BANKBARODA,2024-01-25,257.50,CE,2.55,3.50,2.50,2.65,2.65,988650,23400,279,233.75
2024-01-01,BANKBARODA,2024-01-25,217.50,CE,19.90,21.95,19.45,20.05,20.05,29250,5850,23,233.75
2024-01-01,BANKBARODA,2024-03-28,217.50,PE,0.00,0.00,0.00,9.50,6.50,0,0,0,233.75
2024-01-01,BANKBARODA,2024-03-28,212.50,CE,0.00,0.00,0.00,32.05,29.70,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,235.00,PE,0.00,0.00,0.00,38.90,11.55,0,0,0,233.75
2024-01-01,BANKBARODA,2024-03-28,217.50,CE,0.00,0.00,0.00,28.85,26.20,0,0,0,233.75
2024-01-01,BANKBARODA,2024-01-25,180.00,CE,0.00,0.00,0.00,52.15,54.55,8775,0,0,233.75
2024-01-01,BANKBARODA,2024-03-28,220.00,PE,0.00,0.00,0.00,10.40,7.30,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,262.50,PE,0.00,0.00,0.00,62.55,29.80,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,225.00,CE,0.00,0.00,0.00,7.35,18.35,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,225.00,PE,0.00,0.00,0.00,31.20,7.15,0,0,0,233.75
2024-01-01,BANKBARODA,2024-03-28,255.00,PE,0.00,0.00,0.00,28.95,25.50,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,177.50,CE,0.00,0.00,0.00,28.85,58.30,0,0,0,233.75
2024-01-01,BANKBARODA,2024-01-25,207.50,CE,0.00,0.00,0.00,9.70,27.75,0,0,0,233.75
2024-01-01,BANKBARODA,2024-01-25,167.50,CE,0.00,0.00,0.00,29.95,67.00,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,167.50,PE,0.00,0.00,0.00,3.55,0.05,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,222.50,CE,0.00,0.00,0.00,7.95,19.95,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,197.50,CE,0.00,0.00,0.00,17.15,39.50,0,0,0,233.75
2024-01-01,BANKBARODA,2024-03-28,197.50,CE,0.00,0.00,0.00,42.95,41.50,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,197.50,PE,0.00,0.00,0.00,14.00,1.10,0,0,0,233.75
2024-01-01,BANKBARODA,2024-03-28,197.50,PE,0.00,0.00,0.00,3.95,2.05,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,190.00,PE,0.00,0.00,0.00,10.55,0.55,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,190.00,CE,0.00,0.00,0.00,21.05,46.35,0,0,0,233.75
2024-01-01,BANKBARODA,2024-02-29,265.00,CE,0.00,0.00,0.00,1.70,3.45,0,0,0,233.75
2024-01-01,BANKBARODA,2024-03-28,227.50,CE,0.00,0.00,0.00,23.05,20.00,0,0,0,233.75
2024-01-01,BANKBARODA,2024-01-25,157.50,PE,0.00,0.00,0.00,3.00,0.05,0,0,0,233.75
2024-01-01,BANKBARODA,2024-01-25,212.50,PE,2.15,2.15,1.45,1.80,1.80,593775,32175,102,233.75
2024-01-01,BANKBARODA,2024-01-25,235.00,CE,8.65,11.30,8.65,9.30,9.30,4688775,453375,3451,233.75
