TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,BEL,2024-03-28,160.00,PE,0.00,0.00,0.00,3.25,1.50,0,0,0,184.95
2024-01-01,BEL,2024-02-29,196.00,PE,0.00,0.00,0.00,47.25,13.90,0,0,0,184.95
2024-01-01,BEL,2024-02-29,196.00,CE,0.00,0.00,0.00,0.65,5.00,0,0,0,184.95
2024-01-01,BEL,2024-03-28,180.00,CE,0.00,0.00,0.00,15.80,14.50,0,0,0,184.95
2024-01-01,BEL,2024-01-25,124.00,PE,0.00,0.00,0.00,5.70,0.05,0,0,0,184.95
2024-01-01,BEL,2024-01-25,187.00,CE,8.65,9.30,7.95,8.20,8.20,370500,142500,108,184.95
2024-01-01,BEL,2024-02-29,187.00,PE,0.00,0.00,0.00,38.90,8.55,0,0,0,184.95
2024-01-01,BEL,2024-01-25,163.00,PE,1.10,1.15,1.05,1.15,1.15,34200,34200,7,184.95
2024-01-01,BEL,2024-02-29,163.00,CE,0.00,0.00,0.00,4.85,24.85,0,0,0,184.95
2024-01-01,BEL,2024-01-25,160.00,PE,1.05,1.05,0.70,0.85,0.85,4069800,-125400,241,184.95
2024-01-01,BEL,2024-03-28,212.50,CE,0.00,0.00,0.00,4.50,2.90,0,0,0,184.95
2024-01-01,BEL,2024-01-25,208.00,CE,2.60,2.70,2.50,2.50,0.40,102600,-5700,6,184.95
2024-01-01,BEL,2024-02-29,155.00,CE,0.00,0.00,0.00,7.30,32.05,0,0,0,184.95
2024-01-01,BEL,2024-01-25,180.00,CE,11.70,13.05,11.35,11.60,11.60,5654400,-376200,487,184.95
2024-01-01,BEL,2024-01-25,134.00,CE,0.00,0.00,0.00,7.80,51.55,0,0,0,184.95
2024-01-01,BEL,2024-03-28,200.00,PE,0.00,0.00,0.00,21.25,17.65,0,0,0,184.95
2024-01-01,BEL,2024-01-25,121.00,PE,0.00,0.00,0.00,4.55,0.05,0,0,0,184.95
2024-01-01,BEL,2024-01-25,121.00,CE,0.00,0.00,0.00,14.60,64.50,0,0,0,184.95
2024-01-01,BEL,2024-02-29,177.50,PE,0.00,0.00,0.00,7.15,4.45,0,0,0,184.95
2024-01-01,BEL,2024-02-29,194.00,PE,0.00,0.00,0.00,45.35,12.60,0,0,0,184.95
2024-01-01,BEL,2024-01-25,194.00,CE,6.15,6.50,5.50,5.55,5.55,125400,45600,17,184.95
2024-01-01,BEL,2024-02-29,163.00,PE,0.00,0.00,0.00,19.00,1.15,0,0,0,184.95
2024-01-01,BEL,2024-02-29,181.00,PE,0.00,0.00,0.00,33.55,5.75,0,0,0,184.95
2024-01-01,BEL,2024-01-25,181.00,CE,11.30,12.35,10.85,11.05,11.05,193800,-28500,27,184.95
2024-01-01,BEL,2024-02-29,135.00,CE,0.00,0.00,0.00,17.60,51.45,0,0,0,184.95
2024-01-01,BEL,2024-01-25,135.00,PE,0.10,0.10,0.10,0.10,0.10,51300,0,2,184.95
2024-01-01,BEL,2024-02-29,202.50,PE,0.00,0.00,0.00,21.90,18.60,0,0,0,184.95
