TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,BHARTIARTL,2024-01-25,1020.00,PE,16.05,26.70,15.70,22.30,22.30,338200,47500,3668,1013.05
2024-01-01,BHARTIARTL,2024-03-28,1020.00,CE,0.00,0.00,0.00,67.25,43.60,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-01-25,950.00,CE,80.25,80.25,67.05,70.80,70.80,63650,-6650,68,1013.05
2024-01-01,BHARTIARTL,2024-01-25,1060.00,CE,14.05,14.25,7.05,8.25,8.25,416100,171000,2085,1013.05
2024-01-01,BHARTIARTL,2024-02-29,980.00,CE,0.00,0.00,0.00,77.20,57.95,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-03-28,980.00,PE,0.00,0.00,0.00,18.75,18.55,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-01-25,980.00,PE,5.75,10.50,5.35,7.95,7.95,369550,-6650,1795,1013.05
2024-01-01,BHARTIARTL,2024-03-28,980.00,CE,0.00,0.00,0.00,93.05,67.20,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-02-29,1110.00,PE,0.00,0.00,0.00,96.10,91.70,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-01-25,1150.00,CE,1.80,1.80,1.10,1.20,1.20,386650,77900,514,1013.05
2024-01-01,BHARTIARTL,2024-01-25,970.00,CE,66.95,66.95,51.80,54.20,54.20,34200,14250,51,1013.05
2024-01-01,BHARTIARTL,2024-02-29,1040.00,PE,0.00,0.00,0.00,51.30,40.75,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-02-29,1040.00,CE,0.00,0.00,0.00,44.60,25.10,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-01-25,990.00,PE,7.45,13.55,7.15,10.55,10.55,208050,44650,1245,1013.05
2024-01-01,BHARTIARTL,2024-01-25,1170.00,PE,0.00,0.00,0.00,244.85,151.80,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-03-28,1170.00,PE,0.00,0.00,0.00,125.70,142.75,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-02-29,1170.00,CE,0.00,0.00,0.00,9.60,1.65,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-03-28,1170.00,CE,0.00,0.00,0.00,13.45,4.45,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-01-25,860.00,CE,0.00,0.00,0.00,79.50,156.85,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-02-29,900.00,CE,0.00,0.00,0.00,137.50,124.45,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-02-29,910.00,PE,0.00,0.00,0.00,8.10,2.30,0,0,0,1013.05
2024-01-01,BHARTIARTL,2024-01-25,1170.00,CE,1.30,1.35,0.85,1.00,1.00,38000,22800,62,1013.05
2024-01-01,BHARTIARTL,2024-01-25,810.00,PE,0.00,0.00,0.00,7.60,0.05,0,0,0,1013.05
