TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,BOSCHLTD,2024-02-29,21400.00,PE,0.00,0.00,0.00,839.55,278.00,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,21400.00,CE,0.00,0.00,0.00,521.60,1238.85,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,21400.00,CE,0.00,0.00,0.00,1725.70,1752.20,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,21400.00,PE,0.00,0.00,0.00,638.10,377.75,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,20400.00,PE,0.00,0.00,0.00,473.70,95.45,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,20400.00,PE,0.00,0.00,0.00,1250.20,16.00,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,20400.00,CE,0.00,0.00,0.00,2410.15,2520.65,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,20400.00,CE,0.00,0.00,0.00,861.95,2139.25,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,18700.00,PE,0.00,0.00,0.00,487.50,0.10,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,22800.00,CE,0.00,0.00,0.00,789.60,711.60,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,22800.00,PE,0.00,0.00,0.00,1581.65,831.25,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,21700.00,CE,0.00,0.00,0.00,1264.40,1332.60,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,21700.00,CE,0.00,0.00,0.00,1546.30,1549.40,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,21700.00,PE,0.00,0.00,0.00,2109.60,175.70,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,21700.00,PE,0.00,0.00,0.00,976.15,364.25,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,20800.00,CE,0.00,0.00,0.00,710.00,1762.70,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,21500.00,CE,0.00,0.00,0.00,1368.35,1471.10,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,17800.00,CE,0.00,0.00,0.00,2418.70,4711.75,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,20200.00,PE,0.00,0.00,0.00,295.70,133.75,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,24100.00,PE,0.00,0.00,0.00,2488.95,1685.20,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,21700.00,PE,0.00,0.00,0.00,753.30,470.15,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,21700.00,CE,0.00,0.00,0.00,444.55,1004.70,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,22300.00,CE,0.00,0.00,0.00,985.45,963.55,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,22100.00,CE,0.00,0.00,0.00,1072.95,1078.60,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,22100.00,PE,0.00,0.00,0.00,926.20,615.65,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,22100.00,CE,0.00,0.00,0.00,1326.40,1301.30,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,22100.00,PE,0.00,0.00,0.00,2413.15,299.85,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,23500.00,PE,0.00,0.00,0.00,2046.55,1253.95,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,22500.00,CE,0.00,0.00,0.00,1128.50,1079.60,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,23500.00,PE,0.00,0.00,0.00,3584.90,1122.50,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,20600.00,CE,0.00,0.00,0.00,2263.95,2356.70,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,23800.00,PE,0.00,0.00,0.00,2263.50,1462.35,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,22400.00,CE,0.00,0.00,0.00,298.70,557.30,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,23400.00,PE,0.00,0.00,0.00,3496.75,1045.30,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,23400.00,PE,0.00,0.00,0.00,1976.70,1187.95,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,21500.00,CE,0.00,0.00,0.00,851.00,1158.35,100,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,19200.00,PE,0.00,0.00,0.00,667.00,0.55,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,20700.00,PE,0.00,0.00,0.00,569.25,135.45,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,20700.00,CE,0.00,0.00,0.00,1839.60,2093.00,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,20700.00,CE,0.00,0.00,0.00,2192.20,2276.50,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,20700.00,PE,0.00,0.00,0.00,1428.80,30.75,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,20700.00,CE,0.00,0.00,0.00,745.95,1855.35,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,21000.00,CE,0.00,0.00,0.00,1983.80,2043.50,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,21000.00,PE,0.00,0.00,0.00,676.85,187.30,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,20300.00,PE,0.00,0.00,0.00,445.40,84.45,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,20300.00,PE,0.00,0.00,0.00,1193.45,12.70,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,20300.00,CE,0.00,0.00,0.00,903.45,2235.50,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,19500.00,PE,0.00,0.00,0.00,792.60,1.45,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-02-29,19600.00,CE,0.00,0.00,0.00,2625.40,3078.30,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-03-28,21800.00,CE,0.00,0.00,0.00,1489.25,1484.95,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,19900.00,CE,0.00,0.00,0.00,1083.95,2625.65,0,0,0,22432.90
2024-01-01,BOSCHLTD,2024-01-25,22200.00,PE,450.45,450.45,355.00,355.30,355.30,250,150,4,22432.90
