TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,BPCL,2024-02-29,436.50,CE,0.00,0.00,0.00,19.95,30.25,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,309.00,CE,0.00,0.00,0.00,25.10,144.40,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,329.00,CE,0.00,0.00,0.00,128.85,124.50,45000,0,0,452.05
2024-01-01,BPCL,2024-02-29,494.00,CE,0.00,0.00,0.00,5.80,6.45,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,494.00,PE,0.00,0.00,0.00,134.50,41.30,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,494.00,CE,0.00,0.00,0.00,0.25,1.50,0,0,0,452.05
2024-01-01,BPCL,2024-02-29,501.50,CE,0.00,0.00,0.00,4.85,5.00,0,0,0,452.05
2024-01-01,BPCL,2024-02-29,454.00,PE,0.00,0.00,0.00,44.90,17.25,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,336.50,CE,0.00,0.00,0.00,12.90,117.05,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,371.50,PE,0.00,0.00,0.00,55.20,0.05,0,0,0,452.05
2024-01-01,BPCL,2024-02-29,371.50,CE,0.00,0.00,0.00,57.25,84.95,0,0,0,452.05
2024-01-01,BPCL,2024-03-28,415.00,CE,0.00,0.00,0.00,64.90,50.15,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,286.50,PE,0.00,0.00,0.00,6.50,0.05,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,420.00,CE,41.50,42.50,41.10,42.20,35.60,135000,5400,4,452.05
2024-01-01,BPCL,2024-03-28,420.00,PE,0.00,0.00,0.00,7.70,7.65,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,420.00,PE,4.60,4.95,3.55,4.00,4.00,907200,-23400,242,452.05
2024-01-01,BPCL,2024-01-25,464.00,CE,15.30,15.90,13.30,13.60,13.60,52200,10800,23,452.05
2024-01-01,BPCL,2024-02-29,474.00,PE,0.00,0.00,0.00,59.60,28.65,0,0,0,452.05
2024-01-01,BPCL,2024-02-29,464.00,PE,0.00,0.00,0.00,52.05,22.55,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,430.00,CE,35.00,35.00,33.30,33.30,27.35,59400,-1800,15,452.05
2024-01-01,BPCL,2024-01-25,390.00,CE,0.00,0.00,0.00,64.70,63.90,138600,0,0,452.05
2024-01-01,BPCL,2024-01-25,504.00,PE,0.00,0.00,0.00,133.10,50.50,0,0,0,452.05
2024-01-01,BPCL,2024-02-29,419.00,CE,0.00,0.00,0.00,27.55,42.70,0,0,0,452.05
2024-01-01,BPCL,2024-02-29,419.00,PE,0.00,0.00,0.00,23.95,5.10,0,0,0,452.05
2024-01-01,BPCL,2024-01-25,465.00,PE,21.50,23.30,20.35,22.65,22.65,91800,10800,23,452.05
