TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,BRITANNIA,2024-03-28,5000.00,PE,0.00,0.00,0.00,88.45,50.60,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-02-29,5160.00,CE,0.00,0.00,0.00,300.15,286.60,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,5160.00,CE,0.00,0.00,0.00,217.80,216.20,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-03-28,4960.00,PE,0.00,0.00,0.00,77.95,42.90,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-02-29,5260.00,CE,0.00,0.00,0.00,241.60,222.35,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-02-29,5260.00,PE,0.00,0.00,0.00,153.90,106.00,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,5260.00,PE,62.95,104.70,62.95,94.60,94.60,2200,400,25,5319.30
2024-01-01,BRITANNIA,2024-03-28,5400.00,PE,0.00,0.00,0.00,246.85,190.35,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,5150.00,PE,0.00,0.00,0.00,595.25,31.70,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,4550.00,PE,0.00,0.00,0.00,185.65,0.05,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-02-29,4550.00,PE,0.00,0.00,0.00,70.45,1.65,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-02-29,5660.00,PE,0.00,0.00,0.00,391.65,339.50,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-03-28,5660.00,CE,0.00,0.00,0.00,128.45,97.25,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-03-28,5660.00,PE,0.00,0.00,0.00,404.65,347.60,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-02-29,4950.00,PE,0.00,0.00,0.00,221.75,26.00,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-03-28,4980.00,CE,0.00,0.00,0.00,474.75,465.40,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,5460.00,CE,0.00,0.00,0.00,71.55,54.70,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,5260.00,CE,165.00,165.00,165.00,165.00,165.00,1000,200,1,5319.30
2024-01-01,BRITANNIA,2024-01-25,5400.00,CE,107.50,107.50,82.05,87.10,87.10,127400,49400,933,5319.30
2024-01-01,BRITANNIA,2024-01-25,5400.00,PE,179.15,186.90,157.60,164.60,164.60,3600,-1600,38,5319.30
2024-01-01,BRITANNIA,2024-02-29,4500.00,CE,0.00,0.00,0.00,492.25,869.20,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,4150.00,PE,0.00,0.00,0.00,51.00,0.05,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-02-29,4900.00,PE,0.00,0.00,0.00,196.70,19.65,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,4250.00,PE,0.00,0.00,0.00,74.30,0.05,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-02-29,4800.00,CE,0.00,0.00,0.00,290.50,582.05,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-03-28,5240.00,PE,0.00,0.00,0.00,170.95,119.75,0,0,0,5319.30
2024-01-01,BRITANNIA,2024-01-25,5240.00,CE,0.00,0.00,0.00,168.35,160.00,0,0,0,5319.30
