TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-11-29,CGPOWER,2025-02-27,780.00,CE,0.00,0.00,0.00,60.65,50.40,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,780.00,CE,0.00,0.00,0.00,27.05,18.65,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,680.00,PE,0.00,0.00,0.00,9.45,13.20,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,680.00,PE,0.00,0.00,0.00,29.30,34.70,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,720.00,CE,0.00,0.00,0.00,57.15,43.55,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,720.00,CE,0.00,0.00,0.00,89.80,76.70,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,840.00,PE,0.00,0.00,0.00,111.85,124.65,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,640.00,CE,0.00,0.00,0.00,132.30,115.10,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,640.00,PE,7.00,7.00,2.50,3.30,3.30,30450,30450,363,732.25
2024-11-29,CGPOWER,2025-01-30,880.00,PE,0.00,0.00,0.00,135.20,150.75,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,830.00,PE,0.00,0.00,0.00,97.55,110.90,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,810.00,CE,7.95,7.95,7.40,7.60,11.40,4350,4350,8,732.25
2024-11-29,CGPOWER,2025-01-30,830.00,CE,0.00,0.00,0.00,30.40,23.40,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,700.00,CE,0.00,0.00,0.00,101.45,87.35,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,840.00,CE,0.00,0.00,0.00,39.45,31.85,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,840.00,CE,0.00,0.00,0.00,10.80,6.65,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,830.00,CE,0.00,0.00,0.00,12.75,8.00,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,700.00,PE,4.00,16.30,4.00,13.10,13.10,71050,71050,164,732.25
2024-11-29,CGPOWER,2025-02-27,880.00,PE,0.00,0.00,0.00,140.75,155.15,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,880.00,CE,0.00,0.00,0.00,18.65,13.80,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,640.00,PE,0.00,0.00,0.00,18.05,21.75,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,660.00,PE,0.00,0.00,0.00,5.90,8.45,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,670.00,PE,0.00,0.00,0.00,18.80,23.25,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,670.00,CE,0.00,0.00,0.00,93.60,76.35,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,820.00,CE,6.00,6.00,6.00,6.00,9.60,3625,3625,5,732.25
2024-11-29,CGPOWER,2025-02-27,760.00,CE,0.00,0.00,0.00,69.45,58.25,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,680.00,CE,0.00,0.00,0.00,102.60,87.20,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,720.00,CE,0.00,0.00,0.00,77.15,64.00,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,680.00,CE,0.00,0.00,0.00,114.00,99.05,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,750.00,PE,0.00,0.00,0.00,49.30,58.20,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,800.00,PE,0.00,0.00,0.00,85.90,96.95,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,800.00,CE,0.00,0.00,0.00,52.75,43.45,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,780.00,PE,0.00,0.00,0.00,65.45,76.10,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,640.00,CE,0.00,0.00,0.00,119.40,100.70,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,780.00,PE,0.00,0.00,0.00,50.35,62.35,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,770.00,CE,14.95,14.95,13.55,14.30,14.30,2175,2175,6,732.25
2024-11-29,CGPOWER,2025-01-30,770.00,PE,0.00,0.00,0.00,59.80,69.85,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,770.00,CE,0.00,0.00,0.00,51.85,41.60,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,810.00,PE,0.00,0.00,0.00,70.60,84.90,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,740.00,CE,0.00,0.00,0.00,66.20,54.20,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,790.00,PE,0.00,0.00,0.00,56.75,69.55,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,760.00,PE,0.00,0.00,0.00,54.40,63.90,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,720.00,PE,19.50,21.95,19.50,20.85,20.85,2175,2175,10,732.25
2024-11-29,CGPOWER,2025-02-27,880.00,CE,0.00,0.00,0.00,29.10,23.05,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,680.00,PE,0.00,0.00,0.00,21.60,26.60,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,680.00,CE,0.00,0.00,0.00,85.60,69.00,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,720.00,PE,0.00,0.00,0.00,44.40,51.60,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,720.00,PE,0.00,0.00,0.00,35.70,42.90,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,640.00,CE,0.00,0.00,0.00,142.00,125.40,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,660.00,CE,0.00,0.00,0.00,101.90,84.15,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,780.00,PE,0.00,0.00,0.00,74.15,84.25,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,800.00,PE,0.00,0.00,0.00,77.55,89.30,0,0,0,732.25
2024-11-29,CGPOWER,2025-01-30,730.00,CE,0.00,0.00,0.00,71.55,58.95,0,0,0,732.25
2024-11-29,CGPOWER,2025-02-27,740.00,PE,0.00,0.00,0.00,53.35,61.55,0,0,0,732.25
2024-11-29,CGPOWER,2024-12-26,740.00,CE,27.00,31.70,24.05,25.15,25.15,22475,22475,49,732.25
