TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,CHOLAFIN,2024-02-29,1020.00,CE,0.00,0.00,0.00,150.60,219.95,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-01-25,1200.00,CE,80.30,80.30,61.00,62.60,62.60,140000,19375,66,1225.30
2024-01-01,CHOLAFIN,2024-03-28,1060.00,CE,0.00,0.00,0.00,214.80,194.90,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-01-25,1060.00,CE,0.00,0.00,0.00,138.40,171.05,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-03-28,1240.00,CE,0.00,0.00,0.00,99.65,76.50,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-03-28,1240.00,PE,0.00,0.00,0.00,81.65,71.40,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-02-29,1160.00,PE,0.00,0.00,0.00,96.25,28.10,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-02-29,1160.00,CE,0.00,0.00,0.00,74.50,106.00,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-03-28,1160.00,CE,0.00,0.00,0.00,144.05,121.10,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-02-29,980.00,CE,0.00,0.00,0.00,178.95,257.55,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-01-25,980.00,PE,0.00,0.00,0.00,22.05,0.05,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-02-29,980.00,PE,0.00,0.00,0.00,23.95,1.60,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-01-25,1360.00,PE,0.00,0.00,0.00,115.90,133.80,1875,0,0,1225.30
2024-01-01,CHOLAFIN,2024-01-25,1020.00,PE,0.00,0.00,0.00,0.90,0.25,625,0,0,1225.30
2024-01-01,CHOLAFIN,2024-02-29,1200.00,CE,0.00,0.00,0.00,105.00,81.15,1250,0,0,1225.30
2024-01-01,CHOLAFIN,2024-02-29,1440.00,PE,0.00,0.00,0.00,308.90,208.20,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-01-25,1240.00,PE,33.35,48.95,33.35,46.20,46.20,56250,12500,185,1225.30
2024-01-01,CHOLAFIN,2024-01-25,1100.00,PE,3.25,6.45,3.25,5.45,5.45,168125,110625,419,1225.30
2024-01-01,CHOLAFIN,2024-03-28,1200.00,CE,0.00,0.00,0.00,120.45,97.10,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-02-29,1200.00,PE,0.00,0.00,0.00,120.35,42.80,0,0,0,1225.30
2024-01-01,CHOLAFIN,2024-01-25,1200.00,PE,18.70,30.00,18.60,27.75,27.75,367500,86875,516,1225.30
2024-01-01,CHOLAFIN,2024-01-25,1280.00,CE,36.00,38.25,26.40,27.35,27.35,262500,34375,389,1225.30
2024-01-01,CHOLAFIN,2024-02-29,1280.00,CE,0.00,0.00,0.00,36.35,43.75,0,0,0,1225.30
