TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,CIPLA,2024-01-25,1020.00,PE,0.00,0.00,0.00,0.10,0.05,650,0,0,1251.00
2024-01-01,CIPLA,2024-02-29,1020.00,CE,0.00,0.00,0.00,217.10,242.45,0,0,0,1251.00
2024-01-01,CIPLA,2024-02-29,1200.00,CE,0.00,0.00,0.00,86.00,84.35,0,0,0,1251.00
2024-01-01,CIPLA,2024-02-29,1200.00,PE,22.50,22.50,22.50,22.50,20.35,1300,650,1,1251.00
2024-01-01,CIPLA,2024-03-28,1130.00,PE,0.00,0.00,0.00,15.85,10.30,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1150.00,CE,0.00,0.00,0.00,151.55,133.25,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1150.00,PE,5.20,5.45,3.95,4.40,4.40,232700,-24050,210,1251.00
2024-01-01,CIPLA,2024-01-25,1020.00,CE,0.00,0.00,0.00,227.00,235.50,650,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1200.00,CE,73.65,77.45,69.50,69.95,69.95,72150,0,46,1251.00
2024-01-01,CIPLA,2024-01-25,1170.00,CE,0.00,0.00,0.00,62.70,90.20,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1210.00,CE,0.00,0.00,0.00,110.00,90.45,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1320.00,CE,0.00,0.00,0.00,54.30,36.75,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1320.00,PE,0.00,0.00,0.00,89.75,84.70,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1240.00,PE,26.40,28.80,24.60,25.75,25.75,32500,6500,117,1251.00
2024-01-01,CIPLA,2024-02-29,1190.00,PE,0.00,0.00,0.00,47.90,17.50,0,0,0,1251.00
2024-01-01,CIPLA,2024-02-29,1130.00,CE,0.00,0.00,0.00,129.45,139.35,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1250.00,CE,43.05,44.80,38.70,41.10,41.10,302250,-9750,721,1251.00
2024-01-01,CIPLA,2024-01-25,1010.00,PE,0.00,0.00,0.00,9.90,0.05,0,0,0,1251.00
2024-01-01,CIPLA,2024-02-29,1300.00,PE,0.00,0.00,0.00,107.35,66.65,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1010.00,CE,0.00,0.00,0.00,168.75,245.45,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1420.00,PE,0.00,0.00,0.00,249.80,163.30,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1080.00,CE,0.00,0.00,0.00,115.10,175.90,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1070.00,CE,0.00,0.00,0.00,217.10,201.70,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1220.00,CE,0.00,0.00,0.00,103.85,84.20,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1040.00,CE,0.00,0.00,0.00,144.50,215.60,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,1040.00,PE,0.00,0.00,0.00,15.15,0.05,0,0,0,1251.00
2024-01-01,CIPLA,2024-01-25,990.00,PE,0.00,0.00,0.00,7.25,0.05,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1430.00,CE,0.00,0.00,0.00,23.05,11.60,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1060.00,CE,0.00,0.00,0.00,225.95,210.90,0,0,0,1251.00
2024-01-01,CIPLA,2024-03-28,1060.00,PE,0.00,0.00,0.00,6.10,2.95,0,0,0,1251.00
2024-01-01,CIPLA,2024-02-29,1080.00,PE,0.00,0.00,0.00,15.05,2.00,0,0,0,1251.00
