TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,COALINDIA,2024-02-29,307.50,PE,0.00,0.00,0.00,6.45,0.35,0,0,0,381.80
2024-01-01,COALINDIA,2024-01-25,307.50,PE,0.00,0.00,0.00,6.20,0.05,0,0,0,381.80
2024-01-01,COALINDIA,2024-01-25,354.75,CE,0.00,0.00,0.00,3.75,30.55,0,0,0,381.80
2024-01-01,COALINDIA,2024-03-28,367.50,CE,0.00,0.00,0.00,35.35,32.05,0,0,0,381.80
2024-01-01,COALINDIA,2024-01-25,367.50,CE,0.00,0.00,0.00,20.85,20.60,58800,0,0,381.80
2024-01-01,COALINDIA,2024-03-28,355.00,PE,0.00,0.00,0.00,10.85,7.90,0,0,0,381.80
2024-01-01,COALINDIA,2024-01-25,395.00,CE,9.60,12.50,9.20,9.80,9.80,430500,193200,1087,381.80
2024-01-01,COALINDIA,2024-02-29,395.00,PE,0.00,0.00,0.00,53.05,22.30,0,0,0,381.80
2024-01-01,COALINDIA,2024-01-25,252.25,CE,0.00,0.00,0.00,46.80,130.65,0,0,0,381.80
2024-01-01,COALINDIA,2024-03-28,372.50,CE,0.00,0.00,0.00,32.50,29.10,0,0,0,381.80
2024-01-01,COALINDIA,2024-03-28,420.00,PE,0.00,0.00,0.00,44.40,41.10,0,0,0,381.80
2024-01-01,COALINDIA,2024-01-25,312.25,PE,0.00,0.00,0.00,29.30,0.05,0,0,0,381.80
2024-01-01,COALINDIA,2024-01-25,390.00,PE,19.00,19.00,14.90,16.85,16.85,451500,342300,522,381.80
2024-01-01,COALINDIA,2024-03-28,390.00,PE,0.00,0.00,0.00,25.75,22.05,0,0,0,381.80
2024-01-01,COALINDIA,2024-03-28,387.50,PE,0.00,0.00,0.00,24.40,20.75,0,0,0,381.80
