TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,DLF,2024-01-25,675.00,CE,59.70,59.70,59.70,59.70,56.60,36300,-1650,1,723.60
2024-01-01,DLF,2024-02-29,675.00,PE,0.00,0.00,0.00,67.70,13.05,0,0,0,723.60
2024-01-01,DLF,2024-01-25,635.00,CE,0.00,0.00,0.00,9.90,92.30,0,0,0,723.60
2024-01-01,DLF,2024-01-25,635.00,PE,1.40,1.50,1.25,1.40,1.40,51150,-4950,14,723.60
2024-01-01,DLF,2024-03-28,700.00,PE,0.00,0.00,0.00,33.50,26.70,0,0,0,723.60
2024-01-01,DLF,2024-03-28,680.00,CE,0.00,0.00,0.00,86.90,74.00,0,0,0,723.60
2024-01-01,DLF,2024-01-25,720.00,PE,19.40,21.30,17.15,19.25,19.25,498300,49500,307,723.60
2024-01-01,DLF,2024-01-25,665.00,PE,4.25,4.40,3.35,3.95,3.95,59400,-8250,42,723.60
2024-01-01,DLF,2024-01-25,595.00,PE,0.00,0.00,0.00,79.60,0.10,0,0,0,723.60
2024-01-01,DLF,2024-02-29,550.00,CE,0.00,0.00,0.00,98.35,179.80,0,0,0,723.60
2024-01-01,DLF,2024-01-25,605.00,PE,0.00,0.00,0.00,1.50,0.15,6600,0,0,723.60
2024-01-01,DLF,2024-02-29,620.00,CE,0.00,0.00,0.00,53.90,113.65,0,0,0,723.60
2024-01-01,DLF,2024-01-25,560.00,CE,0.00,0.00,0.00,100.00,166.10,0,0,0,723.60
2024-01-01,DLF,2024-02-29,560.00,PE,0.00,0.00,0.00,15.15,0.40,0,0,0,723.60
2024-01-01,DLF,2024-01-25,560.00,PE,0.00,0.00,0.00,55.45,0.05,0,0,0,723.60
2024-01-01,DLF,2024-01-25,550.00,PE,0.20,0.20,0.20,0.20,0.05,6600,0,1,723.60
2024-01-01,DLF,2024-02-29,550.00,PE,0.00,0.00,0.00,12.65,0.25,0,0,0,723.60
2024-01-01,DLF,2024-03-28,800.00,CE,0.00,0.00,0.00,31.20,19.90,0,0,0,723.60
2024-01-01,DLF,2024-01-25,480.00,CE,0.00,0.00,0.00,67.95,245.75,0,0,0,723.60
2024-01-01,DLF,2024-01-25,475.00,PE,0.00,0.00,0.00,15.60,0.05,0,0,0,723.60
2024-01-01,DLF,2024-03-28,830.00,CE,0.00,0.00,0.00,23.20,13.35,0,0,0,723.60
2024-01-01,DLF,2024-02-29,655.00,CE,0.00,0.00,0.00,38.00,84.05,0,0,0,723.60
2024-01-01,DLF,2024-01-25,545.00,CE,0.00,0.00,0.00,33.40,181.00,0,0,0,723.60
2024-01-01,DLF,2024-03-28,650.00,PE,0.00,0.00,0.00,17.10,11.50,0,0,0,723.60
2024-01-01,DLF,2024-02-29,840.00,CE,0.00,0.00,0.00,3.75,6.10,0,0,0,723.60
2024-01-01,DLF,2024-01-25,440.00,CE,0.00,0.00,0.00,282.00,285.55,9900,0,0,723.60
2024-01-01,DLF,2024-01-25,690.00,CE,47.65,53.05,46.90,50.55,44.95,107250,3300,15,723.60
2024-01-01,DLF,2024-01-25,600.00,PE,0.75,0.75,0.50,0.55,0.55,293700,8250,16,723.60
2024-01-01,DLF,2024-01-25,745.00,CE,18.10,21.65,17.50,18.30,18.30,99000,11550,151,723.60
2024-01-01,DLF,2024-02-29,700.00,PE,17.30,19.55,17.30,19.55,19.55,8250,3300,3,723.60
2024-01-01,DLF,2024-01-25,700.00,PE,10.35,12.90,9.95,11.30,11.30,1159950,36300,400,723.60
