TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-11-29,DMART,2024-12-26,4200.00,PE,0.00,0.00,0.00,477.95,483.60,0,0,0,3709.60
2024-11-29,DMART,2024-12-26,3400.00,PE,30.00,30.00,18.95,19.55,19.55,8700,8700,90,3709.60
2024-11-29,DMART,2025-01-30,3200.00,PE,0.00,0.00,0.00,27.50,27.20,0,0,0,3709.60
2024-11-29,DMART,2024-12-26,3200.00,CE,0.00,0.00,0.00,539.80,531.90,0,0,0,3709.60
2024-11-29,DMART,2025-01-30,3100.00,CE,0.00,0.00,0.00,671.95,664.05,0,0,0,3709.60
2024-11-29,DMART,2024-12-26,3100.00,CE,0.00,0.00,0.00,635.75,628.00,0,0,0,3709.60
2024-11-29,DMART,2025-01-30,3700.00,CE,0.00,0.00,0.00,234.70,228.00,0,0,0,3709.60
2024-11-29,DMART,2025-02-27,4400.00,PE,0.00,0.00,0.00,669.00,673.80,0,0,0,3709.60
2024-11-29,DMART,2025-02-27,3200.00,CE,0.00,0.00,0.00,619.80,611.95,0,0,0,3709.60
2024-11-29,DMART,2024-12-26,3200.00,PE,6.20,9.90,6.20,6.60,6.60,2250,2250,17,3709.60
2024-11-29,DMART,2024-12-26,3100.00,PE,0.00,0.00,0.00,2.40,2.20,0,0,0,3709.60
2024-11-29,DMART,2025-01-30,4050.00,PE,0.00,0.00,0.00,381.90,385.15,0,0,0,3709.60
2024-11-29,DMART,2024-12-26,4050.00,PE,0.00,0.00,0.00,348.45,352.70,0,0,0,3709.60
2024-11-29,DMART,2024-12-26,4050.00,CE,37.00,37.00,24.60,24.65,33.50,900,900,17,3709.60
2024-11-29,DMART,2025-02-27,3500.00,PE,0.00,0.00,0.00,121.25,121.65,0,0,0,3709.60
2024-11-29,DMART,2025-02-27,3500.00,CE,0.00,0.00,0.00,400.95,393.60,0,0,0,3709.60
2024-11-29,DMART,2025-01-30,3650.00,CE,0.00,0.00,0.00,261.45,254.50,0,0,0,3709.60
2024-11-29,DMART,2024-12-26,3750.00,PE,122.45,122.45,122.45,122.45,143.55,300,300,2,3709.60
