TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,DRREDDY,2024-01-25,5000.00,CE,0.00,0.00,0.00,525.00,843.75,125,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,5400.00,PE,29.65,30.90,21.20,23.20,23.20,39125,4625,220,5821.50
2024-01-01,DRREDDY,2024-02-29,5400.00,PE,0.00,0.00,0.00,91.95,35.50,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,5350.00,CE,0.00,0.00,0.00,479.25,500.75,125,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,5350.00,CE,0.00,0.00,0.00,674.30,603.05,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,5350.00,CE,0.00,0.00,0.00,614.10,557.85,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,5350.00,PE,0.00,0.00,0.00,189.95,5.55,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,4550.00,PE,0.00,0.00,0.00,3.60,0.10,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,4600.00,PE,0.00,0.00,0.00,4.60,0.15,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,5700.00,PE,0.00,0.00,0.00,189.70,111.25,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,4950.00,PE,0.00,0.00,0.00,21.45,2.90,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,4950.00,PE,0.00,0.00,0.00,18.15,8.10,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,4950.00,CE,0.00,0.00,0.00,948.25,928.10,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,5400.00,CE,0.00,0.00,0.00,635.70,562.80,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,5400.00,CE,0.00,0.00,0.00,576.85,515.60,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,4500.00,PE,0.00,0.00,0.00,3.05,0.05,125,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,4500.00,CE,0.00,0.00,0.00,1015.10,1341.45,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,5050.00,PE,0.00,0.00,0.00,31.00,5.60,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,5050.00,PE,0.00,0.00,0.00,26.40,13.25,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,6650.00,CE,14.85,16.45,13.15,13.50,13.50,3750,125,12,5821.50
2024-01-01,DRREDDY,2024-02-29,6650.00,CE,0.00,0.00,0.00,62.15,15.80,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,6650.00,CE,0.00,0.00,0.00,77.95,37.30,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,5150.00,CE,0.00,0.00,0.00,774.00,737.50,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,4700.00,PE,0.00,0.00,0.00,29.05,0.05,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,5150.00,PE,0.00,0.00,0.00,117.85,0.75,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,6100.00,PE,0.00,0.00,0.00,359.70,338.20,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,6100.00,CE,0.00,0.00,0.00,227.95,157.05,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,6200.00,CE,56.95,69.00,54.40,57.40,57.40,44875,3000,751,5821.50
2024-01-01,DRREDDY,2024-01-25,6200.00,PE,382.05,382.05,382.05,382.05,372.30,125,0,1,5821.50
2024-01-01,DRREDDY,2024-01-25,6000.00,CE,106.40,125.00,103.25,106.90,106.90,227875,61250,3401,5821.50
2024-01-01,DRREDDY,2024-01-25,6300.00,PE,0.00,0.00,0.00,819.50,461.95,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,6300.00,PE,0.00,0.00,0.00,486.55,475.30,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,6150.00,CE,0.00,0.00,0.00,208.75,140.05,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,6150.00,CE,0.00,0.00,0.00,176.65,92.50,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,6200.00,PE,0.00,0.00,0.00,420.75,404.00,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,4900.00,CE,0.00,0.00,0.00,666.90,943.25,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,6450.00,CE,0.00,0.00,0.00,25.80,3.95,1625,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,6450.00,CE,0.00,0.00,0.00,118.45,65.75,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,4350.00,CE,0.00,0.00,0.00,1155.90,1490.75,0,0,0,5821.50
2024-01-01,DRREDDY,2024-03-28,5950.00,PE,0.00,0.00,0.00,277.75,250.90,0,0,0,5821.50
2024-01-01,DRREDDY,2024-02-29,5900.00,CE,0.00,0.00,0.00,276.05,185.05,0,0,0,5821.50
2024-01-01,DRREDDY,2024-01-25,5900.00,CE,145.05,169.65,141.30,146.65,146.65,138375,63875,3783,5821.50
2024-01-01,DRREDDY,2024-03-28,5900.00,PE,0.00,0.00,0.00,253.15,225.00,0,0,0,5821.50
