TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,GAIL,2024-01-25,107.00,CE,0.00,0.00,0.00,15.80,59.65,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,107.00,PE,0.00,0.00,0.00,2.35,0.05,0,0,0,166.20
2024-01-01,GAIL,2024-03-28,180.00,CE,0.00,0.00,0.00,4.05,5.25,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,180.00,CE,0.00,0.00,0.00,0.30,3.50,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,116.00,CE,0.00,0.00,0.00,19.75,51.45,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,116.00,CE,0.00,0.00,0.00,9.95,50.70,0,0,0,166.20
2024-01-01,GAIL,2024-03-28,153.00,PE,0.00,0.00,0.00,7.30,3.25,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,157.00,PE,4.35,4.35,2.60,3.20,3.20,398025,22875,304,166.20
2024-01-01,GAIL,2024-03-28,157.00,PE,0.00,0.00,0.00,9.10,4.45,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,137.00,PE,0.35,0.40,0.35,0.35,0.05,150975,9150,45,166.20
2024-01-01,GAIL,2024-02-29,123.00,PE,0.00,0.00,0.00,3.50,0.05,0,0,0,166.20
2024-01-01,GAIL,2024-03-28,143.00,PE,0.00,0.00,0.00,3.85,1.30,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,177.00,PE,0.00,0.00,0.00,42.30,13.20,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,114.00,PE,0.00,0.00,0.00,1.40,0.05,0,0,0,166.20
2024-01-01,GAIL,2024-03-28,142.00,CE,0.00,0.00,0.00,21.20,27.65,0,0,0,166.20
2024-01-01,GAIL,2024-03-28,142.00,PE,0.00,0.00,0.00,3.55,1.20,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,142.00,PE,0.00,0.00,0.00,12.70,0.60,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,123.00,CE,0.00,0.00,0.00,6.55,43.75,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,125.00,PE,0.20,0.20,0.10,0.10,0.10,1075125,54900,49,166.20
2024-01-01,GAIL,2024-01-25,125.00,CE,0.00,0.00,0.00,15.50,41.75,9150,0,0,166.20
2024-01-01,GAIL,2024-01-25,167.00,CE,6.90,9.50,6.65,7.85,7.85,635925,256200,1163,166.20
2024-01-01,GAIL,2024-01-25,167.00,PE,9.20,9.30,6.40,7.35,7.35,297375,169275,555,166.20
2024-01-01,GAIL,2024-03-28,158.00,PE,0.00,0.00,0.00,9.60,4.75,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,158.00,PE,0.00,0.00,0.00,24.95,3.60,0,0,0,166.20
2024-01-01,GAIL,2024-03-28,147.00,PE,0.00,0.00,0.00,5.05,1.95,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,172.00,PE,10.25,10.70,9.20,10.35,10.35,82350,82350,42,166.20
2024-01-01,GAIL,2024-01-25,124.00,CE,0.00,0.00,0.00,6.15,42.75,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,124.00,PE,0.00,0.00,0.00,3.80,0.05,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,163.00,CE,8.30,11.65,8.10,9.80,9.80,681675,-398025,622,166.20
2024-01-01,GAIL,2024-02-29,162.00,PE,0.00,0.00,0.00,28.45,5.05,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,160.00,CE,9.80,13.60,9.40,11.70,11.70,5663850,-1797975,2166,166.20
2024-01-01,GAIL,2024-03-28,155.00,CE,0.00,0.00,0.00,13.05,17.50,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,115.00,PE,0.00,0.00,0.00,1.60,0.05,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,115.00,PE,0.00,0.00,0.00,4.95,0.05,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,134.00,PE,0.00,0.00,0.00,8.00,0.20,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,131.00,CE,0.00,0.00,0.00,22.60,35.80,22875,0,0,166.20
2024-01-01,GAIL,2024-02-29,123.00,CE,0.00,0.00,0.00,14.60,44.55,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,181.00,PE,0.00,0.00,0.00,46.10,16.05,0,0,0,166.20
2024-01-01,GAIL,2024-01-25,153.00,CE,14.50,17.95,14.50,16.65,16.65,224175,-45750,45,166.20
2024-01-01,GAIL,2024-02-29,113.00,PE,0.00,0.00,0.00,1.25,0.05,0,0,0,166.20
2024-01-01,GAIL,2024-02-29,143.00,PE,0.00,0.00,0.00,13.35,0.70,0,0,0,166.20
