TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,HCLTECH,2024-02-29,1650.00,CE,20.00,20.40,20.00,20.40,20.40,1400,1400,2,1483.75
2024-01-01,HCLTECH,2024-02-29,1650.00,PE,0.00,0.00,0.00,285.70,159.25,0,0,0,1483.75
2024-01-01,HCLTECH,2024-03-28,1650.00,PE,0.00,0.00,0.00,177.75,160.15,0,0,0,1483.75
2024-01-01,HCLTECH,2024-01-25,1200.00,CE,0.00,0.00,0.00,93.70,289.05,0,0,0,1483.75
2024-01-01,HCLTECH,2024-02-29,1200.00,PE,0.00,0.00,0.00,13.70,0.30,0,0,0,1483.75
2024-01-01,HCLTECH,2024-02-29,1310.00,CE,0.00,0.00,0.00,98.45,191.80,0,0,0,1483.75
2024-01-01,HCLTECH,2024-03-28,1520.00,CE,0.00,0.00,0.00,70.65,60.05,0,0,0,1483.75
2024-01-01,HCLTECH,2024-01-25,1030.00,PE,0.00,0.00,0.00,4.50,0.05,0,0,0,1483.75
2024-01-01,HCLTECH,2024-02-29,1210.00,CE,0.00,0.00,0.00,168.05,287.25,0,0,0,1483.75
2024-01-01,HCLTECH,2024-03-28,1320.00,CE,0.00,0.00,0.00,193.80,193.45,0,0,0,1483.75
2024-01-01,HCLTECH,2024-01-25,1320.00,CE,0.00,0.00,0.00,39.30,170.15,0,0,0,1483.75
2024-01-01,HCLTECH,2024-02-29,1680.00,CE,0.00,0.00,0.00,4.50,7.40,0,0,0,1483.75
2024-01-01,HCLTECH,2024-03-28,1530.00,CE,0.00,0.00,0.00,66.50,55.75,0,0,0,1483.75
2024-01-01,HCLTECH,2024-03-28,1550.00,CE,0.00,0.00,0.00,58.70,47.80,0,0,0,1483.75
2024-01-01,HCLTECH,2024-01-25,1610.00,PE,0.00,0.00,0.00,351.65,123.00,0,0,0,1483.75
2024-01-01,HCLTECH,2024-01-25,1280.00,PE,2.50,2.70,2.50,2.60,0.10,7700,7000,10,1483.75
2024-01-01,HCLTECH,2024-02-29,1280.00,PE,0.00,0.00,0.00,33.35,2.10,0,0,0,1483.75
2024-01-01,HCLTECH,2024-02-29,1140.00,CE,0.00,0.00,0.00,227.25,356.15,0,0,0,1483.75
2024-01-01,HCLTECH,2024-03-28,1640.00,PE,0.00,0.00,0.00,170.15,152.25,0,0,0,1483.75
2024-01-01,HCLTECH,2024-01-25,1360.00,PE,9.50,9.50,6.70,6.70,6.70,11200,700,10,1483.75
2024-01-01,HCLTECH,2024-01-25,1420.00,PE,26.45,27.20,16.90,19.55,19.55,173600,44800,295,1483.75
2024-01-01,HCLTECH,2024-02-29,1250.00,PE,0.00,0.00,0.00,24.55,1.05,0,0,0,1483.75
2024-01-01,HCLTECH,2024-02-29,1430.00,CE,0.00,0.00,0.00,43.60,94.45,0,0,0,1483.75
2024-01-01,HCLTECH,2024-03-28,1430.00,CE,0.00,0.00,0.00,116.70,109.35,0,0,0,1483.75
2024-01-01,HCLTECH,2024-01-25,1580.00,CE,14.20,14.20,14.20,14.20,14.20,700,700,1,1483.75
