TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,HDFCAMC,2024-02-29,2600.00,CE,0.00,0.00,0.00,469.80,653.10,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,3480.00,CE,0.00,0.00,0.00,40.00,21.50,300,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,3320.00,PE,0.00,0.00,0.00,594.10,144.30,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-02-29,3500.00,PE,0.00,0.00,0.00,533.00,304.15,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-03-28,3500.00,CE,0.00,0.00,0.00,135.20,97.15,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,2420.00,CE,0.00,0.00,0.00,398.35,812.20,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-02-29,3080.00,PE,0.00,0.00,0.00,240.70,74.50,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,2500.00,CE,0.00,0.00,0.00,342.80,732.60,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,2850.00,CE,0.00,0.00,0.00,392.65,388.15,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-03-28,3650.00,PE,0.00,0.00,0.00,465.10,431.20,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,2740.00,PE,0.00,0.00,0.00,186.85,0.95,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-02-29,3650.00,PE,0.00,0.00,0.00,450.10,423.35,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,3650.00,CE,15.00,19.00,14.30,15.70,15.70,9900,8100,30,3221.50
2024-01-01,HDFCAMC,2024-01-25,3650.00,PE,0.00,0.00,0.00,432.25,417.95,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,3440.00,PE,0.00,0.00,0.00,698.35,231.70,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,3040.00,CE,0.00,0.00,0.00,256.75,220.90,600,0,0,3221.50
2024-01-01,HDFCAMC,2024-02-29,3040.00,PE,0.00,0.00,0.00,218.60,61.95,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,2950.00,CE,0.00,0.00,0.00,307.30,296.25,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,3420.00,CE,0.00,0.00,0.00,32.75,32.55,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,2380.00,CE,0.00,0.00,0.00,427.75,852.05,0,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,3340.00,CE,0.00,0.00,0.00,70.15,53.85,900,0,0,3221.50
2024-01-01,HDFCAMC,2024-01-25,2800.00,CE,0.00,0.00,0.00,435.00,436.05,8400,0,0,3221.50
