TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,HDFCBANK,2024-01-25,1750.00,PE,58.00,61.25,50.95,57.95,57.95,431200,30250,337,1698.60
2024-01-01,HDFCBANK,2024-01-25,1750.00,CE,23.95,23.95,18.00,20.15,20.15,1802350,134200,3726,1698.60
2024-01-01,HDFCBANK,2024-02-29,1750.00,CE,46.00,46.85,40.60,42.55,42.55,47850,10450,39,1698.60
2024-01-01,HDFCBANK,2024-02-29,1650.00,CE,0.00,0.00,0.00,46.35,91.05,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-03-28,1650.00,PE,0.00,0.00,0.00,40.80,31.45,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-02-29,1740.00,PE,0.00,0.00,0.00,172.80,64.45,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-02-29,1810.00,CE,0.00,0.00,0.00,12.20,19.65,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-01-25,1760.00,PE,65.20,68.70,57.95,67.05,67.05,32450,4950,43,1698.60
2024-01-01,HDFCBANK,2024-02-29,1760.00,PE,0.00,0.00,0.00,188.85,76.55,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-03-28,1620.00,CE,0.00,0.00,0.00,145.85,127.15,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-01-25,1520.00,PE,1.90,1.95,1.40,1.50,1.50,51700,0,79,1698.60
2024-01-01,HDFCBANK,2024-01-25,1610.00,CE,0.00,0.00,0.00,76.25,100.40,550,0,0,1698.60
2024-01-01,HDFCBANK,2024-02-29,1610.00,CE,0.00,0.00,0.00,61.55,120.25,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-01-25,1280.00,CE,0.00,0.00,0.00,214.05,424.25,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-02-29,1680.00,PE,0.00,0.00,0.00,128.05,35.15,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-01-25,1850.00,PE,140.95,141.00,140.50,141.00,145.00,185900,550,4,1698.60
2024-01-01,HDFCBANK,2024-02-29,1850.00,CE,0.00,0.00,0.00,8.35,11.95,0,0,0,1698.60
2024-01-01,HDFCBANK,2024-01-25,1850.00,CE,5.75,5.75,4.25,4.65,4.65,611600,26950,818,1698.60
