TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,HINDALCO,2024-02-29,635.00,CE,0.00,0.00,0.00,8.95,23.05,0,0,0,610.30
2024-01-01,HINDALCO,2024-03-28,700.00,PE,0.00,0.00,0.00,93.75,90.65,0,0,0,610.30
2024-01-01,HINDALCO,2024-03-28,665.00,PE,0.00,0.00,0.00,69.30,64.55,0,0,0,610.30
2024-01-01,HINDALCO,2024-01-25,415.00,PE,0.00,0.00,0.00,14.90,0.05,0,0,0,610.30
2024-01-01,HINDALCO,2024-01-25,420.00,PE,0.00,0.00,0.00,16.50,0.05,0,0,0,610.30
2024-01-01,HINDALCO,2024-01-25,420.00,CE,0.00,0.00,0.00,60.60,192.15,0,0,0,610.30
2024-01-01,HINDALCO,2024-02-29,635.00,PE,0.00,0.00,0.00,116.95,40.85,0,0,0,610.30
2024-01-01,HINDALCO,2024-03-28,615.00,CE,0.00,0.00,0.00,51.00,39.70,0,0,0,610.30
2024-01-01,HINDALCO,2024-01-25,660.00,PE,49.35,50.70,49.35,50.70,50.70,4200,1400,4,610.30
2024-01-01,HINDALCO,2024-03-28,660.00,CE,0.00,0.00,0.00,32.25,22.00,0,0,0,610.30
2024-01-01,HINDALCO,2024-02-29,555.00,CE,0.00,0.00,0.00,27.10,69.50,0,0,0,610.30
2024-01-01,HINDALCO,2024-03-28,680.00,CE,0.00,0.00,0.00,25.90,16.45,0,0,0,610.30
2024-01-01,HINDALCO,2024-01-25,545.00,CE,0.00,0.00,0.00,39.55,69.20,1400,0,0,610.30
2024-01-01,HINDALCO,2024-01-25,380.00,PE,0.00,0.00,0.00,6.50,0.05,0,0,0,610.30
2024-01-01,HINDALCO,2024-01-25,545.00,PE,3.05,3.15,2.50,2.60,2.60,61600,22400,49,610.30
2024-01-01,HINDALCO,2024-01-25,465.00,CE,0.00,0.00,0.00,35.85,147.35,0,0,0,610.30
2024-01-01,HINDALCO,2024-02-29,560.00,CE,0.00,0.00,0.00,25.45,65.70,0,0,0,610.30
2024-01-01,HINDALCO,2024-02-29,625.00,PE,0.00,0.00,0.00,108.55,35.00,0,0,0,610.30
2024-01-01,HINDALCO,2024-02-29,625.00,CE,0.00,0.00,0.00,10.40,27.10,0,0,0,610.30
2024-01-01,HINDALCO,2024-01-25,700.00,CE,3.95,4.15,2.60,2.85,2.85,656600,217000,648,610.30
