TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,HINDUNILVR,2024-03-28,2420.00,PE,0.00,0.00,0.00,22.75,10.45,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2500.00,CE,0.00,0.00,0.00,219.00,217.05,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-01-25,2900.00,PE,0.00,0.00,0.00,265.00,233.85,300,0,0,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2900.00,PE,0.00,0.00,0.00,324.45,227.10,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-01-25,2740.00,CE,23.60,32.70,21.95,26.50,26.50,130500,69300,961,2654.80
2024-01-01,HINDUNILVR,2024-03-28,3040.00,CE,0.00,0.00,0.00,16.75,8.95,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-01-25,2120.00,PE,0.00,0.00,0.00,6.55,0.05,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2960.00,PE,0.00,0.00,0.00,300.10,274.85,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2960.00,CE,0.00,0.00,0.00,27.15,16.85,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2760.00,PE,0.00,0.00,0.00,154.20,125.50,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2760.00,CE,0.00,0.00,0.00,48.50,43.95,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2440.00,PE,0.00,0.00,0.00,47.25,7.25,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-01-25,2440.00,CE,0.00,0.00,0.00,152.80,226.65,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2540.00,CE,0.00,0.00,0.00,191.10,186.60,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2880.00,CE,0.00,0.00,0.00,24.75,16.15,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-01-25,2580.00,PE,16.00,19.45,12.35,14.90,14.90,61200,12300,408,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2740.00,PE,0.00,0.00,0.00,199.20,106.40,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2740.00,PE,0.00,0.00,0.00,142.15,113.55,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2440.00,PE,0.00,0.00,0.00,26.45,12.80,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2980.00,PE,0.00,0.00,0.00,316.75,292.10,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2980.00,CE,0.00,0.00,0.00,13.30,6.00,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-01-25,2420.00,CE,0.00,0.00,0.00,164.75,246.15,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2420.00,CE,0.00,0.00,0.00,280.10,283.85,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2300.00,PE,0.00,0.00,0.00,17.15,0.85,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2300.00,PE,0.00,0.00,0.00,8.15,2.55,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2480.00,PE,0.00,0.00,0.00,60.30,11.85,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-02-29,2240.00,CE,0.00,0.00,0.00,355.80,439.40,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-01-25,2240.00,PE,0.00,0.00,0.00,19.25,0.05,0,0,0,2654.80
2024-01-01,HINDUNILVR,2024-01-25,2400.00,CE,0.00,0.00,0.00,278.80,265.80,5100,0,0,2654.80
2024-01-01,HINDUNILVR,2024-03-28,2760.00,CE,0.00,0.00,0.00,77.65,64.35,0,0,0,2654.80
