TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2026-04-01,HYUNDAI,2026-05-26,1480.00,PE,0.00,0.00,0.00,5.85,5.45,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1700.00,PE,25.00,84.95,25.00,68.00,68.00,43175,43175,353,1716.15
2026-04-01,HYUNDAI,2026-06-30,1680.00,CE,0.00,0.00,0.00,187.10,124.50,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-06-30,1600.00,CE,0.00,0.00,0.00,242.10,175.05,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1900.00,CE,25.55,38.25,18.60,21.20,21.20,11275,11275,111,1716.15
2026-04-01,HYUNDAI,2026-05-26,1960.00,CE,0.00,0.00,0.00,35.60,11.85,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1940.00,CE,16.00,16.00,16.00,16.00,3.35,275,275,1,1716.15
2026-04-01,HYUNDAI,2026-05-26,1520.00,CE,0.00,0.00,0.00,284.20,218.15,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1820.00,CE,0.00,0.00,0.00,80.90,39.00,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-06-30,1720.00,CE,0.00,0.00,0.00,162.80,103.20,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1840.00,PE,0.00,0.00,0.00,114.25,142.05,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-06-30,1600.00,PE,0.00,0.00,0.00,35.45,37.35,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1520.00,CE,0.00,0.00,0.00,268.70,204.70,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1920.00,CE,0.00,0.00,0.00,20.60,4.55,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1920.00,CE,0.00,0.00,0.00,45.65,17.05,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1620.00,PE,0.00,0.00,0.00,10.80,14.40,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-06-30,1840.00,CE,0.00,0.00,0.00,102.75,54.90,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-06-30,1880.00,PE,0.00,0.00,0.00,155.30,182.00,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1600.00,CE,0.00,0.00,0.00,216.95,153.25,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1700.00,CE,0.00,0.00,0.00,145.10,88.75,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1740.00,CE,0.00,0.00,0.00,120.95,68.85,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1760.00,CE,0.00,0.00,0.00,109.90,60.20,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1940.00,CE,0.00,0.00,0.00,40.30,14.25,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-06-30,1640.00,CE,0.00,0.00,0.00,213.65,148.45,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1620.00,PE,0.00,0.00,0.00,25.45,29.25,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1720.00,PE,0.00,0.00,0.00,55.65,68.05,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,2000.00,PE,0.00,0.00,0.00,227.25,275.40,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-06-30,1720.00,PE,0.00,0.00,0.00,74.00,83.90,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1660.00,CE,0.00,0.00,0.00,172.00,112.05,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1740.00,PE,70.00,109.60,70.00,84.80,84.80,3025,3025,18,1716.15
2026-04-01,HYUNDAI,2026-04-28,1800.00,PE,116.00,152.40,116.00,130.00,130.00,12100,12100,88,1716.15
2026-04-01,HYUNDAI,2026-04-28,1860.00,PE,0.00,0.00,0.00,107.50,147.05,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1940.00,PE,0.00,0.00,0.00,168.05,219.30,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1900.00,CE,0.00,0.00,0.00,51.50,20.30,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1660.00,CE,0.00,0.00,0.00,145.35,88.00,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1780.00,CE,71.60,71.60,42.05,50.30,50.30,3300,3300,28,1716.15
2026-04-01,HYUNDAI,2026-04-28,1960.00,CE,0.00,0.00,0.00,13.75,2.40,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1480.00,CE,0.00,0.00,0.00,320.20,253.80,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1560.00,CE,0.00,0.00,0.00,249.65,184.45,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,2000.00,CE,28.90,28.90,9.15,10.80,10.80,29425,29425,871,1716.15
2026-04-01,HYUNDAI,2026-04-28,1880.00,CE,30.50,30.50,21.95,21.95,8.15,550,550,5,1716.15
2026-04-01,HYUNDAI,2026-06-30,1520.00,PE,0.00,0.00,0.00,19.40,18.85,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1940.00,PE,0.00,0.00,0.00,180.85,222.05,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1780.00,PE,0.00,0.00,0.00,81.85,101.50,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1660.00,PE,50.00,58.60,50.00,57.05,57.05,6875,6875,27,1716.15
2026-04-01,HYUNDAI,2026-04-28,2000.00,PE,0.00,0.00,0.00,219.75,276.95,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1560.00,PE,24.40,31.05,15.00,23.70,23.70,7150,7150,72,1716.15
2026-04-01,HYUNDAI,2026-04-28,1960.00,PE,0.00,0.00,0.00,184.80,238.30,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1880.00,CE,0.00,0.00,0.00,57.90,24.10,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-05-26,1800.00,CE,0.00,0.00,0.00,89.90,45.30,0,0,0,1716.15
2026-04-01,HYUNDAI,2026-04-28,1800.00,CE,65.55,71.35,37.60,43.90,43.90,52800,52800,538,1716.15
