TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,INDIGO,2024-03-28,3280.00,CE,0.00,0.00,0.00,92.35,73.80,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,3280.00,PE,0.00,0.00,0.00,556.10,311.90,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,2600.00,PE,0.00,0.00,0.00,113.00,14.45,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,3320.00,PE,0.00,0.00,0.00,590.45,343.80,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,3320.00,CE,0.00,0.00,0.00,82.85,64.20,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,3320.00,PE,0.00,0.00,0.00,416.15,352.95,0,0,0,2978.30
2024-01-01,INDIGO,2024-01-25,3320.00,PE,327.45,327.45,327.45,327.45,334.60,900,900,3,2978.30
2024-01-01,INDIGO,2024-01-25,2320.00,CE,0.00,0.00,0.00,237.80,668.60,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,2960.00,PE,0.00,0.00,0.00,186.60,130.95,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,2760.00,PE,0.00,0.00,0.00,100.90,58.80,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,2760.00,CE,0.00,0.00,0.00,317.55,321.15,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,2760.00,PE,0.00,0.00,0.00,186.80,41.10,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,2860.00,CE,0.00,0.00,0.00,258.20,254.15,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,2740.00,CE,0.00,0.00,0.00,330.35,335.60,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,2780.00,PE,0.00,0.00,0.00,197.50,46.00,0,0,0,2978.30
2024-01-01,INDIGO,2024-01-25,2580.00,CE,0.00,0.00,0.00,117.15,411.20,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,3340.00,CE,0.00,0.00,0.00,33.00,34.70,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,2640.00,PE,0.00,0.00,0.00,129.40,19.25,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,3280.00,PE,0.00,0.00,0.00,386.40,323.15,0,0,0,2978.30
2024-01-01,INDIGO,2024-01-25,3280.00,CE,0.00,0.00,0.00,9.70,10.85,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,2740.00,CE,0.00,0.00,0.00,190.80,304.60,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,2780.00,CE,0.00,0.00,0.00,172.65,274.45,0,0,0,2978.30
2024-01-01,INDIGO,2024-01-25,2780.00,PE,22.75,24.00,18.15,24.00,16.80,1800,1800,14,2978.30
2024-01-01,INDIGO,2024-01-25,2660.00,CE,0.00,0.00,0.00,91.75,334.55,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,2460.00,CE,0.00,0.00,0.00,355.80,549.55,0,0,0,2978.30
2024-01-01,INDIGO,2024-03-28,2920.00,PE,0.00,0.00,0.00,166.95,113.50,0,0,0,2978.30
2024-01-01,INDIGO,2024-01-25,2460.00,CE,0.00,0.00,0.00,165.20,529.40,0,0,0,2978.30
2024-01-01,INDIGO,2024-01-25,2300.00,PE,0.00,0.00,0.00,96.50,0.05,0,0,0,2978.30
2024-01-01,INDIGO,2024-02-29,2760.00,CE,0.00,0.00,0.00,181.55,289.35,0,0,0,2978.30
