TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,INFY,2024-03-28,1740.00,PE,0.00,0.00,0.00,185.35,183.15,0,0,0,1551.35
2024-01-01,INFY,2024-01-25,1310.00,PE,0.00,0.00,0.00,46.50,0.10,0,0,0,1551.35
2024-01-01,INFY,2024-03-28,1720.00,CE,0.00,0.00,0.00,44.30,26.25,0,0,0,1551.35
2024-01-01,INFY,2024-02-29,1720.00,CE,0.00,0.00,0.00,15.55,14.90,400,0,0,1551.35
2024-01-01,INFY,2024-01-25,1720.00,PE,0.00,0.00,0.00,176.35,163.55,4000,0,0,1551.35
2024-01-01,INFY,2024-01-25,1600.00,PE,84.00,85.50,70.60,75.40,75.40,294800,2000,371,1551.35
2024-01-01,INFY,2024-02-29,1280.00,PE,0.00,0.00,0.00,15.55,0.95,0,0,0,1551.35
2024-01-01,INFY,2024-02-29,1300.00,CE,0.00,0.00,0.00,197.60,266.95,0,0,0,1551.35
2024-01-01,INFY,2024-02-29,1320.00,CE,0.00,0.00,0.00,182.20,247.90,0,0,0,1551.35
2024-01-01,INFY,2024-01-25,1320.00,CE,0.00,0.00,0.00,113.30,237.30,0,0,0,1551.35
2024-01-01,INFY,2024-01-25,1550.00,CE,59.05,63.35,52.70,58.35,58.35,662400,68800,4051,1551.35
2024-01-01,INFY,2024-01-25,1480.00,CE,93.45,103.40,93.45,103.40,88.85,21200,-1200,24,1551.35
2024-01-01,INFY,2024-01-25,1150.00,PE,0.00,0.00,0.00,1.50,0.05,800,0,0,1551.35
2024-01-01,INFY,2024-01-25,1200.00,CE,0.00,0.00,0.00,340.55,356.65,400,0,0,1551.35
2024-01-01,INFY,2024-01-25,1200.00,PE,1.05,1.05,0.85,0.95,0.95,48800,5200,31,1551.35
2024-01-01,INFY,2024-02-29,1440.00,CE,0.00,0.00,0.00,104.05,142.50,0,0,0,1551.35
2024-01-01,INFY,2024-02-29,1590.00,PE,0.00,0.00,0.00,149.55,72.50,0,0,0,1551.35
