TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,IOC,2024-02-29,98.00,PE,0.00,0.00,0.00,1.05,0.05,0,0,0,130.30
2024-01-01,IOC,2024-01-25,124.00,PE,2.20,2.20,2.00,2.15,2.15,477750,19500,22,130.30
2024-01-01,IOC,2024-01-25,124.00,CE,9.25,9.25,9.25,9.25,9.25,126750,-19500,2,130.30
2024-01-01,IOC,2024-02-29,124.00,PE,0.00,0.00,0.00,12.65,2.20,0,0,0,130.30
2024-01-01,IOC,2024-02-29,116.00,PE,0.00,0.00,0.00,7.35,0.65,0,0,0,130.30
2024-01-01,IOC,2024-02-29,97.00,CE,0.00,0.00,0.00,17.35,34.35,0,0,0,130.30
2024-01-01,IOC,2024-01-25,150.00,CE,1.20,1.40,1.05,1.10,1.10,3685500,780000,392,130.30
2024-01-01,IOC,2024-03-28,129.00,CE,0.00,0.00,0.00,11.30,8.20,0,0,0,130.30
2024-01-01,IOC,2024-02-29,127.00,PE,0.00,0.00,0.00,14.95,3.20,0,0,0,130.30
2024-01-01,IOC,2024-02-29,144.00,PE,0.00,0.00,0.00,30.00,13.60,0,0,0,130.30
2024-01-01,IOC,2024-03-28,149.00,CE,0.00,0.00,0.00,3.20,1.55,0,0,0,130.30
2024-01-01,IOC,2024-03-28,149.00,PE,0.00,0.00,0.00,16.30,17.90,0,0,0,130.30
2024-01-01,IOC,2024-02-29,107.00,PE,0.00,0.00,0.00,3.20,0.10,0,0,0,130.30
2024-01-01,IOC,2024-01-25,107.00,PE,0.00,0.00,0.00,0.25,0.05,97500,0,0,130.30
2024-01-01,IOC,2024-01-25,107.00,CE,0.00,0.00,0.00,0.15,23.80,0,0,0,130.30
2024-01-01,IOC,2024-01-25,98.00,CE,0.00,0.00,0.00,0.60,32.75,0,0,0,130.30
2024-01-01,IOC,2024-01-25,93.00,PE,0.00,0.00,0.00,11.30,0.05,0,0,0,130.30
2024-01-01,IOC,2024-01-25,93.00,CE,0.00,0.00,0.00,1.25,37.70,0,0,0,130.30
2024-01-01,IOC,2024-03-28,115.00,PE,0.00,0.00,0.00,1.15,0.95,0,0,0,130.30
2024-01-01,IOC,2024-01-25,116.00,CE,0.00,0.00,0.00,11.00,14.90,19500,0,0,130.30
2024-01-01,IOC,2024-01-25,151.00,PE,0.00,0.00,0.00,33.60,20.10,0,0,0,130.30
2024-01-01,IOC,2024-02-29,151.00,CE,0.00,0.00,0.00,0.25,0.60,0,0,0,130.30
2024-01-01,IOC,2024-03-28,124.00,PE,0.00,0.00,0.00,3.05,2.95,0,0,0,130.30
2024-01-01,IOC,2024-03-28,124.00,CE,0.00,0.00,0.00,14.55,11.25,0,0,0,130.30
2024-01-01,IOC,2024-02-29,124.00,CE,0.00,0.00,0.00,2.60,9.85,0,0,0,130.30
2024-01-01,IOC,2024-01-25,83.00,PE,0.00,0.00,0.00,4.50,0.05,0,0,0,130.30
2024-01-01,IOC,2024-01-25,91.00,CE,0.00,0.00,0.00,1.65,39.70,0,0,0,130.30
2024-01-01,IOC,2024-02-29,141.00,PE,0.00,0.00,0.00,27.20,11.25,0,0,0,130.30
2024-01-01,IOC,2024-01-25,80.00,PE,0.00,0.00,0.00,0.10,0.05,29250,0,0,130.30
2024-01-01,IOC,2024-03-28,136.00,PE,0.00,0.00,0.00,7.90,8.45,0,0,0,130.30
2024-01-01,IOC,2024-01-25,126.00,PE,3.60,3.60,2.50,2.90,2.90,497250,39000,60,130.30
2024-01-01,IOC,2024-02-29,140.00,CE,0.00,0.00,0.00,0.50,2.35,0,0,0,130.30
2024-01-01,IOC,2024-01-25,87.00,CE,0.00,0.00,0.00,2.70,43.70,0,0,0,130.30
2024-01-01,IOC,2024-01-25,149.00,CE,1.30,1.45,1.15,1.20,1.20,224250,-9750,19,130.30
2024-01-01,IOC,2024-02-29,143.00,CE,0.00,0.00,0.00,0.35,1.65,0,0,0,130.30
2024-01-01,IOC,2024-01-25,118.00,CE,0.00,0.00,0.00,0.05,13.00,0,0,0,130.30
2024-01-01,IOC,2024-03-28,147.00,PE,0.00,0.00,0.00,14.80,16.25,0,0,0,130.30
2024-01-01,IOC,2024-01-25,106.00,CE,0.00,0.00,0.00,0.20,24.75,0,0,0,130.30
2024-01-01,IOC,2024-03-28,136.00,CE,0.00,0.00,0.00,7.60,4.95,0,0,0,130.30
2024-01-01,IOC,2024-02-29,136.00,CE,0.00,0.00,0.00,0.80,3.55,0,0,0,130.30
2024-01-01,IOC,2024-01-25,94.00,PE,0.00,0.00,0.00,0.05,0.05,0,0,0,130.30
2024-01-01,IOC,2024-01-25,94.00,CE,0.00,0.00,0.00,1.10,36.70,0,0,0,130.30
2024-01-01,IOC,2024-03-28,113.00,CE,0.00,0.00,0.00,23.20,19.80,0,0,0,130.30
2024-01-01,IOC,2024-01-25,147.00,CE,1.35,1.40,1.35,1.40,1.40,48750,48750,5,130.30
2024-01-01,IOC,2024-01-25,97.00,PE,0.00,0.00,0.00,14.70,0.05,0,0,0,130.30
2024-01-01,IOC,2024-03-28,111.00,CE,0.00,0.00,0.00,24.95,21.60,0,0,0,130.30
2024-01-01,IOC,2024-01-25,111.00,CE,0.00,0.00,0.00,0.10,19.80,0,0,0,130.30
2024-01-01,IOC,2024-03-28,111.00,PE,0.00,0.00,0.00,0.70,0.50,0,0,0,130.30
2024-01-01,IOC,2024-01-25,85.00,PE,0.05,0.05,0.05,0.05,0.05,136500,-9750,5,130.30
2024-01-01,IOC,2024-01-25,116.00,PE,0.70,0.70,0.60,0.65,0.65,487500,0,16,130.30
2024-01-01,IOC,2024-01-25,67.00,PE,0.00,0.00,0.00,0.30,0.05,0,0,0,130.30
2024-01-01,IOC,2024-03-28,135.00,CE,0.00,0.00,0.00,8.05,5.35,0,0,0,130.30
2024-01-01,IOC,2024-01-25,96.00,CE,0.00,0.00,0.00,0.80,34.75,0,0,0,130.30
2024-01-01,IOC,2024-01-25,96.00,PE,0.00,0.00,0.00,13.80,0.05,0,0,0,130.30
2024-01-01,IOC,2024-02-29,129.00,CE,0.00,0.00,0.00,1.65,6.70,0,0,0,130.30
2024-01-01,IOC,2024-02-29,129.00,PE,0.00,0.00,0.00,16.55,4.00,0,0,0,130.30
2024-01-01,IOC,2024-02-29,147.00,PE,0.00,0.00,0.00,32.85,16.15,0,0,0,130.30
2024-01-01,IOC,2024-01-25,115.00,CE,17.80,17.90,17.80,17.90,15.90,536250,9750,2,130.30
2024-01-01,IOC,2024-02-29,115.00,PE,1.40,1.45,1.40,1.45,1.45,87750,29250,4,130.30
2024-01-01,IOC,2024-02-29,97.00,PE,0.00,0.00,0.00,0.90,0.05,0,0,0,130.30
2024-01-01,IOC,2024-01-25,97.00,CE,0.00,0.00,0.00,30.45,33.75,19500,0,0,130.30
2024-01-01,IOC,2024-02-29,141.00,CE,0.00,0.00,0.00,0.45,2.10,0,0,0,130.30
2024-01-01,IOC,2024-02-29,99.00,CE,0.00,0.00,0.00,15.70,32.40,0,0,0,130.30
2024-01-01,IOC,2024-01-25,139.00,PE,9.50,10.60,9.50,10.60,10.60,58500,0,4,130.30
2024-01-01,IOC,2024-01-25,92.00,CE,0.00,0.00,0.00,1.45,38.70,0,0,0,130.30
2024-01-01,IOC,2024-01-25,132.00,CE,5.50,6.15,4.80,4.95,4.95,1589250,263250,300,130.30
2024-01-01,IOC,2024-02-29,132.00,PE,0.00,0.00,0.00,19.10,5.45,0,0,0,130.30
2024-01-01,IOC,2024-03-28,132.00,CE,0.00,0.00,0.00,9.60,6.65,0,0,0,130.30
2024-01-01,IOC,2024-01-25,150.00,PE,0.00,0.00,0.00,32.60,19.10,0,0,0,130.30
2024-01-01,IOC,2024-03-28,150.00,CE,0.00,0.00,0.00,3.00,1.45,0,0,0,130.30
2024-01-01,IOC,2024-02-29,113.00,PE,0.00,0.00,0.00,5.75,0.35,0,0,0,130.30
2024-01-01,IOC,2024-01-25,146.00,CE,0.00,0.00,0.00,0.05,0.15,0,0,0,130.30
2024-01-01,IOC,2024-01-25,146.00,PE,0.00,0.00,0.00,35.85,15.25,0,0,0,130.30
2024-01-01,IOC,2024-02-29,130.00,CE,8.40,9.25,8.30,8.30,8.30,234000,117000,24,130.30
2024-01-01,IOC,2024-02-29,130.00,PE,7.25,7.25,7.20,7.25,4.45,68250,0,4,130.30
2024-01-01,IOC,2024-01-25,71.00,PE,0.00,0.00,0.00,0.70,0.05,0,0,0,130.30
2024-01-01,IOC,2024-03-28,128.00,CE,0.00,0.00,0.00,11.90,8.75,0,0,0,130.30
2024-01-01,IOC,2024-02-29,128.00,PE,0.00,0.00,0.00,15.75,3.60,0,0,0,130.30
2024-01-01,IOC,2024-02-29,131.00,CE,0.00,0.00,0.00,1.35,5.65,0,0,0,130.30
2024-01-01,IOC,2024-01-25,133.00,PE,6.60,6.60,5.65,6.45,6.45,419250,78000,44,130.30
2024-01-01,IOC,2024-03-28,133.00,PE,0.00,0.00,0.00,6.40,6.75,0,0,0,130.30
2024-01-01,IOC,2024-03-28,140.00,CE,0.00,0.00,0.00,5.95,3.55,0,0,0,130.30
2024-01-01,IOC,2024-01-25,82.00,CE,0.00,0.00,0.00,4.75,48.65,0,0,0,130.30
2024-01-01,IOC,2024-01-25,126.00,CE,9.05,9.25,7.95,7.95,7.95,146250,-19500,7,130.30
2024-01-01,IOC,2024-03-28,134.00,CE,0.00,0.00,0.00,8.55,5.75,0,0,0,130.30
2024-01-01,IOC,2024-03-28,148.00,CE,0.00,0.00,0.00,3.45,1.75,0,0,0,130.30
2024-01-01,IOC,2024-02-29,150.00,PE,0.00,0.00,0.00,31.80,18.75,0,0,0,130.30
2024-01-01,IOC,2024-02-29,150.00,CE,0.00,0.00,0.00,0.30,0.70,0,0,0,130.30
2024-01-01,IOC,2024-02-29,108.00,PE,0.00,0.00,0.00,3.55,0.10,0,0,0,130.30
