TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-11-29,IRFC,2025-02-27,145.00,PE,0.00,0.00,0.00,12.55,13.90,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,137.50,PE,0.00,0.00,0.00,3.45,4.30,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,142.50,PE,0.00,0.00,0.00,5.00,6.10,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,142.50,CE,0.00,0.00,0.00,21.70,18.90,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,160.00,CE,7.70,7.70,2.15,2.45,2.45,814275,814275,633,149.35
2024-11-29,IRFC,2025-01-30,160.00,CE,0.00,0.00,0.00,13.15,11.05,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,135.00,PE,0.00,0.00,0.00,2.85,3.55,0,0,0,149.35
2024-11-29,IRFC,2025-02-27,150.00,CE,0.00,0.00,0.00,21.00,18.45,0,0,0,149.35
2024-11-29,IRFC,2025-02-27,170.00,PE,0.00,0.00,0.00,26.50,28.70,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,175.00,CE,0.00,0.00,0.00,8.20,6.70,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,137.50,CE,0.00,0.00,0.00,20.10,16.85,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,137.50,PE,0.00,0.00,0.00,7.15,8.20,0,0,0,149.35
2024-11-29,IRFC,2025-02-27,145.00,CE,0.00,0.00,0.00,23.55,20.85,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,145.00,CE,0.00,0.00,0.00,20.30,17.55,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,155.00,CE,0.00,0.00,0.00,15.30,13.00,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,155.00,PE,0.00,0.00,0.00,14.95,16.70,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,180.00,PE,29.10,29.10,29.10,29.10,29.10,3525,3525,1,149.35
2024-11-29,IRFC,2025-01-30,180.00,CE,0.00,0.00,0.00,6.95,5.60,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,180.00,CE,2.60,2.60,0.50,0.60,0.60,289050,289050,122,149.35
2024-11-29,IRFC,2024-12-26,175.00,CE,1.00,1.00,0.70,0.75,0.75,81075,81075,27,149.35
2024-11-29,IRFC,2025-01-30,175.00,PE,0.00,0.00,0.00,27.60,30.20,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,175.00,PE,0.00,0.00,0.00,24.10,27.15,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,165.00,CE,2.35,3.10,1.50,1.70,1.70,137475,137475,77,149.35
2024-11-29,IRFC,2024-12-26,165.00,PE,0.00,0.00,0.00,16.65,19.20,0,0,0,149.35
2024-11-29,IRFC,2025-02-27,165.00,PE,0.00,0.00,0.00,23.30,25.35,0,0,0,149.35
2024-11-29,IRFC,2025-02-27,165.00,CE,0.00,0.00,0.00,14.70,12.65,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,165.00,CE,0.00,0.00,0.00,11.30,9.40,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,155.00,PE,10.50,10.50,9.95,10.50,12.40,21150,21150,7,149.35
2024-11-29,IRFC,2025-02-27,155.00,CE,0.00,0.00,0.00,18.70,16.30,0,0,0,149.35
2024-11-29,IRFC,2025-02-27,170.00,CE,0.00,0.00,0.00,12.95,11.05,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,140.00,CE,11.00,11.00,10.60,10.85,15.20,28200,28200,8,149.35
2024-11-29,IRFC,2024-12-26,140.00,PE,0.80,3.15,0.80,2.95,2.95,317250,317250,148,149.35
2024-11-29,IRFC,2025-02-27,140.00,CE,0.00,0.00,0.00,26.35,23.45,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,137.50,CE,0.00,0.00,0.00,24.75,21.75,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,160.00,PE,14.35,14.40,13.50,13.50,15.65,14100,14100,4,149.35
2024-11-29,IRFC,2025-01-30,135.00,PE,0.00,0.00,0.00,6.30,7.25,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,130.00,PE,0.00,0.00,0.00,4.80,5.60,0,0,0,149.35
2024-11-29,IRFC,2024-12-26,135.00,CE,0.00,0.00,0.00,21.95,18.60,0,0,0,149.35
2024-11-29,IRFC,2025-01-30,162.50,CE,0.00,0.00,0.00,12.20,10.20,0,0,0,149.35
