TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,JINDALSTEL,2024-01-25,720.00,PE,16.25,17.10,13.80,16.45,16.45,380000,17500,165,743.95
2024-01-01,JINDALSTEL,2024-01-25,480.00,CE,270.00,270.00,270.00,270.00,270.00,5000,5000,4,743.95
2024-01-01,JINDALSTEL,2024-01-25,550.00,PE,0.00,0.00,0.00,15.35,0.05,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-02-29,570.00,PE,0.00,0.00,0.00,14.95,1.00,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,570.00,CE,0.00,0.00,0.00,105.80,176.50,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,860.00,PE,0.00,0.00,0.00,208.20,114.30,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,860.00,PE,0.00,0.00,0.00,135.20,121.05,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,690.00,CE,0.00,0.00,0.00,94.55,88.80,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-02-29,690.00,PE,0.00,0.00,0.00,61.60,17.45,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,700.00,CE,0.00,0.00,0.00,88.65,82.35,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,660.00,PE,0.00,0.00,0.00,25.45,15.30,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,680.00,PE,0.00,0.00,0.00,32.05,20.70,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,680.00,PE,6.20,6.40,4.90,6.10,6.10,706250,-40000,303,743.95
2024-01-01,JINDALSTEL,2024-01-25,620.00,PE,1.10,1.20,0.95,1.15,1.15,97500,1250,29,743.95
2024-01-01,JINDALSTEL,2024-02-29,620.00,CE,0.00,0.00,0.00,91.50,134.80,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,560.00,PE,0.00,0.00,0.00,17.85,0.05,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-02-29,560.00,CE,0.00,0.00,0.00,133.60,190.75,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,730.00,CE,41.15,45.00,36.85,37.55,37.55,313750,-7500,156,743.95
2024-01-01,JINDALSTEL,2024-01-25,700.00,PE,10.30,10.70,8.40,10.10,10.10,752500,-38750,382,743.95
2024-01-01,JINDALSTEL,2024-02-29,810.00,CE,0.00,0.00,0.00,19.40,21.60,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,700.00,CE,64.60,64.60,56.60,57.50,57.50,123750,-3750,13,743.95
2024-01-01,JINDALSTEL,2024-01-25,480.00,PE,0.00,0.00,0.00,4.20,0.05,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-02-29,750.00,CE,46.30,49.35,46.00,46.55,46.55,6250,3750,7,743.95
2024-01-01,JINDALSTEL,2024-01-25,570.00,PE,0.00,0.00,0.00,20.60,0.05,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,750.00,CE,33.05,34.40,27.15,28.30,28.30,1525000,11250,1637,743.95
2024-01-01,JINDALSTEL,2024-03-28,800.00,CE,0.00,0.00,0.00,43.65,34.65,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-02-29,800.00,CE,0.00,0.00,0.00,21.35,24.50,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,780.00,PE,46.00,46.95,43.95,46.90,47.20,36250,10000,21,743.95
2024-01-01,JINDALSTEL,2024-01-25,780.00,CE,19.05,21.20,16.00,16.75,16.75,447500,60000,492,743.95
2024-01-01,JINDALSTEL,2024-03-28,690.00,PE,0.00,0.00,0.00,35.75,23.85,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-01-25,690.00,PE,7.65,8.20,6.55,7.80,7.80,135000,2500,67,743.95
2024-01-01,JINDALSTEL,2024-02-29,770.00,PE,0.00,0.00,0.00,113.35,52.80,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-02-29,810.00,PE,0.00,0.00,0.00,144.10,78.85,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,670.00,PE,0.00,0.00,0.00,28.60,17.85,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-02-29,630.00,PE,0.00,0.00,0.00,33.35,5.20,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,850.00,CE,0.00,0.00,0.00,29.35,20.85,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,850.00,PE,0.00,0.00,0.00,127.70,113.30,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-02-29,720.00,PE,0.00,0.00,0.00,79.30,27.95,0,0,0,743.95
2024-01-01,JINDALSTEL,2024-03-28,790.00,PE,0.00,0.00,0.00,86.55,71.55,0,0,0,743.95
