TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,JSWSTEEL,2024-03-28,1020.00,PE,0.00,0.00,0.00,137.00,134.60,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,700.00,PE,0.00,0.00,0.00,9.95,0.30,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,700.00,CE,0.00,0.00,0.00,123.60,185.50,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,720.00,CE,0.00,0.00,0.00,57.60,160.80,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,600.00,CE,0.00,0.00,0.00,257.30,280.25,20925,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,600.00,PE,0.00,0.00,0.00,0.50,0.05,675,0,0,877.60
2024-01-01,JSWSTEEL,2024-03-28,990.00,CE,0.00,0.00,0.00,22.25,13.05,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,1020.00,PE,0.00,0.00,0.00,274.40,138.15,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-03-28,1020.00,CE,0.00,0.00,0.00,16.15,8.45,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,950.00,CE,13.00,13.10,9.65,10.80,10.80,600750,6750,969,877.60
2024-01-01,JSWSTEEL,2024-02-29,860.00,CE,0.00,0.00,0.00,32.15,50.55,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,900.00,PE,43.15,43.45,37.15,41.80,41.80,119475,21600,193,877.60
2024-01-01,JSWSTEEL,2024-01-25,610.00,PE,0.00,0.00,0.00,5.75,0.05,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,840.00,CE,0.00,0.00,0.00,39.35,63.25,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,910.00,CE,0.00,0.00,0.00,18.75,26.35,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,730.00,CE,0.00,0.00,0.00,100.65,156.45,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,750.00,CE,0.00,0.00,0.00,86.70,137.55,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,1000.00,CE,6.75,6.75,4.25,4.70,4.70,592650,54000,654,877.60
2024-01-01,JSWSTEEL,2024-03-28,960.00,PE,0.00,0.00,0.00,92.05,86.60,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-03-28,1010.00,PE,0.00,0.00,0.00,129.05,126.10,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,1010.00,PE,0.00,0.00,0.00,196.20,126.20,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,690.00,PE,0.00,0.00,0.00,8.25,0.20,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,1010.00,CE,0.00,0.00,0.00,1.45,0.45,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,790.00,CE,0.00,0.00,0.00,62.55,101.70,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,920.00,CE,0.00,0.00,0.00,16.65,22.75,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,670.00,CE,0.00,0.00,0.00,88.40,210.55,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,670.00,CE,0.00,0.00,0.00,148.65,214.95,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-03-28,990.00,PE,0.00,0.00,0.00,113.65,109.65,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,990.00,PE,0.00,0.00,0.00,178.20,108.65,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-03-28,780.00,PE,0.00,0.00,0.00,12.40,7.45,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,780.00,CE,0.00,0.00,0.00,68.10,110.35,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-03-28,850.00,CE,0.00,0.00,0.00,78.60,66.40,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-03-28,950.00,CE,0.00,0.00,0.00,33.15,22.20,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,950.00,PE,77.75,80.00,73.00,77.85,77.85,95175,-60075,119,877.60
2024-01-01,JSWSTEEL,2024-02-29,720.00,CE,0.00,0.00,0.00,108.00,166.05,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,790.00,PE,4.85,4.90,3.30,4.05,4.05,75600,8100,199,877.60
2024-01-01,JSWSTEEL,2024-03-28,940.00,CE,0.00,0.00,0.00,36.50,25.15,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,940.00,PE,0.00,0.00,0.00,135.20,68.90,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,930.00,PE,0.00,0.00,0.00,127.05,61.85,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,650.00,PE,0.00,0.00,0.00,0.15,0.05,4050,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,690.00,CE,0.00,0.00,0.00,131.70,195.30,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-03-28,750.00,CE,0.00,0.00,0.00,151.70,143.40,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,970.00,PE,0.00,0.00,0.00,160.60,91.95,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,1020.00,CE,3.50,3.80,3.15,3.25,3.25,51300,45225,124,877.60
2024-01-01,JSWSTEEL,2024-01-25,700.00,PE,0.60,0.65,0.50,0.55,0.55,40500,675,8,877.60
2024-01-01,JSWSTEEL,2024-02-29,980.00,CE,0.00,0.00,0.00,8.00,8.45,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,750.00,PE,1.90,1.90,1.20,1.45,1.45,143775,1350,37,877.60
2024-01-01,JSWSTEEL,2024-01-25,810.00,PE,7.05,7.40,5.65,6.75,6.75,95175,20925,148,877.60
2024-01-01,JSWSTEEL,2024-01-25,940.00,CE,15.10,15.30,11.70,12.90,12.90,240300,675,520,877.60
2024-01-01,JSWSTEEL,2024-01-25,590.00,CE,0.00,0.00,0.00,152.85,290.20,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,890.00,CE,32.00,32.65,26.20,28.75,28.75,590625,110025,1556,877.60
2024-01-01,JSWSTEEL,2024-01-25,1000.00,PE,117.55,121.10,117.55,118.70,118.60,55350,675,4,877.60
2024-01-01,JSWSTEEL,2024-03-28,960.00,CE,0.00,0.00,0.00,30.10,19.50,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,1020.00,CE,0.00,0.00,0.00,4.75,3.90,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,710.00,CE,0.00,0.00,0.00,115.65,175.75,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-02-29,710.00,PE,0.00,0.00,0.00,11.85,0.45,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,940.00,PE,70.40,70.40,63.00,68.05,68.05,16200,11475,22,877.60
2024-01-01,JSWSTEEL,2024-01-25,930.00,CE,17.40,17.95,14.10,15.20,15.20,64800,8775,556,877.60
2024-01-01,JSWSTEEL,2024-03-28,780.00,CE,0.00,0.00,0.00,127.20,117.50,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,780.00,CE,0.00,0.00,0.00,31.50,101.70,0,0,0,877.60
2024-01-01,JSWSTEEL,2024-01-25,780.00,PE,0.00,0.00,0.00,68.90,0.65,0,0,0,877.60
