TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,KOTAKBANK,2024-02-29,1750.00,CE,0.00,0.00,0.00,102.85,186.15,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2080.00,CE,7.00,7.00,4.60,5.10,5.10,121200,17200,271,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1740.00,CE,0.00,0.00,0.00,231.15,208.75,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1890.00,PE,0.00,0.00,0.00,60.75,50.75,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1810.00,PE,0.00,0.00,0.00,96.10,17.55,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1760.00,CE,0.00,0.00,0.00,215.25,192.10,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,2010.00,PE,0.00,0.00,0.00,121.05,114.30,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1620.00,CE,0.00,0.00,0.00,144.00,296.70,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1620.00,PE,0.00,0.00,0.00,40.30,0.05,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1910.00,PE,0.00,0.00,0.00,69.10,59.25,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1520.00,CE,0.00,0.00,0.00,218.10,396.25,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1950.00,PE,0.00,0.00,0.00,87.90,78.80,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1810.00,PE,8.90,8.90,5.90,7.10,7.10,23600,8400,100,1909.50
2024-01-01,KOTAKBANK,2024-03-28,2020.00,PE,0.00,0.00,0.00,127.15,120.85,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1900.00,PE,53.00,53.45,42.80,48.45,48.45,19600,10400,52,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1610.00,PE,0.00,0.00,0.00,37.15,0.05,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1610.00,CE,0.00,0.00,0.00,195.50,317.50,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,2090.00,PE,0.00,0.00,0.00,173.95,171.65,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2120.00,CE,4.00,4.10,2.50,2.95,2.95,148400,73200,458,1909.50
2024-01-01,KOTAKBANK,2024-02-29,2100.00,CE,23.00,23.00,15.50,16.00,16.00,14400,14400,42,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1540.00,CE,0.00,0.00,0.00,202.10,376.30,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1910.00,CE,43.15,51.70,40.20,44.75,44.75,132000,-8800,836,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1910.00,CE,0.00,0.00,0.00,114.80,89.25,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,2040.00,CE,0.00,0.00,0.00,57.85,36.65,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1880.00,PE,27.25,28.15,19.35,23.30,23.30,122800,-7200,678,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1880.00,PE,0.00,0.00,0.00,139.15,38.35,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1880.00,CE,0.00,0.00,0.00,132.00,106.30,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1640.00,PE,0.00,0.00,0.00,47.10,0.05,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1910.00,CE,0.00,0.00,0.00,81.10,71.15,400,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1800.00,CE,0.00,0.00,0.00,185.15,160.65,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1780.00,CE,0.00,0.00,0.00,87.55,160.65,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,2100.00,CE,0.00,0.00,0.00,40.30,22.55,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2100.00,CE,5.40,5.40,3.25,3.85,3.85,208400,32000,943,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1740.00,CE,0.00,0.00,0.00,78.00,178.20,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1850.00,CE,0.00,0.00,0.00,150.65,125.20,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1850.00,PE,0.00,0.00,0.00,46.05,36.20,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1850.00,CE,78.05,92.00,76.00,79.30,79.30,98800,8000,56,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1850.00,PE,29.45,29.45,26.30,28.00,28.00,4800,2400,10,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2000.00,PE,103.95,105.00,86.40,92.35,92.35,103600,-13600,108,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1540.00,PE,0.00,0.00,0.00,19.80,0.05,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1700.00,PE,1.85,2.00,1.50,1.65,1.65,264800,29600,260,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1700.00,PE,5.00,5.05,4.05,4.05,4.05,14400,-400,6,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2070.00,CE,7.55,7.55,5.25,5.90,5.90,22800,10800,75,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1940.00,CE,0.00,0.00,0.00,99.20,74.10,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1720.00,PE,0.00,0.00,0.00,53.50,4.75,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1590.00,CE,0.00,0.00,0.00,164.65,326.55,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2020.00,CE,13.05,14.30,10.40,11.75,11.75,102000,9200,215,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2020.00,PE,0.00,0.00,0.00,106.10,109.60,800,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,2020.00,PE,0.00,0.00,0.00,246.40,116.30,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1830.00,PE,0.00,0.00,0.00,107.55,22.35,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,2100.00,PE,0.00,0.00,0.00,316.45,179.65,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1730.00,CE,0.00,0.00,0.00,113.95,203.90,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1650.00,CE,0.00,0.00,0.00,125.05,266.85,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1650.00,PE,0.00,0.00,0.00,50.80,0.05,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1650.00,CE,0.00,0.00,0.00,165.70,278.70,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1750.00,PE,0.00,0.00,0.00,20.35,12.90,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1750.00,CE,170.00,170.00,170.00,170.00,170.00,23200,-1200,15,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1750.00,PE,2.95,3.75,2.30,2.90,2.90,129200,-4800,273,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2080.00,PE,0.00,0.00,0.00,355.05,163.70,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1890.00,PE,0.00,0.00,0.00,145.95,42.30,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1890.00,CE,0.00,0.00,0.00,126.10,100.40,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1970.00,PE,0.00,0.00,0.00,205.40,83.00,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1970.00,PE,0.00,0.00,0.00,98.30,89.85,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1970.00,CE,21.00,26.00,19.40,22.20,22.20,38800,-10800,495,1909.50
2024-01-01,KOTAKBANK,2024-03-28,2060.00,PE,0.00,0.00,0.00,153.05,148.95,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1930.00,PE,0.00,0.00,0.00,78.15,68.60,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1930.00,CE,0.00,0.00,0.00,34.70,61.05,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1690.00,CE,0.00,0.00,0.00,102.30,227.20,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1960.00,PE,72.25,73.50,57.50,61.35,61.35,12800,6000,45,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1960.00,PE,0.00,0.00,0.00,93.00,84.25,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1890.00,PE,31.90,32.30,22.60,27.60,27.60,60000,5600,294,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1990.00,PE,90.85,94.35,78.85,92.50,92.50,6800,-2400,46,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1850.00,CE,0.00,0.00,0.00,58.25,107.60,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1850.00,PE,17.15,17.45,11.75,14.55,14.55,164400,5600,522,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1580.00,PE,0.00,0.00,0.00,15.70,0.25,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1960.00,CE,24.45,29.20,21.65,24.35,24.35,152000,6000,631,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1930.00,CE,0.00,0.00,0.00,104.20,78.90,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2010.00,PE,0.00,0.00,0.00,291.70,101.25,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2090.00,CE,5.70,5.70,4.00,4.30,4.30,46000,6800,73,1909.50
2024-01-01,KOTAKBANK,2024-01-25,2090.00,PE,0.00,0.00,0.00,364.30,173.15,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1610.00,CE,0.00,0.00,0.00,150.70,306.65,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,2090.00,PE,0.00,0.00,0.00,307.45,171.20,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,2090.00,CE,0.00,0.00,0.00,10.35,13.35,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-03-28,1900.00,PE,0.00,0.00,0.00,64.85,54.90,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1940.00,CE,0.00,0.00,0.00,58.00,56.35,800,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1940.00,CE,32.45,36.90,27.90,31.30,31.30,172000,-3600,855,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1940.00,PE,58.30,59.95,45.50,53.00,53.00,27200,-19600,178,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1940.00,PE,0.00,0.00,0.00,85.00,65.80,400,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1910.00,PE,40.95,42.50,30.50,36.20,36.20,76000,1600,568,1909.50
2024-01-01,KOTAKBANK,2024-02-29,2040.00,CE,0.00,0.00,0.00,15.45,22.75,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1790.00,PE,0.00,0.00,0.00,85.35,13.55,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1560.00,CE,0.00,0.00,0.00,236.05,366.60,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1690.00,PE,0.00,0.00,0.00,42.65,2.85,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1530.00,CE,0.00,0.00,0.00,210.00,386.30,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1880.00,CE,0.00,0.00,0.00,48.25,88.25,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-02-29,1640.00,PE,0.00,0.00,0.00,28.10,1.05,0,0,0,1909.50
2024-01-01,KOTAKBANK,2024-01-25,1680.00,PE,2.00,2.00,0.75,0.75,0.15,400,0,2,1909.50
