TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-11-29,LODHA,2025-01-30,1380.00,CE,0.00,0.00,0.00,75.90,66.65,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1180.00,CE,0.00,0.00,0.00,168.95,154.35,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1160.00,CE,0.00,0.00,0.00,181.40,166.25,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1400.00,PE,0.00,0.00,0.00,179.15,190.35,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1220.00,CE,0.00,0.00,0.00,106.20,92.10,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1320.00,PE,0.00,0.00,0.00,128.75,137.80,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1320.00,CE,0.00,0.00,0.00,57.20,47.30,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1120.00,PE,0.00,0.00,0.00,56.70,60.85,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1300.00,PE,69.90,70.00,68.90,69.65,69.65,27450,27450,70,1253.20
2024-11-29,LODHA,2025-01-30,1300.00,PE,0.00,0.00,0.00,117.45,125.95,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1080.00,PE,8.95,10.00,4.75,6.60,6.60,6750,6750,21,1253.20
2024-11-29,LODHA,2025-01-30,1280.00,CE,0.00,0.00,0.00,115.50,103.55,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1280.00,PE,0.00,0.00,0.00,74.50,82.75,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1440.00,PE,0.00,0.00,0.00,207.15,219.40,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1380.00,PE,0.00,0.00,0.00,165.80,176.50,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1380.00,CE,0.00,0.00,0.00,37.40,30.00,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1340.00,CE,0.00,0.00,0.00,90.20,79.90,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1340.00,PE,0.00,0.00,0.00,140.60,150.20,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1220.00,PE,0.00,0.00,0.00,46.75,52.55,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1120.00,CE,0.00,0.00,0.00,176.15,158.75,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1200.00,CE,0.00,0.00,0.00,181.45,167.45,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1200.00,CE,0.00,0.00,0.00,157.10,143.00,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1120.00,PE,0.00,0.00,0.00,17.25,19.70,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1160.00,PE,0.00,0.00,0.00,26.75,30.30,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1160.00,CE,0.00,0.00,0.00,204.60,189.75,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1400.00,PE,0.00,0.00,0.00,195.95,206.35,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1320.00,PE,0.00,0.00,0.00,147.05,155.65,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1320.00,CE,0.00,0.00,0.00,123.65,112.35,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1480.00,CE,0.00,0.00,0.00,48.20,41.45,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1080.00,PE,0.00,0.00,0.00,30.50,33.50,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1180.00,PE,0.00,0.00,0.00,32.55,36.80,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1160.00,CE,0.00,0.00,0.00,145.85,129.55,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1400.00,CE,0.00,0.00,0.00,32.25,25.50,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1260.00,PE,58.20,58.20,58.20,58.20,58.20,450,450,1,1253.20
2024-11-29,LODHA,2025-01-30,1480.00,PE,0.00,0.00,0.00,236.85,250.05,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1440.00,CE,0.00,0.00,0.00,57.95,50.35,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1440.00,PE,0.00,0.00,0.00,222.80,234.05,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1240.00,CE,0.00,0.00,0.00,160.30,147.20,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1200.00,CE,0.00,0.00,0.00,118.55,103.70,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1260.00,PE,0.00,0.00,0.00,96.50,103.85,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1440.00,CE,0.00,0.00,0.00,23.60,18.25,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1360.00,CE,40.00,40.00,18.45,18.45,18.45,900,900,12,1253.20
2024-11-29,LODHA,2025-02-27,1360.00,PE,0.00,0.00,0.00,170.70,180.15,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1360.00,PE,0.00,0.00,0.00,123.10,134.75,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1380.00,PE,0.00,0.00,0.00,137.15,149.60,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1320.00,PE,0.00,0.00,0.00,97.25,107.20,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1320.00,CE,0.00,0.00,0.00,98.10,87.25,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1340.00,CE,0.00,0.00,0.00,49.90,40.80,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1220.00,CE,0.00,0.00,0.00,145.85,132.25,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1340.00,PE,0.00,0.00,0.00,109.80,120.60,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1220.00,PE,0.00,0.00,0.00,77.75,84.05,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1120.00,PE,0.00,0.00,0.00,41.25,45.00,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1200.00,PE,0.00,0.00,0.00,39.20,44.25,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1240.00,CE,0.00,0.00,0.00,94.70,81.40,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1240.00,PE,0.00,0.00,0.00,86.85,93.65,0,0,0,1253.20
2024-11-29,LODHA,2025-02-27,1240.00,PE,0.00,0.00,0.00,105.15,111.90,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1360.00,PE,0.00,0.00,0.00,152.95,163.10,0,0,0,1253.20
2024-11-29,LODHA,2024-12-26,1400.00,PE,0.00,0.00,0.00,151.85,165.00,0,0,0,1253.20
2024-11-29,LODHA,2025-01-30,1240.00,CE,0.00,0.00,0.00,135.15,122.10,0,0,0,1253.20
