TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,MARUTI,2024-02-29,11600.00,CE,0.00,0.00,0.00,232.60,34.35,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,9800.00,CE,0.00,0.00,0.00,1133.60,697.10,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,9100.00,CE,0.00,0.00,0.00,1715.15,1297.55,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,8900.00,PE,0.00,0.00,0.00,28.40,7.65,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,8900.00,PE,0.00,0.00,0.00,46.40,19.10,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,10800.00,CE,0.00,0.00,0.00,348.15,256.80,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,10800.00,CE,148.05,148.10,106.55,113.25,113.25,111800,13850,3307,10283.30
2024-01-01,MARUTI,2024-02-29,10800.00,CE,0.00,0.00,0.00,517.80,172.65,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,10800.00,PE,0.00,0.00,0.00,682.30,601.15,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10800.00,PE,0.00,0.00,0.00,515.65,572.15,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9900.00,PE,0.00,0.00,0.00,251.15,176.55,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,9900.00,CE,560.00,560.00,544.40,549.60,549.60,4600,0,3,10283.30
2024-01-01,MARUTI,2024-03-28,10700.00,CE,0.00,0.00,0.00,386.10,292.95,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,10700.00,CE,183.00,183.00,129.45,140.80,140.80,116500,65000,3764,10283.30
2024-01-01,MARUTI,2024-01-25,9100.00,CE,0.00,0.00,0.00,1554.60,1224.65,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,9100.00,PE,0.00,0.00,0.00,43.45,15.50,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11800.00,PE,0.00,0.00,0.00,1325.15,1465.25,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,9300.00,CE,0.00,0.00,0.00,1539.50,1113.45,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,10600.00,PE,0.00,0.00,0.00,564.75,480.20,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,8600.00,PE,0.00,0.00,0.00,14.05,2.25,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,12100.00,PE,0.00,0.00,0.00,1572.50,1763.25,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,10600.00,PE,413.20,462.20,394.05,415.70,415.70,17850,3650,146,10283.30
2024-01-01,MARUTI,2024-03-28,10000.00,PE,0.00,0.00,0.00,286.50,208.50,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11000.00,CE,104.90,105.70,72.35,78.75,78.75,423750,67300,9022,10283.30
2024-01-01,MARUTI,2024-01-25,10600.00,CE,215.00,215.00,157.90,170.50,170.50,68050,13450,2771,10283.30
2024-01-01,MARUTI,2024-02-29,8300.00,CE,0.00,0.00,0.00,2463.70,2073.90,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10000.00,CE,630.85,660.00,610.00,610.00,555.60,8700,1550,36,10283.30
2024-01-01,MARUTI,2024-02-29,8300.00,PE,0.00,0.00,0.00,6.30,0.55,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,11500.00,CE,0.00,0.00,0.00,259.25,43.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,10300.00,CE,0.00,0.00,0.00,568.30,474.65,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9200.00,PE,0.00,0.00,0.00,83.40,41.95,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,10100.00,PE,0.00,0.00,0.00,324.95,244.15,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,11400.00,PE,0.00,0.00,0.00,1100.80,1040.95,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11400.00,PE,0.00,0.00,0.00,1020.05,1071.90,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11400.00,CE,34.05,40.65,31.50,36.05,36.05,7050,6500,171,10283.30
2024-01-01,MARUTI,2024-01-25,8500.00,CE,0.00,0.00,0.00,2095.35,1820.95,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,12000.00,PE,0.00,0.00,0.00,1323.85,1599.45,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,12000.00,CE,0.00,0.00,0.00,147.50,13.00,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,11100.00,CE,0.00,0.00,0.00,251.10,168.45,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11800.00,CE,26.00,26.00,16.90,18.20,18.20,49750,8600,1556,10283.30
2024-01-01,MARUTI,2024-02-29,11800.00,PE,0.00,0.00,0.00,1166.55,1410.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9800.00,PE,0.00,0.00,0.00,218.80,148.15,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,9800.00,PE,151.00,151.00,151.00,151.00,107.45,500,250,6,10283.30
2024-01-01,MARUTI,2024-01-25,9300.00,PE,29.90,33.85,24.20,26.95,26.95,14050,1650,409,10283.30
2024-01-01,MARUTI,2024-03-28,9200.00,CE,0.00,0.00,0.00,1320.50,1272.10,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,9200.00,CE,0.00,0.00,0.00,1469.75,1126.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,10100.00,CE,0.00,0.00,0.00,678.25,588.65,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10300.00,PE,0.00,0.00,0.00,300.00,282.00,50,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10900.00,CE,0.00,0.00,0.00,472.50,144.60,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,8300.00,PE,0.00,0.00,0.00,12.15,0.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9400.00,PE,0.00,0.00,0.00,118.40,66.70,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9100.00,CE,0.00,0.00,0.00,1404.45,1361.25,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9100.00,PE,0.00,0.00,0.00,69.15,32.70,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11300.00,PE,0.00,0.00,0.00,949.10,975.40,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,11600.00,PE,0.00,0.00,0.00,1258.15,1207.95,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11200.00,PE,0.00,0.00,0.00,880.50,880.35,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,11200.00,PE,0.00,0.00,0.00,950.95,883.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,11200.00,PE,0.00,0.00,0.00,744.50,876.60,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,9400.00,PE,0.00,0.00,0.00,77.10,39.15,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,9500.00,CE,0.00,0.00,0.00,1370.80,937.90,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9500.00,CE,0.00,0.00,0.00,1082.00,1017.65,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9500.00,PE,0.00,0.00,0.00,139.50,82.70,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,9500.00,PE,45.80,55.50,38.65,42.30,42.30,131100,15950,2257,10283.30
2024-01-01,MARUTI,2024-02-29,9400.00,CE,0.00,0.00,0.00,1454.20,1024.45,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,9400.00,CE,0.00,0.00,0.00,975.00,931.35,200,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,8600.00,CE,0.00,0.00,0.00,1710.00,1721.40,100,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10100.00,PE,0.00,0.00,0.00,228.90,198.55,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,11300.00,CE,0.00,0.00,0.00,199.80,124.40,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10500.00,PE,0.00,0.00,0.00,700.00,384.40,250,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,9800.00,CE,667.45,667.45,626.50,635.50,635.50,7250,-50,3,10283.30
2024-01-01,MARUTI,2024-01-25,12200.00,CE,0.00,0.00,0.00,9.15,0.10,50,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10900.00,PE,0.00,0.00,0.00,568.55,643.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,11500.00,CE,0.00,0.00,0.00,156.70,90.25,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11500.00,PE,0.00,0.00,0.00,1104.15,1169.35,9750,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,11500.00,PE,0.00,0.00,0.00,1178.30,1123.45,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11500.00,CE,44.10,44.10,29.00,31.10,31.10,165000,12550,3196,10283.30
2024-01-01,MARUTI,2024-02-29,11500.00,PE,0.00,0.00,0.00,944.55,1135.00,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,10500.00,PE,361.00,399.00,331.60,349.05,349.05,50050,-350,937,10283.30
2024-01-01,MARUTI,2024-01-25,10500.00,CE,249.00,260.00,191.15,206.40,206.40,362950,34400,12070,10283.30
2024-01-01,MARUTI,2024-03-28,10500.00,PE,0.00,0.00,0.00,510.50,425.30,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10500.00,CE,388.75,395.70,340.00,350.15,350.15,41200,4000,204,10283.30
2024-01-01,MARUTI,2024-03-28,10500.00,CE,0.00,0.00,0.00,470.95,376.15,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,11000.00,CE,212.95,219.40,178.70,189.05,189.05,42950,5850,278,10283.30
2024-01-01,MARUTI,2024-03-28,11000.00,CE,0.00,0.00,0.00,280.75,194.75,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,11000.00,PE,0.00,0.00,0.00,624.40,717.60,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,12200.00,PE,0.00,0.00,0.00,1320.95,1862.75,150,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,12200.00,CE,0.00,0.00,0.00,115.85,7.65,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,10900.00,CE,0.00,0.00,0.00,313.05,224.10,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,10900.00,PE,621.25,645.75,621.25,645.75,609.15,4700,0,3,10283.30
2024-01-01,MARUTI,2024-01-25,8500.00,PE,0.00,0.00,0.00,19.75,0.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,8500.00,PE,0.00,0.00,0.00,10.85,1.45,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10200.00,PE,0.00,0.00,0.00,261.00,237.90,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,10200.00,PE,207.50,240.80,190.20,205.10,205.10,54850,8900,3179,10283.30
2024-01-01,MARUTI,2024-03-28,8700.00,CE,0.00,0.00,0.00,1758.05,1732.70,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,11800.00,CE,31.05,36.00,31.05,36.00,21.40,300,300,6,10283.30
2024-01-01,MARUTI,2024-03-28,9300.00,CE,0.00,0.00,0.00,1238.65,1184.95,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9300.00,PE,0.00,0.00,0.00,99.75,53.25,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,12300.00,PE,0.00,0.00,0.00,1744.60,1962.30,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,11400.00,PE,0.00,0.00,0.00,875.35,1046.65,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,9700.00,CE,0.00,0.00,0.00,936.00,861.30,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,11100.00,PE,0.00,0.00,0.00,683.05,795.60,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11100.00,PE,0.00,0.00,0.00,814.30,787.20,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,11100.00,CE,0.00,0.00,0.00,390.60,99.35,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,11100.00,CE,87.00,87.00,60.15,64.20,64.20,33450,9300,1012,10283.30
2024-01-01,MARUTI,2024-03-28,11100.00,PE,0.00,0.00,0.00,879.85,808.00,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,8800.00,CE,0.00,0.00,0.00,1667.35,1638.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,12100.00,PE,0.00,0.00,0.00,1405.40,1695.40,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,12100.00,CE,0.00,0.00,0.00,130.85,10.00,0,0,0,10283.30
2024-01-01,MARUTI,2024-02-29,10600.00,CE,0.00,0.00,0.00,617.40,240.95,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,10600.00,CE,0.00,0.00,0.00,427.00,332.70,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,10900.00,CE,120.00,125.10,88.15,95.20,95.20,32450,8400,1488,10283.30
2024-01-01,MARUTI,2024-03-28,11300.00,PE,0.00,0.00,0.00,1024.95,960.75,0,0,0,10283.30
2024-01-01,MARUTI,2024-03-28,11800.00,CE,0.00,0.00,0.00,107.05,54.05,0,0,0,10283.30
2024-01-01,MARUTI,2024-01-25,9200.00,PE,23.05,27.00,18.40,20.50,20.50,26550,4250,560,10283.30
