TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,NESTLEIND,2024-03-28,24800.00,CE,0.00,0.00,0.00,2290.00,3080.75,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-02-29,24800.00,CE,0.00,0.00,0.00,962.95,2901.10,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-03-28,24800.00,PE,0.00,0.00,0.00,394.05,112.80,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-02-29,24800.00,PE,0.00,0.00,0.00,1082.55,59.85,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-01-25,25700.00,PE,150.00,182.75,136.60,158.10,158.10,1840,1680,61,27372.15
2024-01-01,NESTLEIND,2024-01-25,25700.00,CE,1368.10,1819.50,1368.10,1819.45,1829.70,480,40,17,27372.15
2024-01-01,NESTLEIND,2024-03-28,25700.00,CE,0.00,0.00,0.00,1686.00,2331.15,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-01-25,27600.00,CE,0.00,0.00,0.00,119.95,467.60,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-02-29,28400.00,PE,0.00,0.00,0.00,3772.00,1231.70,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-02-29,27900.00,CE,0.00,0.00,0.00,164.55,707.35,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-03-28,25500.00,PE,0.00,0.00,0.00,602.30,211.25,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-01-25,27000.00,PE,662.45,666.95,392.15,413.70,413.70,73200,70200,3292,27372.15
2024-01-01,NESTLEIND,2024-02-29,27000.00,PE,0.00,0.00,0.00,2573.10,512.65,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-03-28,27000.00,PE,0.00,0.00,0.00,1271.70,621.75,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-01-25,21700.00,CE,0.00,0.00,0.00,2461.15,5768.25,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-01-25,22300.00,CE,0.00,0.00,0.00,2006.85,5170.90,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-03-28,24500.00,CE,0.00,0.00,0.00,2512.20,3347.00,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-01-25,24500.00,CE,2671.00,2700.00,2671.00,2700.00,2983.70,520,0,2,27372.15
2024-01-01,NESTLEIND,2024-01-25,28600.00,PE,0.00,0.00,0.00,4602.50,1251.55,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-02-29,28600.00,CE,0.00,0.00,0.00,101.50,446.25,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-01-25,22500.00,PE,0.00,0.00,0.00,418.05,0.05,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-01-25,23500.00,CE,0.00,0.00,0.00,1245.95,3976.35,0,0,0,27372.15
2024-01-01,NESTLEIND,2024-03-28,27300.00,CE,0.00,0.00,0.00,883.10,1251.15,0,0,0,27372.15
