TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,ONGC,2024-02-29,240.00,CE,3.00,3.00,2.70,2.70,2.70,200200,200200,52,205.35
2024-01-01,ONGC,2024-01-25,214.00,CE,0.00,0.00,0.00,3.60,2.65,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,214.00,CE,0.00,0.00,0.00,6.60,6.05,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,214.00,PE,0.00,0.00,0.00,21.80,12.40,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,214.00,PE,0.00,0.00,0.00,23.70,10.35,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,227.00,CE,0.00,0.00,0.00,1.65,0.55,0,0,0,205.35
2024-01-01,ONGC,2024-03-28,230.00,PE,0.00,0.00,0.00,24.10,24.65,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,230.00,CE,2.30,2.45,1.70,1.85,1.85,3068450,288750,531,205.35
2024-01-01,ONGC,2024-02-29,202.00,PE,0.00,0.00,0.00,14.20,6.15,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,202.00,PE,5.75,5.75,4.70,4.70,3.65,146300,11550,24,205.35
2024-01-01,ONGC,2024-03-28,220.00,CE,0.00,0.00,0.00,9.75,6.25,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,220.00,PE,0.00,0.00,0.00,26.15,16.45,0,0,0,205.35
2024-01-01,ONGC,2024-03-28,220.00,PE,0.00,0.00,0.00,17.50,17.35,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,217.00,PE,0.00,0.00,0.00,26.05,12.60,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,187.00,PE,0.00,0.00,0.00,7.15,0.45,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,187.00,CE,0.00,0.00,0.00,18.45,22.20,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,192.25,PE,0.00,0.00,0.00,20.00,1.05,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,217.50,PE,0.00,0.00,0.00,12.05,13.00,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,208.00,PE,8.90,8.90,7.50,8.15,8.15,273350,61600,68,205.35
2024-01-01,ONGC,2024-02-29,208.00,CE,0.00,0.00,0.00,8.50,8.55,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,189.25,CE,0.00,0.00,0.00,7.35,17.60,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,180.00,CE,0.00,0.00,0.00,30.00,26.25,7700,0,0,205.35
2024-01-01,ONGC,2024-01-25,220.00,PE,15.80,15.80,15.60,15.70,15.00,200200,0,3,205.35
2024-01-01,ONGC,2024-01-25,173.25,CE,0.00,0.00,0.00,14.15,32.90,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,225.00,CE,0.00,0.00,0.00,4.00,3.00,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,225.00,PE,0.00,0.00,0.00,21.00,19.35,7700,0,0,205.35
2024-01-01,ONGC,2024-03-28,200.00,CE,0.00,0.00,0.00,19.45,15.20,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,200.00,PE,0.00,0.00,0.00,13.10,5.35,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,218.00,CE,0.00,0.00,0.00,5.55,4.75,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,194.00,CE,0.00,0.00,0.00,10.10,13.55,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,197.50,CE,0.00,0.00,0.00,18.45,14.45,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,222.50,CE,0.00,0.00,0.00,6.35,3.55,0,0,0,205.35
2024-01-01,ONGC,2024-02-29,181.00,CE,0.00,0.00,0.00,22.30,27.30,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,181.00,PE,0.00,0.00,0.00,4.90,0.15,0,0,0,205.35
2024-01-01,ONGC,2024-01-25,178.00,CE,0.00,0.00,0.00,19.50,28.20,0,0,0,205.35
