TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,PIDILITIND,2024-01-25,2980.00,CE,0.00,0.00,0.00,2.00,1.70,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2980.00,PE,0.00,0.00,0.00,633.55,271.05,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2500.00,CE,225.05,225.05,224.00,225.00,225.00,5750,250,4,2697.50
2024-01-01,PIDILITIND,2024-01-25,2120.00,CE,0.00,0.00,0.00,241.70,586.90,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2300.00,CE,0.00,0.00,0.00,317.00,423.60,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-03-28,2300.00,PE,0.00,0.00,0.00,8.25,3.35,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2100.00,PE,0.00,0.00,0.00,24.50,0.05,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-03-28,2960.00,PE,0.00,0.00,0.00,255.45,248.35,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2960.00,PE,0.00,0.00,0.00,614.20,251.80,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-03-28,2760.00,PE,0.00,0.00,0.00,129.80,114.10,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2760.00,CE,0.00,0.00,0.00,62.60,71.10,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2540.00,CE,0.00,0.00,0.00,152.20,206.30,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-03-28,3100.00,PE,0.00,0.00,0.00,365.55,366.55,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2700.00,CE,0.00,0.00,0.00,81.45,99.50,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-03-28,2700.00,CE,0.00,0.00,0.00,157.80,125.05,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2160.00,PE,0.00,0.00,0.00,7.60,0.10,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2160.00,CE,0.00,0.00,0.00,438.60,561.05,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2300.00,PE,0.00,0.00,0.00,3.00,0.05,1000,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2480.00,PE,0.00,0.00,0.00,193.75,2.20,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2260.00,PE,0.00,0.00,0.00,17.45,0.60,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2260.00,PE,0.00,0.00,0.00,71.05,0.05,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2240.00,PE,0.00,0.00,0.00,14.95,0.45,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2960.00,PE,0.00,0.00,0.00,378.05,248.15,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2960.00,CE,14.60,14.60,12.90,12.90,2.40,1000,0,2,2697.50
2024-01-01,PIDILITIND,2024-02-29,2180.00,PE,0.00,0.00,0.00,9.05,0.15,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2640.00,PE,0.00,0.00,0.00,144.65,48.30,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2140.00,PE,0.00,0.00,0.00,33.00,0.05,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2920.00,PE,0.00,0.00,0.00,344.20,215.05,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-02-29,2180.00,CE,0.00,0.00,0.00,420.45,541.30,0,0,0,2697.50
2024-01-01,PIDILITIND,2024-01-25,2740.00,PE,73.35,81.15,70.95,81.15,71.60,6000,-250,34,2697.50
