TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,PNB,2024-02-29,89.00,CE,0.00,0.00,0.00,3.30,11.65,0,0,0,97.80
2024-01-01,PNB,2024-01-25,89.00,PE,1.75,1.80,1.15,1.35,1.35,1120000,8000,108,97.80
2024-01-01,PNB,2024-03-28,107.00,CE,0.00,0.00,0.00,4.75,4.10,0,0,0,97.80
2024-01-01,PNB,2024-03-28,107.00,PE,0.00,0.00,0.00,14.30,11.60,0,0,0,97.80
2024-01-01,PNB,2024-01-25,107.00,CE,2.00,2.70,1.95,2.30,2.30,800000,536000,426,97.80
2024-01-01,PNB,2024-02-29,107.00,CE,0.00,0.00,0.00,0.75,2.80,0,0,0,97.80
2024-01-01,PNB,2024-02-29,107.00,PE,0.00,0.00,0.00,28.25,10.85,0,0,0,97.80
2024-01-01,PNB,2024-01-25,83.00,PE,0.65,0.65,0.40,0.50,0.50,832000,8000,45,97.80
2024-01-01,PNB,2024-02-29,83.00,PE,0.00,0.00,0.00,2.00,0.75,32000,0,0,97.80
2024-01-01,PNB,2024-03-28,83.00,CE,0.00,0.00,0.00,16.65,17.45,0,0,0,97.80
2024-01-01,PNB,2024-02-29,91.00,CE,0.00,0.00,0.00,2.85,10.25,0,0,0,97.80
2024-01-01,PNB,2024-01-25,91.00,CE,8.60,10.40,8.60,9.20,9.20,552000,-72000,19,97.80
2024-01-01,PNB,2024-01-25,91.00,PE,2.40,2.40,1.60,1.85,1.85,1760000,120000,192,97.80
2024-01-01,PNB,2024-01-25,102.00,PE,6.75,7.30,6.60,6.90,6.90,352000,24000,14,97.80
2024-01-01,PNB,2024-03-28,102.00,CE,0.00,0.00,0.00,6.35,5.85,0,0,0,97.80
2024-01-01,PNB,2024-01-25,87.00,CE,11.65,13.45,11.65,12.50,12.50,216000,0,7,97.80
2024-01-01,PNB,2024-02-29,67.00,CE,0.00,0.00,0.00,13.85,31.55,0,0,0,97.80
2024-01-01,PNB,2024-01-25,63.00,CE,0.00,0.00,0.00,29.00,35.10,16000,0,0,97.80
2024-01-01,PNB,2024-01-25,78.00,CE,0.00,0.00,0.00,3.70,20.15,0,0,0,97.80
2024-01-01,PNB,2024-02-29,96.00,PE,0.00,0.00,0.00,18.60,4.35,0,0,0,97.80
2024-01-01,PNB,2024-03-28,106.00,CE,0.00,0.00,0.00,5.05,4.40,0,0,0,97.80
2024-01-01,PNB,2024-02-29,101.00,CE,0.00,0.00,0.00,1.25,4.80,0,0,0,97.80
2024-01-01,PNB,2024-01-25,95.00,PE,4.20,4.20,2.85,3.30,3.30,8640000,1552000,1300,97.80
2024-01-01,PNB,2024-01-25,95.00,CE,5.90,7.80,5.75,6.75,6.75,10320000,-2136000,2022,97.80
2024-01-01,PNB,2024-02-29,95.00,CE,9.50,10.60,9.15,10.60,7.75,152000,72000,15,97.80
2024-01-01,PNB,2024-03-28,95.00,CE,0.00,0.00,0.00,9.35,9.20,0,0,0,97.80
2024-01-01,PNB,2024-03-28,95.00,PE,0.00,0.00,0.00,7.15,4.85,0,0,0,97.80
2024-01-01,PNB,2024-02-29,81.00,PE,0.60,1.25,0.60,1.25,0.55,120000,72000,17,97.80
2024-01-01,PNB,2024-01-25,81.00,CE,0.00,0.00,0.00,15.00,17.20,16000,0,0,97.80
2024-01-01,PNB,2024-02-29,81.00,CE,0.00,0.00,0.00,5.90,18.20,0,0,0,97.80
2024-01-01,PNB,2024-03-28,90.00,CE,0.00,0.00,0.00,12.05,12.25,0,0,0,97.80
2024-01-01,PNB,2024-02-29,90.00,CE,0.00,0.00,0.00,3.05,10.95,0,0,0,97.80
2024-01-01,PNB,2024-01-25,74.00,CE,0.00,0.00,0.00,13.60,24.15,16000,0,0,97.80
2024-01-01,PNB,2024-01-25,92.00,PE,2.85,2.85,1.85,2.15,2.15,2208000,152000,456,97.80
2024-01-01,PNB,2024-01-25,77.00,PE,0.25,0.30,0.15,0.15,0.15,536000,288000,104,97.80
2024-01-01,PNB,2024-01-25,82.00,CE,0.00,0.00,0.00,2.70,16.25,0,0,0,97.80
2024-01-01,PNB,2024-02-29,82.00,PE,0.00,0.00,0.00,2.00,0.65,56000,0,0,97.80
2024-01-01,PNB,2024-01-25,94.00,CE,6.30,8.35,6.30,7.20,7.20,1384000,-176000,281,97.80
