TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,POWERGRID,2024-01-25,180.00,CE,0.00,0.00,0.00,25.25,59.05,0,0,0,238.25
2024-01-01,POWERGRID,2024-03-28,220.00,PE,0.00,0.00,0.00,4.45,2.70,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,202.50,PE,0.00,0.00,0.00,0.35,0.05,28800,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,257.50,CE,3.30,3.35,2.70,2.90,2.90,79200,10800,27,238.25
2024-01-01,POWERGRID,2024-03-28,257.50,PE,0.00,0.00,0.00,21.80,20.10,0,0,0,238.25
2024-01-01,POWERGRID,2024-02-29,217.50,CE,0.00,0.00,0.00,9.35,24.50,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,217.50,CE,0.00,0.00,0.00,21.00,22.00,7200,0,0,238.25
2024-01-01,POWERGRID,2024-03-28,212.50,CE,0.00,0.00,0.00,33.25,30.60,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,235.00,CE,10.25,11.45,9.55,10.20,10.20,1468800,-25200,373,238.25
2024-01-01,POWERGRID,2024-02-29,220.00,CE,0.00,0.00,0.00,8.40,22.40,0,0,0,238.25
2024-01-01,POWERGRID,2024-02-29,225.00,PE,0.00,0.00,0.00,18.70,2.80,0,0,0,238.25
2024-01-01,POWERGRID,2024-03-28,225.00,CE,0.00,0.00,0.00,24.00,20.70,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,255.00,CE,3.40,3.80,2.95,3.15,3.15,1767600,813600,584,238.25
2024-01-01,POWERGRID,2024-02-29,200.00,CE,0.00,0.00,0.00,18.45,40.55,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,197.50,PE,0.00,0.00,0.00,8.90,0.05,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,257.50,PE,20.95,21.35,19.35,19.60,18.85,10800,3600,10,238.25
2024-01-01,POWERGRID,2024-03-28,257.50,CE,0.00,0.00,0.00,8.00,4.95,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,245.00,PE,11.60,11.70,9.95,11.25,11.25,208800,111600,69,238.25
2024-01-01,POWERGRID,2024-01-25,202.50,CE,0.00,0.00,0.00,11.40,36.65,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,277.50,CE,1.10,1.15,0.95,1.00,1.00,306000,57600,92,238.25
2024-01-01,POWERGRID,2024-02-29,277.50,CE,0.00,0.00,0.00,0.35,0.60,0,0,0,238.25
2024-01-01,POWERGRID,2024-03-28,260.00,CE,0.00,0.00,0.00,7.25,4.30,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,260.00,CE,2.80,2.90,2.25,2.50,2.50,2300400,-241200,784,238.25
2024-01-01,POWERGRID,2024-02-29,260.00,PE,26.50,26.50,26.50,26.50,21.45,3600,3600,1,238.25
2024-01-01,POWERGRID,2024-01-25,187.50,PE,0.00,0.00,0.00,5.10,0.05,0,0,0,238.25
2024-01-01,POWERGRID,2024-03-28,272.50,CE,0.00,0.00,0.00,4.30,2.05,0,0,0,238.25
2024-01-01,POWERGRID,2024-02-29,272.50,CE,0.00,0.00,0.00,0.45,0.95,0,0,0,238.25
2024-01-01,POWERGRID,2024-03-28,272.50,PE,0.00,0.00,0.00,32.80,31.95,0,0,0,238.25
2024-01-01,POWERGRID,2024-01-25,197.50,CE,0.00,0.00,0.00,13.90,41.65,0,0,0,238.25
