TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,SBILIFE,2024-02-29,1650.00,PE,0.00,0.00,0.00,206.05,204.30,0,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1200.00,CE,0.00,0.00,0.00,262.45,245.80,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1130.00,PE,0.00,0.00,0.00,8.65,0.05,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1150.00,CE,0.00,0.00,0.00,187.45,287.15,0,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1620.00,PE,0.00,0.00,0.00,182.00,176.95,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1170.00,CE,0.00,0.00,0.00,171.15,267.25,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1520.00,CE,0.00,0.00,0.00,15.50,7.30,750,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1520.00,CE,0.00,0.00,0.00,52.10,36.20,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1200.00,CE,0.00,0.00,0.00,211.00,237.40,1500,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1200.00,PE,0.00,0.00,0.00,5.70,0.75,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1440.00,PE,40.20,40.20,34.75,36.15,36.15,12750,3000,25,1432.05
2024-01-01,SBILIFE,2024-02-29,1470.00,PE,0.00,0.00,0.00,81.90,62.90,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1240.00,PE,0.00,0.00,0.00,9.10,4.35,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1270.00,PE,0.00,0.00,0.00,42.55,0.40,0,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1680.00,CE,0.00,0.00,0.00,16.40,2.65,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1550.00,CE,8.80,9.25,7.55,8.70,8.70,60000,1500,48,1432.05
2024-01-01,SBILIFE,2024-03-28,1550.00,PE,0.00,0.00,0.00,129.15,120.80,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1530.00,CE,0.00,0.00,0.00,13.95,5.85,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1100.00,CE,0.00,0.00,0.00,230.75,336.90,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1200.00,PE,0.00,0.00,0.00,21.00,0.05,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1170.00,PE,0.00,0.00,0.00,14.70,0.05,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1650.00,CE,0.00,0.00,0.00,2.50,0.20,1500,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1650.00,PE,0.00,0.00,0.00,319.30,210.85,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1520.00,PE,0.00,0.00,0.00,202.60,88.55,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1240.00,CE,0.00,0.00,0.00,119.70,197.65,0,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1270.00,CE,0.00,0.00,0.00,202.05,179.55,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1360.00,CE,0.00,0.00,0.00,133.65,117.85,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1300.00,PE,0.00,0.00,0.00,18.60,11.15,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1620.00,CE,0.00,0.00,0.00,25.15,13.75,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1620.00,CE,0.00,0.00,0.00,5.85,0.55,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1620.00,PE,0.00,0.00,0.00,291.35,181.35,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1610.00,PE,0.00,0.00,0.00,172.90,167.50,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1280.00,CE,0.00,0.00,0.00,94.90,158.25,0,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1540.00,PE,0.00,0.00,0.00,123.90,110.15,0,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1640.00,CE,0.00,0.00,0.00,22.55,4.95,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1640.00,CE,0.00,0.00,0.00,4.75,0.30,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1300.00,PE,3.30,3.50,2.55,2.80,2.80,83250,5250,84,1432.05
2024-01-01,SBILIFE,2024-01-25,1420.00,CE,52.80,54.10,47.35,51.40,51.40,60000,-1500,55,1432.05
2024-01-01,SBILIFE,2024-02-29,1420.00,PE,0.00,0.00,0.00,61.00,37.75,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1420.00,CE,0.00,0.00,0.00,97.00,79.80,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1220.00,CE,0.00,0.00,0.00,133.50,217.50,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1540.00,PE,0.00,0.00,0.00,219.70,105.80,0,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1430.00,CE,0.00,0.00,0.00,92.95,59.70,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1430.00,CE,47.75,49.00,41.60,45.25,45.25,48750,1500,37,1432.05
2024-01-01,SBILIFE,2024-01-25,1310.00,PE,0.00,0.00,0.00,59.70,1.60,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1310.00,CE,0.00,0.00,0.00,169.60,155.75,0,0,0,1432.05
2024-01-01,SBILIFE,2024-02-29,1310.00,PE,0.00,0.00,0.00,21.75,7.90,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1370.00,PE,0.00,0.00,0.00,37.10,27.00,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1400.00,CE,0.00,0.00,0.00,108.40,91.50,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1470.00,CE,0.00,0.00,0.00,30.50,19.40,7500,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1470.00,PE,0.00,0.00,0.00,161.95,50.85,0,0,0,1432.05
2024-01-01,SBILIFE,2024-03-28,1320.00,CE,0.00,0.00,0.00,162.05,147.80,0,0,0,1432.05
2024-01-01,SBILIFE,2024-01-25,1510.00,CE,0.00,0.00,0.00,16.75,9.05,0,0,0,1432.05
