TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,SHREECEM,2024-02-29,33000.00,CE,0.00,0.00,0.00,197.00,105.45,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,33000.00,PE,0.00,0.00,0.00,4279.95,4248.10,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,33000.00,PE,0.00,0.00,0.00,5864.10,4285.75,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,33000.00,CE,0.00,0.00,0.00,105.45,6.55,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,21750.00,CE,0.00,0.00,0.00,4294.80,6807.90,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,27000.00,PE,0.00,0.00,0.00,1455.85,411.40,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,24500.00,CE,0.00,0.00,0.00,4758.70,4463.55,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,21750.00,PE,0.00,0.00,0.00,225.70,0.05,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,23500.00,PE,0.00,0.00,0.00,590.75,0.35,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,22500.00,CE,0.00,0.00,0.00,4810.85,6210.15,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,27750.00,CE,0.00,0.00,0.00,2377.20,1967.20,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,27750.00,CE,0.00,0.00,0.00,1345.10,1662.55,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,22250.00,PE,0.00,0.00,0.00,305.05,0.05,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,32250.00,PE,0.00,0.00,0.00,3689.00,3613.60,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,26750.00,PE,0.00,0.00,0.00,1334.70,348.05,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,26750.00,PE,0.00,0.00,0.00,683.20,489.95,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,26000.00,PE,0.00,0.00,0.00,484.80,316.50,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,26000.00,CE,0.00,0.00,0.00,2900.00,2622.30,25,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,26000.00,PE,0.00,0.00,0.00,1008.10,200.55,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,25750.00,PE,0.00,0.00,0.00,428.70,270.30,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,25750.00,CE,0.00,0.00,0.00,3743.35,3392.85,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,24250.00,CE,0.00,0.00,0.00,2442.50,4320.95,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,30750.00,CE,0.00,0.00,0.00,277.00,107.20,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,27500.00,PE,0.00,0.00,0.00,295.55,278.70,525,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,29500.00,CE,0.00,0.00,0.00,1485.05,1085.55,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,29500.00,CE,582.05,582.05,462.60,466.90,466.90,300,25,7,28461.60
2024-01-01,SHREECEM,2024-02-29,29000.00,PE,0.00,0.00,0.00,2638.60,1221.10,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,29000.00,CE,0.00,0.00,0.00,1710.65,1301.45,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,29000.00,CE,0.00,0.00,0.00,899.80,997.40,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,26000.00,PE,70.00,87.70,70.00,87.65,87.65,650,600,28,28461.60
2024-01-01,SHREECEM,2024-02-29,24000.00,PE,0.00,0.00,0.00,403.40,30.15,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,28500.00,PE,0.00,0.00,0.00,2309.25,965.95,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,27250.00,CE,0.00,0.00,0.00,1563.15,1989.90,0,0,0,28461.60
2024-01-01,SHREECEM,2024-01-25,32750.00,PE,0.00,0.00,0.00,6852.90,4152.70,0,0,0,28461.60
2024-01-01,SHREECEM,2024-03-28,32750.00,CE,0.00,0.00,0.00,519.60,267.35,0,0,0,28461.60
2024-01-01,SHREECEM,2024-02-29,32750.00,CE,0.00,0.00,0.00,218.75,124.65,0,0,0,28461.60
