TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,SHRIRAMFIN,2024-03-28,2080.00,PE,0.00,0.00,0.00,160.95,131.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1740.00,PE,0.00,0.00,0.00,37.30,20.65,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1660.00,PE,0.00,0.00,0.00,68.45,0.30,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1760.00,PE,0.00,0.00,0.00,48.45,13.65,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1760.00,CE,0.00,0.00,0.00,177.15,298.65,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1920.00,PE,0.00,0.00,0.00,100.90,46.90,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1920.00,CE,0.00,0.00,0.00,222.50,196.50,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1920.00,CE,0.00,0.00,0.00,173.40,157.10,600,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2200.00,PE,0.00,0.00,0.00,252.90,187.55,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2200.00,CE,0.00,0.00,0.00,99.50,60.20,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2380.00,PE,0.00,0.00,0.00,557.95,324.10,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1980.00,CE,116.65,116.65,116.65,116.65,114.00,1500,300,1,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1980.00,PE,0.00,0.00,0.00,127.15,67.70,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2180.00,PE,0.00,0.00,0.00,239.65,174.00,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2180.00,CE,0.00,0.00,0.00,105.90,66.40,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2180.00,PE,0.00,0.00,0.00,384.45,148.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2060.00,PE,66.60,68.10,59.75,65.35,65.35,18000,5100,94,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1740.00,CE,0.00,0.00,0.00,374.25,357.15,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2280.00,PE,0.00,0.00,0.00,308.85,246.30,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2280.00,CE,0.00,0.00,0.00,76.85,39.80,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2120.00,PE,0.00,0.00,0.00,182.75,153.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2300.00,PE,0.00,0.00,0.00,298.10,272.20,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2400.00,PE,0.00,0.00,0.00,401.00,345.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2040.00,PE,56.90,57.90,50.00,54.70,54.70,10800,-3900,81,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2040.00,CE,91.65,91.65,72.65,76.95,76.95,10500,2700,64,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2040.00,CE,0.00,0.00,0.00,182.95,152.95,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1880.00,PE,0.00,0.00,0.00,85.40,35.75,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1640.00,PE,0.00,0.00,0.00,61.80,0.20,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2280.00,PE,0.00,0.00,0.00,284.00,257.45,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2220.00,CE,24.20,24.20,15.85,18.45,18.45,10800,6900,68,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1800.00,CE,0.00,0.00,0.00,298.70,287.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2100.00,PE,0.00,0.00,0.00,171.65,142.25,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1740.00,CE,0.00,0.00,0.00,187.95,317.95,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2140.00,PE,0.00,0.00,0.00,214.25,148.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1960.00,PE,0.00,0.00,0.00,118.00,60.20,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2380.00,CE,5.00,5.00,5.00,5.00,3.40,300,300,1,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1940.00,CE,0.00,0.00,0.00,237.10,209.85,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1720.00,PE,0.00,0.00,0.00,33.30,17.80,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2260.00,CE,0.00,0.00,0.00,96.50,67.90,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2240.00,CE,0.00,0.00,0.00,87.60,49.15,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2300.00,PE,0.00,0.00,0.00,486.55,249.40,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2100.00,CE,0.00,0.00,0.00,155.10,124.50,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2180.00,CE,0.00,0.00,0.00,123.05,92.90,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2180.00,CE,0.00,0.00,0.00,40.90,26.75,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2080.00,CE,65.55,65.55,54.45,57.55,57.55,16500,5100,87,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2020.00,CE,0.00,0.00,0.00,193.00,163.40,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2020.00,CE,0.00,0.00,0.00,170.00,135.10,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1800.00,PE,0.00,0.00,0.00,59.25,19.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1780.00,PE,0.00,0.00,0.00,117.50,2.95,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2060.00,CE,75.05,75.05,62.90,67.35,67.35,33900,15600,215,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2000.00,PE,0.00,0.00,0.00,121.85,93.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1960.00,CE,129.60,129.60,129.60,129.60,127.55,1200,300,1,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1540.00,CE,0.00,0.00,0.00,320.15,515.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1540.00,PE,0.00,0.00,0.00,35.10,0.05,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2340.00,PE,0.00,0.00,0.00,353.90,294.45,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2340.00,PE,0.00,0.00,0.00,327.20,302.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2240.00,CE,0.00,0.00,0.00,18.55,15.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1920.00,PE,17.00,17.20,15.00,16.70,16.70,10200,3900,62,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1860.00,PE,0.00,0.00,0.00,78.25,30.95,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1960.00,PE,0.00,0.00,0.00,104.60,77.50,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1760.00,PE,0.00,0.00,0.00,41.60,23.80,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2280.00,PE,0.00,0.00,0.00,469.10,231.45,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2280.00,CE,0.00,0.00,0.00,27.30,10.30,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2060.00,CE,0.00,0.00,0.00,151.75,114.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2340.00,CE,0.00,0.00,0.00,21.25,5.40,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2340.00,PE,0.00,0.00,0.00,522.00,286.25,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2400.00,CE,4.00,4.20,3.00,3.70,3.70,29100,20100,124,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1940.00,CE,0.00,0.00,0.00,99.30,141.95,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1980.00,PE,0.00,0.00,0.00,113.00,85.30,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2040.00,PE,0.00,0.00,0.00,140.60,111.65,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2260.00,PE,0.00,0.00,0.00,451.80,213.85,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2260.00,CE,0.00,0.00,0.00,82.10,44.25,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1560.00,PE,0.00,0.00,0.00,39.65,0.05,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1560.00,CE,0.00,0.00,0.00,305.05,495.70,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2360.00,CE,0.00,0.00,0.00,58.90,25.50,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2080.00,PE,0.00,0.00,0.00,178.75,113.85,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1740.00,PE,0.00,0.00,0.00,99.35,1.50,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1740.00,PE,0.00,0.00,0.00,43.50,11.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1740.00,CE,0.00,0.00,0.00,341.85,339.00,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1880.00,CE,0.00,0.00,0.00,121.50,189.50,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1880.00,CE,0.00,0.00,0.00,274.30,249.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1880.00,CE,0.00,0.00,0.00,246.25,224.90,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2220.00,CE,0.00,0.00,0.00,109.15,79.65,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1900.00,CE,0.00,0.00,0.00,234.15,210.45,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1900.00,CE,0.00,0.00,0.00,261.50,235.90,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2080.00,CE,0.00,0.00,0.00,164.00,133.55,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2220.00,CE,0.00,0.00,0.00,93.40,54.45,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2220.00,PE,0.00,0.00,0.00,417.75,180.00,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2220.00,PE,0.00,0.00,0.00,243.55,215.45,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2220.00,PE,0.00,0.00,0.00,266.40,201.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1780.00,PE,0.00,0.00,0.00,46.25,27.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2060.00,CE,0.00,0.00,0.00,173.30,143.00,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2120.00,CE,0.00,0.00,0.00,127.25,88.10,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2100.00,PE,0.00,0.00,0.00,190.25,124.80,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2140.00,PE,0.00,0.00,0.00,352.10,119.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2280.00,CE,0.00,0.00,0.00,90.65,62.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2320.00,PE,0.00,0.00,0.00,504.20,267.70,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1840.00,CE,0.00,0.00,0.00,271.65,255.35,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1840.00,CE,0.00,0.00,0.00,138.35,224.25,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2200.00,PE,0.00,0.00,0.00,230.70,202.20,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,2160.00,PE,0.00,0.00,0.00,226.80,160.95,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1820.00,PE,0.00,0.00,0.00,65.20,22.75,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1600.00,PE,0.00,0.00,0.00,1.00,0.05,2700,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2380.00,CE,0.00,0.00,0.00,65.80,40.95,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2360.00,PE,0.00,0.00,0.00,342.15,318.25,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1600.00,CE,0.00,0.00,0.00,459.00,455.90,8100,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2260.00,CE,0.00,0.00,0.00,29.65,12.60,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-02-29,1860.00,CE,0.00,0.00,0.00,258.75,239.90,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,1960.00,CE,0.00,0.00,0.00,225.50,197.50,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1960.00,PE,26.95,27.15,23.50,25.50,25.50,11700,3600,95,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2020.00,PE,0.00,0.00,0.00,131.05,102.40,0,0,0,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,2020.00,PE,47.75,48.75,42.20,45.95,45.95,24300,0,22,2048.75
2024-01-01,SHRIRAMFIN,2024-01-25,1700.00,PE,3.90,4.60,1.50,1.80,1.80,4200,1200,268,2048.75
2024-01-01,SHRIRAMFIN,2024-03-28,2260.00,PE,0.00,0.00,0.00,270.20,243.10,0,0,0,2048.75
