TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2025-01-31,SOLARINDS,2025-03-27,10100.00,CE,0.00,0.00,0.00,776.90,718.90,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-04-24,11200.00,CE,0.00,0.00,0.00,548.80,445.40,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-02-27,11200.00,CE,0.00,0.00,0.00,173.35,129.85,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,11200.00,PE,0.00,0.00,0.00,1386.05,1189.60,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-04-24,11200.00,PE,0.00,0.00,0.00,1498.80,1280.15,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,11200.00,CE,0.00,0.00,0.00,374.30,297.60,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,11400.00,CE,0.00,0.00,0.00,324.40,248.60,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-02-27,11400.00,CE,0.00,0.00,0.00,137.25,96.65,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,10500.00,CE,0.00,0.00,0.00,603.80,533.00,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,10200.00,CE,0.00,0.00,0.00,730.55,668.70,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,10900.00,CE,0.00,0.00,0.00,462.00,385.50,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-04-24,9600.00,CE,0.00,0.00,0.00,1225.30,1164.10,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,11000.00,PE,0.00,0.00,0.00,1245.05,1048.20,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-04-24,10400.00,PE,0.00,0.00,0.00,998.25,788.55,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,10400.00,PE,0.00,0.00,0.00,864.65,675.85,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-03-27,10400.00,CE,0.00,0.00,0.00,644.00,575.75,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-02-27,10400.00,PE,0.00,0.00,0.00,683.20,520.00,0,0,0,10194.65
2025-01-31,SOLARINDS,2025-04-24,9400.00,PE,0.00,0.00,0.00,520.30,352.65,0,0,0,10194.65
