TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,SUNPHARMA,2024-01-25,1020.00,PE,0.00,0.00,0.00,0.05,0.05,700,0,0,1260.25
2024-01-01,SUNPHARMA,2024-03-28,1200.00,CE,0.00,0.00,0.00,105.35,94.15,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-02-29,1060.00,PE,0.00,0.00,0.00,4.10,0.15,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,1020.00,CE,0.00,0.00,0.00,228.00,244.75,2800,0,0,1260.25
2024-01-01,SUNPHARMA,2024-03-28,1170.00,PE,0.00,0.00,0.00,14.35,8.70,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-03-28,1170.00,CE,0.00,0.00,0.00,127.55,117.60,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-02-29,1170.00,CE,0.00,0.00,0.00,100.00,108.30,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,990.00,PE,0.00,0.00,0.00,7.90,0.05,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-03-28,1200.00,PE,0.00,0.00,0.00,21.65,14.75,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,1170.00,CE,0.00,0.00,0.00,31.55,96.50,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,1430.00,CE,1.55,1.70,1.30,1.50,1.50,58100,17500,47,1260.25
2024-01-01,SUNPHARMA,2024-02-29,1360.00,PE,0.00,0.00,0.00,128.05,94.75,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,1360.00,PE,93.85,93.85,93.85,93.85,95.40,700,700,1,1260.25
2024-01-01,SUNPHARMA,2024-01-25,1420.00,PE,0.00,0.00,0.00,292.05,153.60,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-03-28,1420.00,PE,0.00,0.00,0.00,146.65,144.30,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-02-29,1420.00,CE,0.00,0.00,0.00,9.10,3.00,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-02-29,1080.00,PE,0.00,0.00,0.00,5.90,0.35,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,1070.00,CE,0.00,0.00,0.00,79.70,195.00,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-03-28,1340.00,CE,0.00,0.00,0.00,33.50,22.45,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,990.00,CE,0.00,0.00,0.00,139.25,274.65,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,1250.00,CE,40.60,41.40,34.80,38.55,38.55,226100,-8400,380,1260.25
2024-01-01,SUNPHARMA,2024-03-28,1310.00,PE,0.00,0.00,0.00,68.65,61.15,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-03-28,1310.00,CE,0.00,0.00,0.00,44.35,32.35,0,0,0,1260.25
2024-01-01,SUNPHARMA,2024-01-25,1310.00,CE,13.00,14.70,12.25,13.70,13.70,47600,9800,120,1260.25
