TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,TATACONSUM,2024-02-29,1020.00,PE,0.00,0.00,0.00,85.50,10.80,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-03-28,950.00,CE,0.00,0.00,0.00,120.70,149.15,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-02-29,950.00,CE,0.00,0.00,0.00,51.35,142.30,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-02-29,935.00,CE,0.00,0.00,0.00,59.10,156.40,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-02-29,935.00,PE,0.00,0.00,0.00,36.60,1.20,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-01-25,935.00,CE,0.00,0.00,0.00,30.75,149.30,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-01-25,1075.00,PE,27.55,28.80,21.30,24.35,24.35,46800,-15300,166,1080.10
2024-01-01,TATACONSUM,2024-03-28,1170.00,CE,0.00,0.00,0.00,16.40,19.05,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-02-29,1170.00,CE,0.00,0.00,0.00,3.25,11.35,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-02-29,1170.00,PE,0.00,0.00,0.00,211.55,88.55,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-01-25,1170.00,CE,7.20,7.85,6.25,6.60,6.60,29700,29700,63,1080.10
2024-01-01,TATACONSUM,2024-02-29,1040.00,CE,0.00,0.00,0.00,19.40,67.35,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-03-28,1040.00,CE,0.00,0.00,0.00,61.40,77.65,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-01-25,990.00,CE,103.00,103.00,103.00,103.00,95.55,20700,-900,1,1080.10
2024-01-01,TATACONSUM,2024-03-28,990.00,PE,0.00,0.00,0.00,22.70,9.00,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-01-25,990.00,PE,4.20,4.20,2.65,3.05,3.05,142200,-31500,182,1080.10
2024-01-01,TATACONSUM,2024-01-25,905.00,CE,0.00,0.00,0.00,42.45,179.10,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-03-28,1020.00,CE,0.00,0.00,0.00,72.55,91.65,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-01-25,1020.00,PE,8.20,8.90,5.65,6.75,6.75,360000,54000,323,1080.10
2024-01-01,TATACONSUM,2024-02-29,1020.00,CE,0.00,0.00,0.00,24.50,81.95,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-03-28,1200.00,CE,0.00,0.00,0.00,11.45,12.70,0,0,0,1080.10
2024-01-01,TATACONSUM,2024-01-25,1200.00,CE,4.00,5.00,3.45,4.10,4.10,193500,193500,425,1080.10
