TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,TATAPOWER,2024-02-29,322.50,PE,0.00,0.00,0.00,53.40,11.35,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,307.50,PE,3.60,4.15,3.25,3.95,3.95,108000,6750,25,330.30
2024-01-01,TATAPOWER,2024-01-25,367.50,PE,0.00,0.00,0.00,103.45,36.95,0,0,0,330.30
2024-01-01,TATAPOWER,2024-03-28,295.00,CE,0.00,0.00,0.00,48.65,45.35,0,0,0,330.30
2024-01-01,TATAPOWER,2024-02-29,257.50,PE,0.00,0.00,0.00,11.55,0.25,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,367.50,CE,4.80,5.25,4.00,4.05,4.05,114750,13500,37,330.30
2024-01-01,TATAPOWER,2024-01-25,372.50,PE,0.00,0.00,0.00,97.65,41.50,0,0,0,330.30
2024-01-01,TATAPOWER,2024-02-29,372.50,PE,0.00,0.00,0.00,98.75,42.90,0,0,0,330.30
2024-01-01,TATAPOWER,2024-03-28,350.00,CE,0.00,0.00,0.00,19.00,14.40,0,0,0,330.30
2024-01-01,TATAPOWER,2024-02-29,235.00,CE,0.00,0.00,0.00,41.85,97.90,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,220.00,CE,0.00,0.00,0.00,26.65,111.25,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,355.00,PE,27.20,27.20,25.60,25.60,26.25,121500,13500,8,330.30
2024-01-01,TATAPOWER,2024-02-29,317.50,CE,0.00,0.00,0.00,5.35,25.65,0,0,0,330.30
2024-01-01,TATAPOWER,2024-03-28,380.00,PE,0.00,0.00,0.00,53.60,50.05,0,0,0,330.30
2024-01-01,TATAPOWER,2024-03-28,310.00,PE,0.00,0.00,0.00,13.30,9.40,0,0,0,330.30
2024-01-01,TATAPOWER,2024-02-29,310.00,PE,0.00,0.00,0.00,43.30,6.95,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,200.00,PE,0.00,0.00,0.00,3.15,0.05,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,200.00,CE,0.00,0.00,0.00,41.15,131.20,0,0,0,330.30
2024-01-01,TATAPOWER,2024-03-28,325.00,CE,0.00,0.00,0.00,30.15,25.60,0,0,0,330.30
2024-01-01,TATAPOWER,2024-02-29,325.00,CE,0.00,0.00,0.00,4.25,21.25,0,0,0,330.30
2024-01-01,TATAPOWER,2024-02-29,347.50,CE,0.00,0.00,0.00,2.00,11.15,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,217.50,CE,0.00,0.00,0.00,28.25,113.75,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,245.00,CE,0.00,0.00,0.00,13.80,86.40,0,0,0,330.30
2024-01-01,TATAPOWER,2024-03-28,370.00,CE,0.00,0.00,0.00,12.70,8.50,0,0,0,330.30
2024-01-01,TATAPOWER,2024-03-28,285.00,CE,0.00,0.00,0.00,56.05,53.30,0,0,0,330.30
2024-01-01,TATAPOWER,2024-01-25,320.00,CE,22.35,24.35,19.50,20.55,20.55,2710125,91125,198,330.30
2024-01-01,TATAPOWER,2024-02-29,320.00,PE,12.65,14.05,12.45,13.75,13.75,50625,23625,10,330.30
2024-01-01,TATAPOWER,2024-01-25,385.00,CE,2.85,2.85,2.10,2.30,2.30,1620000,486000,677,330.30
