TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,TATASTEEL,2024-01-25,107.00,CE,0.00,0.00,0.00,17.35,33.30,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,116.00,PE,0.15,0.15,0.15,0.15,0.05,159500,-5500,18,139.85
2024-01-01,TATASTEEL,2024-01-25,157.00,PE,0.00,0.00,0.00,35.10,16.70,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,137.00,PE,3.40,3.75,2.85,3.20,3.20,1507000,33000,309,139.85
2024-01-01,TATASTEEL,2024-02-29,123.00,PE,0.00,0.00,0.00,5.20,0.70,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,143.00,PE,6.80,6.80,5.80,6.35,6.35,1012000,44000,42,139.85
2024-01-01,TATASTEEL,2024-03-28,143.00,PE,0.00,0.00,0.00,10.35,7.95,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,114.00,PE,0.15,0.15,0.05,0.10,0.10,423500,231000,50,139.85
2024-01-01,TATASTEEL,2024-02-29,142.00,CE,0.00,0.00,0.00,4.30,5.90,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,123.00,PE,0.00,0.00,0.00,2.55,1.25,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,143.00,CE,4.55,4.80,3.90,4.10,4.10,1991000,187000,489,139.85
2024-01-01,TATASTEEL,2024-02-29,143.00,PE,0.00,0.00,0.00,16.55,7.05,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,121.00,CE,0.00,0.00,0.00,8.85,19.45,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,121.00,CE,0.00,0.00,0.00,13.55,20.70,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,121.00,PE,0.00,0.00,0.00,2.10,1.00,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,151.00,PE,0.00,0.00,0.00,15.35,12.85,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,124.00,PE,0.60,0.60,0.45,0.45,0.45,968000,165000,111,139.85
2024-01-01,TATASTEEL,2024-03-28,124.00,CE,0.00,0.00,0.00,19.15,19.25,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,124.00,CE,0.00,0.00,0.00,10.00,16.55,16500,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,130.00,PE,0.00,0.00,0.00,4.50,2.75,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,126.00,CE,0.00,0.00,0.00,16.00,14.65,11000,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,134.00,CE,0.00,0.00,0.00,12.55,11.95,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,158.00,PE,0.00,0.00,0.00,28.70,17.80,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,123.00,PE,0.50,0.50,0.40,0.40,0.40,330000,16500,29,139.85
2024-01-01,TATASTEEL,2024-02-29,123.00,CE,0.00,0.00,0.00,12.30,18.90,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,131.00,CE,0.00,0.00,0.00,14.35,13.95,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,98.00,PE,0.00,0.00,0.00,0.95,0.05,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,98.00,CE,0.00,0.00,0.00,24.60,42.30,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,123.00,CE,19.00,19.00,18.80,18.80,17.50,5500,-5500,2,139.85
2024-01-01,TATASTEEL,2024-01-25,160.00,PE,20.00,20.00,19.30,19.95,19.95,27500,27500,5,139.85
2024-01-01,TATASTEEL,2024-03-28,135.00,PE,0.00,0.00,0.00,6.40,4.35,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,153.00,PE,0.00,0.00,0.00,16.75,14.30,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,113.00,CE,0.00,0.00,0.00,19.10,28.20,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,143.00,CE,0.00,0.00,0.00,8.10,7.10,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,149.00,PE,10.85,10.85,10.15,10.40,9.65,148500,5500,8,139.85
2024-01-01,TATASTEEL,2024-02-29,149.00,CE,0.00,0.00,0.00,2.70,3.25,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,144.00,PE,0.00,0.00,0.00,17.30,7.60,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,142.00,CE,0.00,0.00,0.00,8.50,7.55,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,142.00,CE,4.75,5.25,4.25,4.45,4.45,3828000,462000,827,139.85
2024-01-01,TATASTEEL,2024-01-25,146.00,CE,3.35,3.70,2.95,3.15,3.15,1133000,-302500,444,139.85
2024-01-01,TATASTEEL,2024-03-28,130.00,CE,0.00,0.00,0.00,15.00,14.65,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,130.00,PE,1.45,1.50,1.05,1.20,1.20,8217000,907500,1319,139.85
2024-01-01,TATASTEEL,2024-03-28,153.00,CE,0.00,0.00,0.00,4.65,3.55,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,114.00,CE,0.00,0.00,0.00,12.65,26.35,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,156.00,CE,0.00,0.00,0.00,1.70,1.65,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,156.00,PE,0.00,0.00,0.00,34.20,15.75,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,136.00,PE,0.00,0.00,0.00,6.85,4.70,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,136.00,CE,0.00,0.00,0.00,6.15,9.10,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,113.00,PE,0.00,0.00,0.00,0.55,0.05,22000,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,147.00,PE,0.00,0.00,0.00,12.75,10.25,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,115.00,PE,0.15,0.20,0.10,0.15,0.15,1809500,165000,231,139.85
2024-01-01,TATASTEEL,2024-02-29,115.00,CE,0.00,0.00,0.00,17.60,26.25,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,139.00,CE,0.00,0.00,0.00,9.90,9.05,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,141.00,CE,0.00,0.00,0.00,8.95,8.05,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,156.00,PE,0.00,0.00,0.00,27.00,16.10,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,118.00,PE,0.00,0.00,0.00,0.55,0.30,22000,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,147.00,PE,0.00,0.00,0.00,19.60,9.45,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,104.00,CE,0.00,0.00,0.00,19.65,36.30,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,105.00,PE,0.00,0.00,0.00,0.10,0.05,33000,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,117.00,CE,0.00,0.00,0.00,16.20,24.35,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,117.00,CE,0.00,0.00,0.00,21.00,23.40,5500,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,132.00,CE,0.00,0.00,0.00,7.75,11.70,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,150.00,PE,12.00,12.05,10.50,11.30,11.30,1804000,401500,192,139.85
2024-01-01,TATASTEEL,2024-01-25,150.00,CE,2.50,2.60,2.00,2.10,2.10,23760000,3547500,3462,139.85
2024-01-01,TATASTEEL,2024-02-29,150.00,CE,5.10,5.55,4.75,4.95,4.95,935000,643500,166,139.85
2024-01-01,TATASTEEL,2024-02-29,108.00,PE,0.00,0.00,0.00,3.00,0.05,11000,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,135.00,CE,8.50,9.10,7.90,8.15,8.15,7183000,115500,606,139.85
2024-01-01,TATASTEEL,2024-01-25,159.00,CE,1.10,1.10,0.80,0.85,0.85,594000,594000,341,139.85
2024-01-01,TATASTEEL,2024-01-25,159.00,PE,0.00,0.00,0.00,36.95,18.60,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,133.00,CE,9.70,10.50,9.70,10.50,8.65,247500,-5500,4,139.85
2024-01-01,TATASTEEL,2024-03-28,131.00,PE,0.00,0.00,0.00,4.85,3.00,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,131.00,PE,1.65,1.65,1.25,1.35,1.35,808500,264000,215,139.85
2024-01-01,TATASTEEL,2024-03-28,138.00,PE,0.00,0.00,0.00,7.75,5.55,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,154.00,CE,1.75,1.75,1.35,1.40,1.40,885500,269500,258,139.85
2024-01-01,TATASTEEL,2024-01-25,134.00,CE,9.00,9.25,8.50,8.65,8.65,1028500,-22000,17,139.85
2024-01-01,TATASTEEL,2024-02-29,148.00,PE,0.00,0.00,0.00,20.35,10.10,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,148.00,PE,0.00,0.00,0.00,13.40,10.90,0,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,158.00,CE,0.00,0.00,0.00,3.45,2.45,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,158.00,PE,0.00,0.00,0.00,17.30,17.65,5500,0,0,139.85
2024-01-01,TATASTEEL,2024-03-28,158.00,PE,0.00,0.00,0.00,20.45,18.05,0,0,0,139.85
2024-01-01,TATASTEEL,2024-02-29,135.00,PE,4.30,4.60,4.00,4.40,4.40,88000,82500,19,139.85
2024-01-01,TATASTEEL,2024-01-25,119.00,PE,0.30,0.30,0.25,0.25,0.05,214500,0,3,139.85
2024-01-01,TATASTEEL,2024-03-28,160.00,PE,0.00,0.00,0.00,22.05,19.65,0,0,0,139.85
2024-01-01,TATASTEEL,2024-01-25,109.00,PE,0.00,0.00,0.00,0.10,0.05,5500,0,0,139.85
