TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,TCS,2024-01-25,4180.00,PE,0.00,0.00,0.00,775.50,353.85,0,0,0,3811.05
2024-01-01,TCS,2024-03-28,4180.00,CE,0.00,0.00,0.00,72.85,46.95,0,0,0,3811.05
2024-01-01,TCS,2024-02-29,4180.00,PE,0.00,0.00,0.00,633.05,348.80,0,0,0,3811.05
2024-01-01,TCS,2024-01-25,4180.00,CE,0.00,0.00,0.00,25.10,3.45,350,0,0,3811.05
2024-01-01,TCS,2024-02-29,4180.00,CE,0.00,0.00,0.00,15.55,25.20,0,0,0,3811.05
2024-01-01,TCS,2024-03-28,4180.00,PE,0.00,0.00,0.00,377.80,349.15,0,0,0,3811.05
2024-01-01,TCS,2024-01-25,3280.00,CE,0.00,0.00,0.00,125.00,545.65,175,0,0,3811.05
2024-01-01,TCS,2024-01-25,3280.00,PE,0.00,0.00,0.00,8.50,0.05,0,0,0,3811.05
2024-01-01,TCS,2024-02-29,3480.00,CE,0.00,0.00,0.00,196.10,382.60,0,0,0,3811.05
2024-01-01,TCS,2024-03-28,3500.00,PE,0.00,0.00,0.00,47.55,26.70,0,0,0,3811.05
2024-01-01,TCS,2024-02-29,3920.00,CE,0.00,0.00,0.00,45.90,91.80,0,0,0,3811.05
2024-01-01,TCS,2024-01-25,3920.00,PE,183.20,183.75,142.75,161.20,161.20,10150,3150,81,3811.05
2024-01-01,TCS,2024-02-29,3660.00,PE,0.00,0.00,0.00,221.70,46.40,0,0,0,3811.05
2024-01-01,TCS,2024-01-25,3660.00,PE,41.60,43.00,33.00,38.95,38.95,23275,5250,139,3811.05
2024-01-01,TCS,2024-03-28,3760.00,CE,0.00,0.00,0.00,236.15,207.15,0,0,0,3811.05
2024-01-01,TCS,2024-01-25,3440.00,PE,9.55,9.75,7.20,8.35,8.35,30450,6300,98,3811.05
2024-01-01,TCS,2024-03-28,3440.00,PE,0.00,0.00,0.00,36.05,18.50,0,0,0,3811.05
2024-01-01,TCS,2024-02-29,3500.00,PE,21.00,25.00,21.00,23.50,23.50,875,875,5,3811.05
2024-01-01,TCS,2024-02-29,3760.00,PE,110.00,110.00,110.00,110.00,79.30,175,175,1,3811.05
2024-01-01,TCS,2024-03-28,3940.00,PE,0.00,0.00,0.00,218.10,183.70,0,0,0,3811.05
