TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,TECHM,2024-01-25,1130.00,CE,0.00,0.00,0.00,73.00,172.65,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1170.00,CE,0.00,0.00,0.00,114.75,148.80,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1040.00,PE,0.00,0.00,0.00,10.75,0.55,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1040.00,CE,0.00,0.00,0.00,124.50,261.75,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1020.00,PE,0.00,0.00,0.00,8.25,0.30,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1200.00,PE,0.00,0.00,0.00,33.60,21.00,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1200.00,CE,0.00,0.00,0.00,97.30,124.50,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1200.00,CE,91.00,121.90,91.00,116.90,116.90,70200,1200,89,1297.15
2024-01-01,TECHM,2024-01-25,1170.00,CE,0.00,0.00,0.00,55.85,134.20,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1440.00,PE,0.00,0.00,0.00,212.05,141.65,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1280.00,CE,0.00,0.00,0.00,59.90,70.40,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1140.00,CE,0.00,0.00,0.00,68.40,162.90,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1110.00,PE,0.00,0.00,0.00,24.30,2.95,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1420.00,CE,0.00,0.00,0.00,39.00,29.50,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1340.00,PE,0.00,0.00,0.00,134.90,70.00,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1340.00,PE,0.00,0.00,0.00,95.60,77.55,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1250.00,PE,0.00,0.00,0.00,51.30,35.95,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1140.00,PE,0.00,0.00,0.00,18.50,9.65,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1060.00,CE,0.00,0.00,0.00,111.55,241.85,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1020.00,PE,0.00,0.00,0.00,24.80,0.05,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1070.00,PE,0.00,0.00,0.00,15.60,1.20,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1210.00,CE,92.75,112.70,92.75,112.70,98.15,3600,600,2,1297.15
2024-01-01,TECHM,2024-03-28,1470.00,PE,0.00,0.00,0.00,185.00,168.25,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1090.00,CE,0.00,0.00,0.00,225.85,228.95,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1390.00,PE,0.00,0.00,0.00,126.80,108.60,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1510.00,CE,3.00,5.00,2.85,4.00,4.00,103200,58200,214,1297.15
2024-01-01,TECHM,2024-02-29,1130.00,CE,0.00,0.00,0.00,140.90,183.80,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1320.00,CE,27.25,43.15,25.35,37.85,37.85,199800,64800,1898,1297.15
2024-01-01,TECHM,2024-02-29,1370.00,PE,0.00,0.00,0.00,156.65,89.10,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1360.00,PE,94.15,94.15,73.80,80.50,80.50,3000,3000,18,1297.15
2024-01-01,TECHM,2024-03-28,1300.00,CE,0.00,0.00,0.00,83.30,74.60,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1350.00,CE,19.55,31.55,18.00,26.85,26.85,402600,85200,2037,1297.15
2024-01-01,TECHM,2024-03-28,1350.00,PE,0.00,0.00,0.00,101.45,83.30,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1350.00,CE,0.00,0.00,0.00,48.00,37.90,600,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1180.00,CE,0.00,0.00,0.00,52.05,124.85,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1350.00,PE,83.30,83.30,67.25,72.35,72.35,40200,4200,39,1297.15
2024-01-01,TECHM,2024-03-28,1410.00,CE,0.00,0.00,0.00,41.75,32.15,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1100.00,PE,0.00,0.00,0.00,11.65,5.20,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1100.00,CE,0.00,0.00,0.00,217.40,219.95,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1050.00,CE,0.00,0.00,0.00,202.00,259.30,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1100.00,CE,187.00,199.80,187.00,199.80,202.15,6000,600,2,1297.15
2024-01-01,TECHM,2024-02-29,1100.00,PE,0.00,0.00,0.00,21.85,2.40,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1050.00,PE,0.00,0.00,0.00,33.75,0.05,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1110.00,CE,0.00,0.00,0.00,209.05,211.00,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1350.00,PE,0.00,0.00,0.00,142.00,76.10,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1260.00,CE,50.80,76.50,50.80,69.10,69.10,36600,-2400,137,1297.15
2024-01-01,TECHM,2024-01-25,1460.00,PE,0.00,0.00,0.00,323.35,158.05,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1230.00,CE,69.65,89.50,69.65,89.50,89.50,6000,1800,9,1297.15
2024-01-01,TECHM,2024-03-28,1380.00,PE,0.00,0.00,0.00,120.20,102.00,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1380.00,PE,95.80,96.95,88.50,91.80,91.80,1800,1800,6,1297.15
2024-01-01,TECHM,2024-03-28,1150.00,PE,0.00,0.00,0.00,20.60,11.10,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1390.00,CE,0.00,0.00,0.00,27.70,25.25,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1090.00,CE,0.00,0.00,0.00,93.70,212.05,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1040.00,CE,0.00,0.00,0.00,210.35,269.00,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1040.00,PE,0.00,0.00,0.00,30.55,0.05,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,990.00,CE,0.00,0.00,0.00,160.65,311.55,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,990.00,PE,0.00,0.00,0.00,17.60,0.05,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1410.00,PE,0.00,0.00,0.00,277.20,111.85,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1410.00,PE,0.00,0.00,0.00,187.55,117.90,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1170.00,PE,0.00,0.00,0.00,25.30,14.50,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1170.00,PE,0.00,0.00,0.00,42.85,8.95,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1170.00,PE,8.10,8.15,5.35,5.80,5.80,15000,6000,100,1297.15
2024-01-01,TECHM,2024-03-28,1070.00,CE,0.00,0.00,0.00,243.15,247.35,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1390.00,PE,0.00,0.00,0.00,171.90,103.05,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1230.00,CE,0.00,0.00,0.00,121.70,116.10,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1480.00,CE,0.00,0.00,0.00,25.45,17.15,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1450.00,PE,0.00,0.00,0.00,220.40,149.90,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1120.00,CE,0.00,0.00,0.00,147.95,192.90,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1140.00,CE,0.00,0.00,0.00,184.95,185.00,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1070.00,PE,0.00,0.00,0.00,40.85,0.05,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,940.00,PE,0.00,0.00,0.00,9.15,0.05,0,0,0,1297.15
2024-01-01,TECHM,2024-03-28,1370.00,CE,0.00,0.00,0.00,54.35,44.55,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1370.00,CE,0.00,0.00,0.00,32.15,31.10,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,1400.00,CE,11.80,18.25,9.80,14.90,14.90,767400,-3000,2107,1297.15
2024-01-01,TECHM,2024-03-28,1080.00,CE,0.00,0.00,0.00,234.45,238.10,0,0,0,1297.15
2024-01-01,TECHM,2024-01-25,920.00,CE,0.00,0.00,0.00,218.65,381.20,0,0,0,1297.15
2024-01-01,TECHM,2024-02-29,1400.00,PE,0.00,0.00,0.00,179.65,110.35,0,0,0,1297.15
