TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,ULTRACEMCO,2024-02-29,11600.00,PE,0.00,0.00,0.00,2402.50,1079.55,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-02-29,11600.00,CE,0.00,0.00,0.00,13.90,69.20,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-03-28,11400.00,CE,0.00,0.00,0.00,253.45,172.45,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-01-25,7300.00,CE,0.00,0.00,0.00,1107.80,3196.15,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-01-25,7300.00,PE,0.00,0.00,0.00,72.45,0.05,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-01-25,8200.00,PE,0.00,0.00,0.00,340.95,0.05,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-01-25,11450.00,CE,0.00,0.00,0.00,2.65,15.55,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-01-25,10600.00,PE,354.95,384.45,308.00,335.35,335.35,1500,600,34,10463.80
2024-01-01,ULTRACEMCO,2024-02-29,10600.00,CE,402.55,402.55,402.55,402.55,350.30,100,100,1,10463.80
2024-01-01,ULTRACEMCO,2024-01-25,9450.00,PE,0.00,0.00,0.00,1174.50,5.60,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-02-29,9450.00,PE,0.00,0.00,0.00,603.35,38.35,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-03-28,8900.00,CE,0.00,0.00,0.00,1734.80,1724.35,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-02-29,10400.00,PE,0.00,0.00,0.00,1305.75,275.95,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-03-28,10800.00,PE,0.00,0.00,0.00,634.75,527.75,0,0,0,10463.80
2024-01-01,ULTRACEMCO,2024-01-25,10800.00,PE,491.30,522.95,432.25,468.55,468.55,1800,900,47,10463.80
2024-01-01,ULTRACEMCO,2024-03-28,10800.00,CE,0.00,0.00,0.00,455.30,363.95,0,0,0,10463.80
