TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-06-07,UNITDSPR,2024-07-25,1410.00,PE,0.00,0.00,0.00,227.30,115.30,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1410.00,CE,0.00,0.00,0.00,4.35,26.30,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1410.00,CE,0.00,0.00,0.00,13.00,8.50,5600,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1410.00,PE,0.00,0.00,0.00,205.65,105.50,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1040.00,PE,0.00,0.00,0.00,12.15,0.85,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1040.00,PE,0.00,0.00,0.00,19.65,0.05,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1040.00,CE,0.00,0.00,0.00,145.00,271.60,700,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1040.00,CE,0.00,0.00,0.00,185.75,278.30,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1040.00,PE,0.00,0.00,0.00,15.45,3.50,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1040.00,CE,0.00,0.00,0.00,165.50,288.15,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1320.00,CE,37.95,44.15,29.85,33.40,33.40,98000,6300,225,1307.55
2024-06-07,UNITDSPR,2024-06-27,1320.00,PE,0.00,0.00,0.00,177.40,41.85,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1320.00,PE,0.00,0.00,0.00,134.95,58.65,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1320.00,CE,0.00,0.00,0.00,26.70,81.65,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1320.00,PE,0.00,0.00,0.00,151.60,72.40,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1320.00,CE,0.00,0.00,0.00,33.60,58.80,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1370.00,PE,0.00,0.00,0.00,84.80,73.85,1400,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1370.00,CE,18.25,24.00,14.55,16.25,16.25,18900,-700,71,1307.55
2024-06-07,UNITDSPR,2024-07-25,1370.00,CE,0.00,0.00,0.00,7.35,38.35,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1370.00,PE,0.00,0.00,0.00,190.75,87.75,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1240.00,CE,0.00,0.00,0.00,49.60,126.65,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1240.00,PE,0.00,0.00,0.00,83.10,25.85,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1240.00,CE,0.00,0.00,0.00,60.35,105.20,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1240.00,PE,0.00,0.00,0.00,95.90,38.70,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1050.00,CE,0.00,0.00,0.00,142.95,268.60,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1050.00,PE,0.00,0.00,0.00,9.90,1.05,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1050.00,PE,0.00,0.00,0.00,1.20,0.05,37800,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1050.00,CE,0.00,0.00,0.00,132.00,261.65,700,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1140.00,PE,0.00,0.00,0.00,44.65,13.95,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1140.00,CE,0.00,0.00,0.00,112.50,184.65,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1460.00,CE,6.00,6.00,3.70,4.00,4.00,54600,7700,49,1307.55
2024-06-07,UNITDSPR,2024-06-27,1460.00,PE,0.00,0.00,0.00,303.10,150.05,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1460.00,PE,0.00,0.00,0.00,249.00,154.30,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1460.00,CE,0.00,0.00,0.00,10.20,15.75,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1420.00,CE,9.60,9.60,7.00,7.55,7.55,28700,700,42,1307.55
2024-06-07,UNITDSPR,2024-06-27,1420.00,PE,0.00,0.00,0.00,265.75,114.05,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1420.00,CE,0.00,0.00,0.00,11.05,43.05,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1420.00,PE,0.00,0.00,0.00,214.15,122.80,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1420.00,CE,0.00,0.00,0.00,14.65,23.90,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1420.00,PE,0.00,0.00,0.00,234.15,132.15,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1130.00,PE,0.85,0.85,0.85,0.85,0.65,26600,700,2,1307.55
2024-06-07,UNITDSPR,2024-07-25,1130.00,PE,0.00,0.00,0.00,30.25,5.25,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1130.00,CE,0.00,0.00,0.00,84.15,193.60,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-06-27,1440.00,CE,7.50,7.75,3.75,5.20,5.20,16100,4900,38,1307.55
2024-06-07,UNITDSPR,2024-06-27,1440.00,PE,0.00,0.00,0.00,284.30,131.70,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1440.00,PE,0.00,0.00,0.00,231.40,138.20,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1440.00,CE,0.00,0.00,0.00,9.15,37.45,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-08-29,1440.00,PE,0.00,0.00,0.00,251.90,146.20,0,0,0,1307.55
2024-06-07,UNITDSPR,2024-07-25,1440.00,CE,0.00,0.00,0.00,12.25,19.45,0,0,0,1307.55
