TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,VEDL,2024-02-29,214.00,PE,0.00,0.00,0.00,1.00,1.25,11500,0,0,257.15
2024-01-01,VEDL,2024-01-25,179.00,CE,0.00,0.00,0.00,32.75,78.95,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,264.00,PE,12.40,13.40,10.90,12.90,12.90,167900,34500,99,257.15
2024-01-01,VEDL,2024-02-29,285.00,CE,0.00,0.00,0.00,7.20,5.85,0,0,0,257.15
2024-01-01,VEDL,2024-03-28,285.00,CE,0.00,0.00,0.00,12.35,8.95,0,0,0,257.15
2024-01-01,VEDL,2024-03-28,217.50,CE,0.00,0.00,0.00,48.55,46.00,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,286.50,CE,3.45,3.45,2.00,2.20,2.20,216200,6900,36,257.15
2024-01-01,VEDL,2024-03-28,235.00,PE,0.00,0.00,0.00,9.15,6.75,0,0,0,257.15
2024-01-01,VEDL,2024-03-28,217.50,PE,0.00,0.00,0.00,4.60,2.85,0,0,0,257.15
2024-01-01,VEDL,2024-02-29,217.50,CE,0.00,0.00,0.00,41.30,43.60,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,246.50,PE,4.50,4.95,3.75,4.80,4.80,80500,0,44,257.15
2024-01-01,VEDL,2024-02-29,220.00,CE,0.00,0.00,0.00,39.35,41.45,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,174.00,CE,0.00,0.00,0.00,36.25,83.90,0,0,0,257.15
2024-01-01,VEDL,2024-02-29,191.50,PE,0.00,0.00,0.00,5.60,0.15,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,199.00,CE,0.00,0.00,0.00,20.90,59.05,0,0,0,257.15
2024-01-01,VEDL,2024-02-29,199.00,CE,0.00,0.00,0.00,34.75,60.65,0,0,0,257.15
2024-01-01,VEDL,2024-02-29,286.50,CE,0.00,0.00,0.00,3.80,5.50,0,0,0,257.15
2024-01-01,VEDL,2024-02-29,286.50,PE,0.00,0.00,0.00,62.60,31.75,0,0,0,257.15
2024-01-01,VEDL,2024-02-29,272.50,CE,0.00,0.00,0.00,10.60,9.35,0,0,0,257.15
2024-01-01,VEDL,2024-03-28,272.50,CE,0.00,0.00,0.00,16.55,12.90,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,211.50,PE,0.25,0.35,0.25,0.30,0.30,41400,0,37,257.15
2024-01-01,VEDL,2024-01-25,211.50,CE,0.00,0.00,0.00,15.30,46.70,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,181.50,PE,0.00,0.00,0.00,7.85,0.05,0,0,0,257.15
2024-01-01,VEDL,2024-03-28,265.00,CE,0.00,0.00,0.00,19.60,15.85,0,0,0,257.15
2024-01-01,VEDL,2024-03-28,265.00,PE,0.00,0.00,0.00,22.30,19.50,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,265.00,CE,12.00,12.00,6.85,7.15,7.15,765900,-671600,1222,257.15
2024-01-01,VEDL,2024-01-25,166.50,PE,0.00,0.00,0.00,3.95,0.05,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,166.50,CE,0.00,0.00,0.00,41.85,91.40,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,204.00,PE,0.30,0.30,0.30,0.30,0.30,87400,2300,1,257.15
2024-01-01,VEDL,2024-02-29,204.00,PE,0.00,0.00,0.00,9.25,0.55,0,0,0,257.15
2024-01-01,VEDL,2024-02-29,227.50,CE,0.00,0.00,0.00,33.75,35.20,0,0,0,257.15
2024-01-01,VEDL,2024-01-25,227.50,PE,0.95,1.10,0.85,1.10,1.10,66700,32200,38,257.15
2024-01-01,VEDL,2024-01-25,227.50,CE,0.00,0.00,0.00,28.70,31.40,0,0,0,257.15
2024-01-01,VEDL,2024-03-28,292.50,PE,0.00,0.00,0.00,39.95,37.75,0,0,0,257.15
