TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,WIPRO,2024-02-29,367.50,CE,0.00,0.00,0.00,55.85,113.65,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,367.50,PE,0.00,0.00,0.00,3.70,0.05,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,355.00,PE,0.00,0.00,0.00,2.10,0.05,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,455.00,PE,11.65,11.75,7.25,8.25,8.25,430500,279000,601,477.15
2024-01-01,WIPRO,2024-02-29,455.00,CE,0.00,0.00,0.00,9.05,33.85,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,395.00,CE,0.00,0.00,0.00,35.40,86.65,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,415.00,CE,0.00,0.00,0.00,23.80,67.50,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,415.00,PE,0.00,0.00,0.00,18.30,0.85,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,487.50,PE,0.00,0.00,0.00,69.25,20.20,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,387.50,PE,0.00,0.00,0.00,8.00,0.10,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,372.50,CE,0.00,0.00,0.00,51.80,108.70,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,372.50,PE,0.00,0.00,0.00,4.60,0.05,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,502.50,CE,0.00,0.00,0.00,0.50,3.40,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,452.50,CE,0.00,0.00,0.00,9.65,35.65,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,452.50,PE,11.20,11.20,6.65,7.75,7.75,45000,3000,62,477.15
2024-01-01,WIPRO,2024-01-25,430.00,CE,45.50,58.65,45.30,53.40,53.40,312000,22500,75,477.15
2024-01-01,WIPRO,2024-01-25,390.00,PE,0.70,0.70,0.40,0.45,0.45,228000,15000,42,477.15
2024-01-01,WIPRO,2024-01-25,487.50,PE,22.65,24.45,20.70,23.00,23.00,10500,10500,42,477.15
2024-01-01,WIPRO,2024-02-29,442.50,PE,0.00,0.00,0.00,34.05,3.90,0,0,0,477.15
2024-01-01,WIPRO,2024-03-28,405.00,PE,0.00,0.00,0.00,3.25,1.10,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,427.50,CE,0.00,0.00,0.00,18.00,56.10,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,427.50,PE,0.00,0.00,0.00,24.80,1.80,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,475.00,CE,0.00,0.00,0.00,5.15,21.20,0,0,0,477.15
2024-01-01,WIPRO,2024-03-28,475.00,CE,0.00,0.00,0.00,27.05,26.20,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,370.00,PE,0.35,0.35,0.25,0.30,0.05,66000,6000,11,477.15
2024-01-01,WIPRO,2024-01-25,395.00,PE,0.00,0.00,0.00,25.35,0.05,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,437.50,PE,4.95,4.95,3.70,4.05,4.05,75000,9000,40,477.15
2024-01-01,WIPRO,2024-01-25,385.00,CE,0.00,0.00,0.00,19.90,93.85,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,425.00,CE,0.00,0.00,0.00,19.10,58.35,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,425.00,PE,0.00,0.00,0.00,23.40,1.55,0,0,0,477.15
2024-01-01,WIPRO,2024-03-28,540.00,CE,0.00,0.00,0.00,7.00,5.00,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,420.00,PE,0.00,0.00,0.00,20.75,1.15,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,450.00,PE,9.25,9.95,6.00,6.90,6.90,1843500,-39000,2530,477.15
2024-01-01,WIPRO,2024-03-28,415.00,PE,0.00,0.00,0.00,4.70,1.80,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,492.50,CE,0.00,0.00,0.00,3.00,13.10,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,492.50,PE,0.00,0.00,0.00,73.65,23.10,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,420.00,CE,53.95,67.00,53.95,67.00,59.10,222000,-10500,24,477.15
2024-01-01,WIPRO,2024-01-25,372.50,CE,0.00,0.00,0.00,26.35,106.30,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,467.50,CE,0.00,0.00,0.00,6.40,25.55,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,505.00,PE,0.00,0.00,0.00,118.20,28.55,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,502.50,PE,0.00,0.00,0.00,82.65,29.50,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,502.50,PE,0.00,0.00,0.00,115.75,26.50,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,385.00,PE,0.00,0.00,0.00,7.35,0.10,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,500.00,CE,17.75,23.15,16.65,20.75,20.75,340500,108000,206,477.15
2024-01-01,WIPRO,2024-02-29,402.50,PE,0.00,0.00,0.00,12.95,0.35,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,402.50,PE,0.00,0.00,0.00,30.00,0.05,0,0,0,477.15
2024-01-01,WIPRO,2024-01-25,330.00,PE,0.00,0.00,0.00,2.75,0.05,0,0,0,477.15
2024-01-01,WIPRO,2024-02-29,417.50,CE,0.00,0.00,0.00,22.55,65.20,0,0,0,477.15
