TradDt,TckrSymb,XpryDt,StrkPric,OptnTp,OpnPric,HghPric,LwPric,ClsPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,UndrlygPric
2024-01-01,ZYDUSLIFE,2024-01-25,675.00,PE,18.85,18.85,14.10,14.65,14.65,10800,2700,14,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,635.00,CE,0.00,0.00,0.00,42.35,75.25,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,700.00,CE,26.00,35.50,22.10,31.30,31.30,1716300,292500,5194,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,680.00,CE,32.75,47.00,32.75,41.70,41.70,29700,-10800,69,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,665.00,PE,0.00,0.00,0.00,44.05,10.50,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,665.00,CE,0.00,0.00,0.00,57.30,58.80,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,690.00,PE,0.00,0.00,0.00,59.90,19.10,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,600.00,PE,0.00,0.00,0.00,15.15,1.15,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,700.00,PE,0.00,0.00,0.00,66.90,23.55,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,700.00,CE,0.00,0.00,0.00,17.00,30.20,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,700.00,PE,0.00,0.00,0.00,39.80,27.55,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,640.00,CE,0.00,0.00,0.00,39.75,71.05,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,660.00,CE,0.00,0.00,0.00,30.55,55.35,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,660.00,PE,13.30,13.30,8.60,10.70,10.70,95400,24300,185,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,715.00,PE,0.00,0.00,0.00,133.70,24.45,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,555.00,CE,0.00,0.00,0.00,97.85,150.20,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,680.00,CE,0.00,0.00,0.00,23.00,41.65,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,475.00,PE,0.00,0.00,0.00,2.35,0.05,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,560.00,PE,0.00,0.00,0.00,21.70,0.05,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,730.00,PE,39.95,44.25,39.70,42.45,42.45,35100,35100,51,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,615.00,CE,0.00,0.00,0.00,53.75,92.85,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,675.00,CE,0.00,0.00,0.00,24.75,44.90,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,675.00,CE,0.00,0.00,0.00,51.50,52.20,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,675.00,PE,0.00,0.00,0.00,27.95,17.40,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,480.00,CE,0.00,0.00,0.00,102.65,221.20,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,735.00,CE,0.00,0.00,0.00,25.05,22.50,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,735.00,PE,0.00,0.00,0.00,152.35,38.55,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,685.00,PE,18.40,20.60,17.45,19.30,19.30,12600,4500,18,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,750.00,PE,0.00,0.00,0.00,166.60,50.85,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,750.00,PE,0.00,0.00,0.00,70.55,56.60,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,750.00,CE,0.00,0.00,0.00,20.45,17.60,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,570.00,PE,0.00,0.00,0.00,7.80,0.25,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,780.00,PE,0.00,0.00,0.00,195.40,78.30,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,725.00,PE,0.00,0.00,0.00,85.85,37.25,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,540.00,CE,0.00,0.00,0.00,55.35,161.45,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,540.00,PE,0.25,0.25,0.25,0.25,0.05,9000,9000,10,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,540.00,CE,0.00,0.00,0.00,110.75,164.95,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,765.00,PE,0.00,0.00,0.00,119.35,65.75,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,695.00,CE,0.00,0.00,0.00,41.15,40.45,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,690.00,CE,0.00,0.00,0.00,19.85,35.65,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,605.00,PE,0.00,0.00,0.00,7.55,2.95,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,765.00,PE,0.00,0.00,0.00,81.45,67.30,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,655.00,PE,0.00,0.00,0.00,38.40,7.95,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,790.00,PE,0.00,0.00,0.00,141.80,86.75,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,670.00,CE,0.00,0.00,0.00,26.60,48.25,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,630.00,CE,0.00,0.00,0.00,73.00,72.50,9000,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,630.00,PE,0.00,0.00,0.00,12.85,6.10,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,650.00,CE,0.00,0.00,0.00,66.70,69.55,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,780.00,PE,0.00,0.00,0.00,132.75,78.15,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,500.00,CE,0.00,0.00,0.00,85.45,201.25,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,680.00,PE,0.00,0.00,0.00,30.15,19.20,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,670.00,PE,0.00,0.00,0.00,47.05,11.95,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,670.00,CE,40.00,54.00,38.40,49.55,49.55,48600,10800,69,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,490.00,PE,0.00,0.00,0.00,3.90,0.05,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,590.00,PE,0.00,0.00,0.00,5.30,1.80,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,590.00,CE,0.00,0.00,0.00,112.30,120.25,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,485.00,PE,0.00,0.00,0.00,3.30,0.05,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,690.00,PE,0.00,0.00,0.00,34.80,23.15,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,685.00,CE,0.00,0.00,0.00,21.40,38.60,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,750.00,PE,0.00,0.00,0.00,106.40,54.20,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,775.00,CE,0.00,0.00,0.00,4.65,6.40,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,635.00,PE,0.00,0.00,0.00,14.15,7.00,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,635.00,CE,0.00,0.00,0.00,13.40,67.75,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,700.00,PE,30.00,31.00,21.40,26.00,26.00,330300,167400,603,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,755.00,CE,0.00,0.00,0.00,6.75,10.20,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-01-25,550.00,PE,0.70,0.70,0.70,0.70,0.05,900,900,1,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,605.00,CE,0.00,0.00,0.00,99.85,106.65,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,535.00,PE,0.00,0.00,0.00,3.00,0.05,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,755.00,PE,0.00,0.00,0.00,110.70,57.95,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-03-28,755.00,CE,0.00,0.00,0.00,19.10,16.15,0,0,0,699.05
2024-01-01,ZYDUSLIFE,2024-02-29,675.00,PE,0.00,0.00,0.00,50.10,13.50,0,0,0,699.05
